fold,tmin,true_label,left-hand,right-hand
1,2.5,left-hand,0.4221,0.5779
1,2.5,right-hand,0.5477,0.4523
1,2.5,left-hand,0.3462,0.6538
1,2.5,right-hand,0.2576,0.7424
1,2.5,left-hand,0.3586,0.6414
1,2.5,right-hand,0.4828,0.5172
1,2.5,left-hand,0.483,0.517
1,2.5,right-hand,0.3118,0.6882
1,2.5,left-hand,0.2832,0.7168
1,2.5,left-hand,0.6604,0.3396
1,2.5,left-hand,0.7488,0.2512
1,2.5,right-hand,0.5407,0.4593
1,2.5,left-hand,0.7116,0.2884
1,2.5,right-hand,0.3588,0.6412
1,2.5,right-hand,0.589,0.411
1,2.5,left-hand,0.3681,0.6319
1,2.5,left-hand,0.3294,0.6706
1,2.5,right-hand,0.3644,0.6356
1,2.5,right-hand,0.5059,0.4941
1,2.5,right-hand,0.7101,0.2899
1,2.5,right-hand,0.8374,0.1626
1,2.5,left-hand,0.7951,0.2049
1,2.5,left-hand,0.8019,0.1981
1,2.5,left-hand,0.8587,0.1413
1,2.5,left-hand,0.6458,0.3542
1,2.5,left-hand,0.325,0.675
1,2.5,right-hand,0.188,0.812
1,2.5,right-hand,0.6313,0.3687
1,2.5,left-hand,0.2338,0.7662
1,2.5,left-hand,0.695,0.305
1,2.5,right-hand,0.6172,0.3828
1,2.5,right-hand,0.1899,0.8101
1,2.5,right-hand,0.155,0.845
1,2.5,right-hand,0.5587,0.4413
1,2.5,left-hand,0.2878,0.7122
1,2.5,right-hand,0.3539,0.6461
1,2.5,left-hand,0.5943,0.4057
1,2.5,right-hand,0.2334,0.7666
1,2.5,left-hand,0.911,0.089
1,2.5,left-hand,0.7682,0.2318
1,2.5,right-hand,0.1765,0.8235
1,2.5,left-hand,0.6985,0.3015
1,2.5,left-hand,0.2186,0.7814
1,2.5,right-hand,0.412,0.588
1,2.5,left-hand,0.8862,0.1138
1,2.5,left-hand,0.8444,0.1556
1,2.5,right-hand,0.4624,0.5376
1,2.5,right-hand,0.6332,0.3668
1,2.5,right-hand,0.2806,0.7194
1,2.5,left-hand,0.5383,0.4617
1,2.5,right-hand,0.4681,0.5319
