fold,tmin,true_label,left-hand,right-hand
1,2.5,right-hand,0.0018,0.9982
1,2.5,left-hand,0.2899,0.7101
1,2.5,left-hand,0.0064,0.9936
1,2.5,right-hand,0.006,0.994
1,2.5,right-hand,0.0032,0.9968
1,2.5,left-hand,0.0153,0.9847
1,2.5,left-hand,0.047,0.953
1,2.5,right-hand,0.002,0.998
1,2.5,right-hand,0.0015,0.9985
1,2.5,left-hand,0.0323,0.9677
1,2.5,left-hand,0.007,0.993
1,2.5,right-hand,0.002,0.998
1,2.5,right-hand,0.0021,0.9979
1,2.5,right-hand,0.0029,0.9971
1,2.5,left-hand,0.2444,0.7556
1,2.5,right-hand,0.0017,0.9983
1,2.5,right-hand,0.0011,0.9989
1,2.5,left-hand,0.1144,0.8856
1,2.5,left-hand,0.7036,0.2964
1,2.5,left-hand,0.0091,0.9909
1,2.5,right-hand,0.003,0.997
1,2.5,right-hand,0.0019,0.9981
1,2.5,left-hand,0.0009,0.9991
1,2.5,right-hand,0.0013,0.9987
1,2.5,right-hand,0.0015,0.9985
1,2.5,left-hand,0.0037,0.9963
1,2.5,right-hand,0.0017,0.9983
1,2.5,right-hand,0.0025,0.9975
1,2.5,right-hand,0.0015,0.9985
1,2.5,left-hand,0.0234,0.9766
1,2.5,left-hand,0.0062,0.9938
1,2.5,left-hand,0.0028,0.9972
1,2.5,left-hand,0.0214,0.9786
1,2.5,left-hand,0.1425,0.8575
1,2.5,right-hand,1e-04,0.9999
1,2.5,left-hand,0.3463,0.6537
1,2.5,left-hand,0.025,0.975
1,2.5,right-hand,0.001,0.999
1,2.5,left-hand,0.0016,0.9984
1,2.5,right-hand,0.0027,0.9973
1,2.5,right-hand,0.0003,0.9997
1,2.5,right-hand,0.0009,0.9991
1,2.5,left-hand,0.0141,0.9859
1,2.5,right-hand,0.0003,0.9997
1,2.5,left-hand,0.0016,0.9984
1,2.5,right-hand,0.0016,0.9984
1,2.5,left-hand,0.0123,0.9877
1,2.5,right-hand,0.0014,0.9986
1,2.5,left-hand,0.2903,0.7097
1,2.5,right-hand,0.0014,0.9986
1,2.5,left-hand,0.0047,0.9953
1,2.5,right-hand,0.0011,0.9989
1,2.5,left-hand,0.0036,0.9964
1,2.5,left-hand,0.0029,0.9971
1,2.5,right-hand,0.0026,0.9974
1,2.5,right-hand,0.0013,0.9987
1,2.5,left-hand,0.0022,0.9978
1,2.5,left-hand,0.0033,0.9967
2,2.5,left-hand,0.9998,0.0002
2,2.5,right-hand,0.95,0.05
2,2.5,left-hand,0.9839,0.0161
2,2.5,left-hand,0.948,0.052
2,2.5,left-hand,0.9108,0.0892
2,2.5,right-hand,0.9289,0.0711
2,2.5,left-hand,0.9135,0.0865
2,2.5,left-hand,0.9983,0.0017
2,2.5,left-hand,0.9932,0.0068
2,2.5,right-hand,0.9335,0.0665
2,2.5,left-hand,0.9986,0.0014
2,2.5,right-hand,0.9361,0.0639
2,2.5,right-hand,0.9286,0.0714
2,2.5,right-hand,0.9207,0.0793
2,2.5,left-hand,0.9941,0.0059
2,2.5,right-hand,0.9208,0.0792
2,2.5,right-hand,0.9538,0.0462
2,2.5,left-hand,0.9841,0.0159
2,2.5,left-hand,0.9906,0.0094
2,2.5,right-hand,0.9698,0.0302
2,2.5,right-hand,0.9187,0.0813
2,2.5,left-hand,0.9971,0.0029
2,2.5,left-hand,0.9477,0.0523
2,2.5,right-hand,0.9346,0.0654
2,2.5,right-hand,0.9346,0.0654
2,2.5,right-hand,0.9131,0.0869
2,2.5,left-hand,0.9937,0.0063
2,2.5,left-hand,0.9173,0.0827
2,2.5,right-hand,0.9188,0.0812
2,2.5,left-hand,0.9923,0.0077
2,2.5,right-hand,0.9386,0.0614
2,2.5,right-hand,0.9305,0.0695
2,2.5,left-hand,0.9992,0.0008
2,2.5,right-hand,0.9289,0.0711
2,2.5,left-hand,0.9985,0.0015
2,2.5,left-hand,0.994,0.006
2,2.5,right-hand,0.9696,0.0304
2,2.5,left-hand,0.9992,0.0008
2,2.5,left-hand,0.9998,0.0002
2,2.5,right-hand,0.9264,0.0736
2,2.5,right-hand,0.9192,0.0808
2,2.5,right-hand,0.9546,0.0454
2,2.5,right-hand,0.9177,0.0823
2,2.5,left-hand,0.9627,0.0373
2,2.5,right-hand,0.9101,0.0899
2,2.5,left-hand,0.9134,0.0866
2,2.5,right-hand,0.9283,0.0717
2,2.5,right-hand,0.9078,0.0922
2,2.5,left-hand,0.9854,0.0146
2,2.5,right-hand,0.9299,0.0701
2,2.5,left-hand,0.9992,0.0008
2,2.5,right-hand,0.9569,0.0431
2,2.5,right-hand,0.9178,0.0822
2,2.5,left-hand,0.9578,0.0422
2,2.5,left-hand,0.9323,0.0677
2,2.5,right-hand,0.9307,0.0693
2,2.5,left-hand,0.9457,0.0543
2,2.5,left-hand,0.9494,0.0506
3,2.5,right-hand,0.633,0.367
3,2.5,left-hand,0.9988,0.0012
3,2.5,right-hand,0.7242,0.2758
3,2.5,right-hand,0.6343,0.3657
3,2.5,right-hand,0.5742,0.4258
3,2.5,left-hand,0.4556,0.5444
3,2.5,left-hand,0.7675,0.2325
3,2.5,left-hand,0.8545,0.1455
3,2.5,right-hand,0.4612,0.5388
3,2.5,left-hand,0.7793,0.2207
3,2.5,right-hand,0.5632,0.4368
3,2.5,left-hand,0.9954,0.0046
3,2.5,right-hand,0.3167,0.6833
3,2.5,left-hand,0.9443,0.0557
3,2.5,left-hand,0.7572,0.2428
3,2.5,right-hand,0.148,0.852
3,2.5,right-hand,0.3622,0.6378
3,2.5,left-hand,0.5136,0.4864
3,2.5,left-hand,0.973,0.027
3,2.5,right-hand,0.2763,0.7237
3,2.5,right-hand,0.2041,0.7959
3,2.5,left-hand,0.7641,0.2359
3,2.5,right-hand,0.6209,0.3791
3,2.5,right-hand,0.5998,0.4002
3,2.5,left-hand,0.9263,0.0737
3,2.5,left-hand,0.7345,0.2655
3,2.5,right-hand,0.6079,0.3921
3,2.5,right-hand,0.6548,0.3452
3,2.5,left-hand,0.5949,0.4051
3,2.5,right-hand,0.54,0.46
3,2.5,left-hand,0.8274,0.1726
3,2.5,right-hand,0.3077,0.6923
