fold,tmin,true_label,left-hand,right-hand
1,2.5,left-hand,0.8955,0.1045
1,2.5,right-hand,0.0001,0.9999
1,2.5,left-hand,0.9504,0.0496
1,2.5,right-hand,0.0019,0.9981
1,2.5,left-hand,0.9277,0.0723
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9999,0.0001
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9966,0.0034
1,2.5,left-hand,0.9972,0.0028
1,2.5,left-hand,0.9999,0.0001
1,2.5,right-hand,0.0001,0.9999
1,2.5,left-hand,0.965,0.035
1,2.5,right-hand,0.0795,0.9205
1,2.5,right-hand,0.0653,0.9347
1,2.5,left-hand,0.986,0.014
1,2.5,left-hand,0.9694,0.0306
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.024,0.976
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0006,0.9994
1,2.5,left-hand,0.9592,0.0408
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,0.9964,0.0036
1,2.5,left-hand,0.9439,0.0561
1,2.5,left-hand,0.6414,0.3586
1,2.5,right-hand,0.1896,0.8104
1,2.5,right-hand,0.2331,0.7669
1,2.5,left-hand,0.9999,0.0001
1,2.5,left-hand,0.9293,0.0707
1,2.5,right-hand,0.0051,0.9949
1,2.5,right-hand,0.0127,0.9873
1,2.5,right-hand,0.0047,0.9953
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9994,0.0006
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9995,0.0005
1,2.5,left-hand,0.4639,0.5361
1,2.5,right-hand,0.0002,0.9998
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.0819,0.9181
1,2.5,left-hand,0.9998,0.0002
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.0001,0.9999
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.2867,0.7133
1,2.5,right-hand,0.0102,0.9898
1,2.5,right-hand,0.9912,0.0088
1,2.5,left-hand,0.9993,0.0007
1,2.5,right-hand,0.0001,0.9999
1,2.5,right-hand,0.0042,0.9958
1,2.5,right-hand,0.1799,0.8201
1,2.5,left-hand,0.9984,0.0016
1,2.5,left-hand,0.9999,0.0001
2,2.5,right-hand,0.0012,0.9988
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0001,0.9999
2,2.5,left-hand,0.9916,0.0084
2,2.5,right-hand,0.0003,0.9997
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0003,0.9997
2,2.5,left-hand,0.9997,0.0003
2,2.5,left-hand,0.999,0.001
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9545,0.0455
2,2.5,right-hand,0.016,0.984
2,2.5,left-hand,0.9999,0.0001
2,2.5,left-hand,0.0975,0.9025
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.9499,0.0501
2,2.5,right-hand,0.034,0.966
2,2.5,right-hand,0.5126,0.4874
2,2.5,left-hand,0.9998,0.0002
2,2.5,right-hand,0.0911,0.9089
2,2.5,left-hand,0.9991,0.0009
2,2.5,left-hand,0.9879,0.0121
2,2.5,right-hand,0.0071,0.9929
2,2.5,right-hand,0.0001,0.9999
2,2.5,left-hand,0.9997,0.0003
2,2.5,left-hand,0.9996,0.0004
2,2.5,right-hand,0.0376,0.9624
2,2.5,right-hand,0.0011,0.9989
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.0533,0.9467
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9988,0.0012
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0072,0.9928
2,2.5,right-hand,0.8619,0.1381
2,2.5,right-hand,0.8396,0.1604
2,2.5,left-hand,0.9998,0.0002
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9997,0.0003
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0803,0.9197
2,2.5,right-hand,0.0642,0.9358
2,2.5,left-hand,0.9536,0.0464
2,2.5,right-hand,0.0025,0.9975
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.0988,0.9012
2,2.5,left-hand,0.9996,0.0004
2,2.5,left-hand,0.9931,0.0069
2,2.5,right-hand,0.9125,0.0875
2,2.5,left-hand,0.7089,0.2911
2,2.5,right-hand,0.0045,0.9955
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0002,0.9998
3,2.5,right-hand,0.0006,0.9994
3,2.5,left-hand,0.9967,0.0033
3,2.5,left-hand,0.1132,0.8868
3,2.5,left-hand,1.0,0.0
3,2.5,left-hand,0.9997,0.0003
3,2.5,right-hand,0.0022,0.9978
3,2.5,right-hand,0.0352,0.9648
3,2.5,left-hand,0.9739,0.0261
3,2.5,right-hand,0.0011,0.9989
3,2.5,left-hand,0.9867,0.0133
