fold,tmin,true_label,left-hand,right-hand
1,2.5,left-hand,0.998,0.002
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9999,0.0001
1,2.5,right-hand,0.0007,0.9993
1,2.5,left-hand,0.9998,0.0002
1,2.5,right-hand,0.0001,0.9999
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,0.9997,0.0003
1,2.5,right-hand,0.0016,0.9984
1,2.5,left-hand,0.9214,0.0786
1,2.5,right-hand,0.0006,0.9994
1,2.5,right-hand,0.0205,0.9795
1,2.5,left-hand,0.5436,0.4564
1,2.5,left-hand,0.8309,0.1691
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0003,0.9997
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0173,0.9827
1,2.5,left-hand,0.9271,0.0729
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,0.9997,0.0003
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,0.8125,0.1875
1,2.5,right-hand,0.0138,0.9862
1,2.5,right-hand,0.0817,0.9183
1,2.5,left-hand,0.9948,0.0052
1,2.5,left-hand,0.9683,0.0317
1,2.5,right-hand,0.0002,0.9998
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0047,0.9953
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9999,0.0001
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.9998,0.0002
1,2.5,right-hand,0.0002,0.9998
1,2.5,left-hand,0.9875,0.0125
1,2.5,left-hand,0.7551,0.2449
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.5099,0.4901
1,2.5,left-hand,1.0,0.0
1,2.5,left-hand,1.0,0.0
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0,1.0
1,2.5,left-hand,0.992,0.008
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0673,0.9327
1,2.5,left-hand,0.92,0.08
1,2.5,right-hand,0.0,1.0
1,2.5,right-hand,0.0026,0.9974
1,2.5,right-hand,0.1326,0.8674
1,2.5,left-hand,0.9816,0.0184
1,2.5,left-hand,0.9994,0.0006
2,2.5,right-hand,0.0002,0.9998
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0002,0.9998
2,2.5,left-hand,0.9997,0.0003
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0028,0.9972
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9989,0.0011
2,2.5,right-hand,0.1531,0.8469
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.998,0.002
2,2.5,right-hand,0.0012,0.9988
2,2.5,left-hand,0.987,0.013
2,2.5,right-hand,0.0137,0.9863
2,2.5,right-hand,0.049,0.951
2,2.5,left-hand,0.9996,0.0004
2,2.5,right-hand,0.1308,0.8692
2,2.5,left-hand,0.9849,0.0151
2,2.5,left-hand,0.9995,0.0005
2,2.5,right-hand,0.0002,0.9998
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.9994,0.0006
2,2.5,left-hand,0.9803,0.0197
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.9999,0.0001
2,2.5,left-hand,0.5735,0.4265
2,2.5,left-hand,0.9977,0.0023
2,2.5,left-hand,1.0,0.0
2,2.5,right-hand,0.0,1.0
2,2.5,right-hand,0.0003,0.9997
2,2.5,right-hand,0.001,0.999
2,2.5,right-hand,0.0081,0.9919
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9991,0.0009
2,2.5,left-hand,0.9999,0.0001
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9489,0.0511
2,2.5,right-hand,0.002,0.998
2,2.5,right-hand,0.0001,0.9999
2,2.5,left-hand,0.9886,0.0114
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.9999,0.0001
2,2.5,right-hand,0.0,1.0
2,2.5,left-hand,0.1391,0.8609
2,2.5,left-hand,1.0,0.0
2,2.5,left-hand,0.9945,0.0055
2,2.5,right-hand,0.1384,0.8616
2,2.5,left-hand,0.7708,0.2292
2,2.5,right-hand,0.0043,0.9957
2,2.5,right-hand,0.0002,0.9998
2,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0019,0.9981
3,2.5,left-hand,0.9978,0.0022
3,2.5,left-hand,0.9627,0.0373
3,2.5,left-hand,1.0,0.0
3,2.5,left-hand,0.9932,0.0068
3,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0097,0.9903
3,2.5,left-hand,0.9998,0.0002
3,2.5,right-hand,0.0,1.0
3,2.5,left-hand,0.9988,0.0012
3,2.5,left-hand,0.3898,0.6102
3,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0112,0.9888
3,2.5,right-hand,0.0,1.0
3,2.5,left-hand,1.0,0.0
3,2.5,left-hand,0.9462,0.0538
3,2.5,right-hand,0.0019,0.9981
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0025,0.9975
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.5012,0.4988
3,2.5,right-hand,0.0,1.0
3,2.5,left-hand,1.0,0.0
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0016,0.9984
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0002,0.9998
3,2.5,right-hand,0.0154,0.9846
3,2.5,left-hand,0.9872,0.0128
3,2.5,left-hand,0.0586,0.9414
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0,1.0
3,2.5,left-hand,0.9625,0.0375
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.1748,0.8252
3,2.5,left-hand,0.9994,0.0006
3,2.5,right-hand,0.0014,0.9986
3,2.5,left-hand,0.8617,0.1383
3,2.5,right-hand,0.0045,0.9955
3,2.5,right-hand,0.0001,0.9999
3,2.5,right-hand,0.0219,0.9781
3,2.5,left-hand,0.9021,0.0979
3,2.5,right-hand,0.0008,0.9992
3,2.5,left-hand,0.9997,0.0003
3,2.5,right-hand,0.0042,0.9958
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0012,0.9988
3,2.5,left-hand,0.7507,0.2493
3,2.5,left-hand,0.9996,0.0004
3,2.5,right-hand,0.002,0.998
3,2.5,left-hand,1.0,0.0
3,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0,1.0
3,2.5,right-hand,0.0019,0.9981
3,2.5,right-hand,0.0005,0.9995
3,2.5,left-hand,1.0,0.0
3,2.5,left-hand,1.0,0.0
4,2.5,left-hand,1.0,0.0
4,2.5,right-hand,0.0,1.0
4,2.5,right-hand,0.0,1.0
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,1.0,0.0
4,2.5,right-hand,0.0002,0.9998
4,2.5,left-hand,0.9998,0.0002
4,2.5,right-hand,0.0,1.0
4,2.5,left-hand,0.9973,0.0027
4,2.5,right-hand,0.0205,0.9795
4,2.5,left-hand,0.9999,0.0001
4,2.5,right-hand,0.0002,0.9998
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,0.9934,0.0066
4,2.5,right-hand,0.0833,0.9167
4,2.5,right-hand,0.4875,0.5125
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,0.9975,0.0025
4,2.5,right-hand,0.0002,0.9998
4,2.5,left-hand,0.1954,0.8046
4,2.5,right-hand,0.0031,0.9969
4,2.5,right-hand,0.0011,0.9989
4,2.5,right-hand,0.0003,0.9997
4,2.5,right-hand,0.17,0.83
4,2.5,left-hand,1.0,0.0
4,2.5,right-hand,0.0,1.0
4,2.5,left-hand,0.9997,0.0003
4,2.5,right-hand,0.0014,0.9986
4,2.5,left-hand,0.9989,0.0011
4,2.5,left-hand,0.9936,0.0064
4,2.5,right-hand,0.0011,0.9989
4,2.5,right-hand,0.0009,0.9991
4,2.5,right-hand,0.2426,0.7574
4,2.5,left-hand,0.9338,0.0662
4,2.5,left-hand,1.0,0.0
4,2.5,right-hand,0.0006,0.9994
4,2.5,left-hand,0.9995,0.0005
4,2.5,right-hand,0.3541,0.6459
4,2.5,right-hand,0.0001,0.9999
4,2.5,right-hand,0.0056,0.9944
4,2.5,right-hand,0.0,1.0
4,2.5,left-hand,0.8972,0.1028
4,2.5,left-hand,0.9997,0.0003
4,2.5,right-hand,0.0048,0.9952
4,2.5,left-hand,0.9831,0.0169
4,2.5,right-hand,0.0014,0.9986
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,1.0,0.0
4,2.5,left-hand,0.9446,0.0554
4,2.5,left-hand,1.0,0.0
4,2.5,right-hand,0.0045,0.9955
4,2.5,right-hand,0.0078,0.9922
4,2.5,right-hand,0.0119,0.9881
4,2.5,left-hand,0.999,0.001
4,2.5,left-hand,0.975,0.025
4,2.5,left-hand,1.0,0.0
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.0001,0.9999
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9993,0.0007
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,0.9998,0.0002
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.1554,0.8446
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9991,0.0009
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9995,0.0005
5,2.5,right-hand,0.0247,0.9753
5,2.5,right-hand,0.0241,0.9759
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.0033,0.9967
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9877,0.0123
5,2.5,right-hand,0.0097,0.9903
5,2.5,right-hand,0.0718,0.9282
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,0.9392,0.0608
5,2.5,left-hand,0.9987,0.0013
5,2.5,left-hand,0.4939,0.5061
5,2.5,left-hand,0.9996,0.0004
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9998,0.0002
5,2.5,right-hand,0.0001,0.9999
5,2.5,right-hand,0.956,0.044
5,2.5,left-hand,0.9987,0.0013
5,2.5,left-hand,0.9998,0.0002
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,0.9998,0.0002
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.8985,0.1015
5,2.5,left-hand,0.9973,0.0027
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.0314,0.9686
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.0,1.0
5,2.5,right-hand,0.0,1.0
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,0.9976,0.0024
5,2.5,left-hand,0.9952,0.0048
5,2.5,right-hand,0.0011,0.9989
5,2.5,right-hand,0.0001,0.9999
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.0267,0.9733
5,2.5,right-hand,0.0019,0.9981
5,2.5,left-hand,1.0,0.0
5,2.5,left-hand,1.0,0.0
5,2.5,right-hand,0.0,1.0
