fold,tmin,true_label,left-hand,right-hand
1,2.5,left-hand,0.4553,0.5447
1,2.5,right-hand,0.7588,0.2412
1,2.5,left-hand,0.6403,0.3597
1,2.5,right-hand,0.4482,0.5518
1,2.5,left-hand,0.4558,0.5442
1,2.5,right-hand,0.3165,0.6835
1,2.5,left-hand,0.3039,0.6961
1,2.5,right-hand,0.5283,0.4717
1,2.5,left-hand,0.1623,0.8377
1,2.5,left-hand,0.8769,0.1231
1,2.5,left-hand,0.4522,0.5478
1,2.5,right-hand,0.3453,0.6547
1,2.5,left-hand,0.5903,0.4097
1,2.5,right-hand,0.5982,0.4018
1,2.5,right-hand,0.709,0.291
1,2.5,left-hand,0.3541,0.6459
1,2.5,left-hand,0.5215,0.4785
1,2.5,right-hand,0.2739,0.7261
1,2.5,right-hand,0.6974,0.3026
1,2.5,right-hand,0.7292,0.2708
1,2.5,right-hand,0.7469,0.2531
1,2.5,left-hand,0.7293,0.2707
1,2.5,left-hand,0.8285,0.1715
1,2.5,left-hand,0.6478,0.3522
1,2.5,left-hand,0.8449,0.1551
1,2.5,left-hand,0.3438,0.6562
1,2.5,right-hand,0.3966,0.6034
1,2.5,right-hand,0.7208,0.2792
1,2.5,left-hand,0.3657,0.6343
1,2.5,left-hand,0.6363,0.3637
1,2.5,right-hand,0.4261,0.5739
1,2.5,right-hand,0.2648,0.7352
1,2.5,right-hand,0.4047,0.5953
1,2.5,right-hand,0.2468,0.7532
1,2.5,left-hand,0.3102,0.6898
1,2.5,right-hand,0.4102,0.5898
1,2.5,left-hand,0.6374,0.3626
1,2.5,right-hand,0.2918,0.7082
1,2.5,left-hand,0.9422,0.0578
1,2.5,left-hand,0.7969,0.2031
1,2.5,right-hand,0.2707,0.7293
1,2.5,left-hand,0.7115,0.2885
1,2.5,left-hand,0.5487,0.4513
1,2.5,right-hand,0.3109,0.6891
1,2.5,left-hand,0.8957,0.1043
1,2.5,left-hand,0.8307,0.1693
1,2.5,right-hand,0.5608,0.4392
1,2.5,right-hand,0.551,0.449
1,2.5,right-hand,0.3728,0.6272
1,2.5,left-hand,0.3828,0.6172
1,2.5,right-hand,0.5193,0.4807
1,2.5,right-hand,0.5607,0.4393
1,2.5,left-hand,0.5549,0.4451
1,2.5,right-hand,0.2763,0.7237
1,2.5,right-hand,0.6746,0.3254
1,2.5,right-hand,0.3943,0.6057
1,2.5,left-hand,0.6112,0.3888
1,2.5,left-hand,0.6865,0.3135
2,2.5,right-hand,0.592,0.408
2,2.5,left-hand,0.6126,0.3874
2,2.5,right-hand,0.1048,0.8952
2,2.5,left-hand,0.1769,0.8231
2,2.5,right-hand,0.2635,0.7365
2,2.5,right-hand,0.4486,0.5514
2,2.5,right-hand,0.6218,0.3782
2,2.5,right-hand,0.7431,0.2569
2,2.5,right-hand,0.3141,0.6859
2,2.5,left-hand,0.4543,0.5457
2,2.5,left-hand,0.0772,0.9228
2,2.5,right-hand,0.3531,0.6469
2,2.5,left-hand,0.5326,0.4674
2,2.5,left-hand,0.6562,0.3438
2,2.5,right-hand,0.2145,0.7855
2,2.5,left-hand,0.4827,0.5173
2,2.5,left-hand,0.1654,0.8346
2,2.5,right-hand,0.2915,0.7085
2,2.5,left-hand,0.2936,0.7064
2,2.5,right-hand,0.2228,0.7772
2,2.5,right-hand,0.5727,0.4273
2,2.5,left-hand,0.6645,0.3355
2,2.5,right-hand,0.139,0.861
2,2.5,left-hand,0.4246,0.5754
2,2.5,left-hand,0.1858,0.8142
2,2.5,right-hand,0.3717,0.6283
2,2.5,right-hand,0.3259,0.6741
2,2.5,left-hand,0.5455,0.4545
2,2.5,left-hand,0.2214,0.7786
2,2.5,right-hand,0.6479,0.3521
2,2.5,right-hand,0.4192,0.5808
2,2.5,left-hand,0.8136,0.1864
2,2.5,left-hand,0.5093,0.4907
2,2.5,left-hand,0.4821,0.5179
2,2.5,left-hand,0.3733,0.6267
2,2.5,right-hand,0.7123,0.2877
2,2.5,right-hand,0.3237,0.6763
2,2.5,right-hand,0.7459,0.2541
2,2.5,right-hand,0.4866,0.5134
2,2.5,left-hand,0.4842,0.5158
2,2.5,left-hand,0.7141,0.2859
2,2.5,left-hand,0.7524,0.2476
2,2.5,left-hand,0.7501,0.2499
2,2.5,left-hand,0.5158,0.4842
2,2.5,right-hand,0.8135,0.1865
2,2.5,right-hand,0.5335,0.4665
2,2.5,left-hand,0.5397,0.4603
2,2.5,right-hand,0.4465,0.5535
2,2.5,left-hand,0.5521,0.4479
