fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.6723,0.3277
1,3.5,right-hand,0.4884,0.5116
1,3.5,left-hand,0.6142,0.3858
1,3.5,left-hand,0.5998,0.4002
1,3.5,left-hand,0.5768,0.4232
1,3.5,right-hand,0.3655,0.6345
1,3.5,right-hand,0.7209,0.2791
1,3.5,right-hand,0.7307,0.2693
1,3.5,right-hand,0.6335,0.3665
1,3.5,left-hand,0.6518,0.3482
1,3.5,right-hand,0.1667,0.8333
1,3.5,left-hand,0.9374,0.0626
1,3.5,right-hand,0.3389,0.6611
1,3.5,left-hand,0.6266,0.3734
1,3.5,right-hand,0.4553,0.5447
1,3.5,left-hand,0.551,0.449
1,3.5,right-hand,0.4423,0.5577
1,3.5,left-hand,0.2961,0.7039
1,3.5,left-hand,0.6728,0.3272
1,3.5,right-hand,0.43,0.57
1,3.5,left-hand,0.5732,0.4268
1,3.5,left-hand,0.7708,0.2292
1,3.5,left-hand,0.6666,0.3334
1,3.5,right-hand,0.5016,0.4984
1,3.5,left-hand,0.9346,0.0654
1,3.5,right-hand,0.4073,0.5927
1,3.5,right-hand,0.4346,0.5654
1,3.5,left-hand,0.652,0.348
1,3.5,left-hand,0.6638,0.3362
1,3.5,right-hand,0.0963,0.9037
1,3.5,right-hand,0.2881,0.7119
1,3.5,right-hand,0.3863,0.6137
1,3.5,right-hand,0.2548,0.7452
1,3.5,left-hand,0.3303,0.6697
1,3.5,left-hand,0.4681,0.5319
1,3.5,right-hand,0.3349,0.6651
1,3.5,left-hand,0.3111,0.6889
1,3.5,right-hand,0.2305,0.7695
1,3.5,left-hand,0.5234,0.4766
1,3.5,right-hand,0.4181,0.5819
1,3.5,right-hand,0.4092,0.5908
1,3.5,left-hand,0.656,0.344
1,3.5,left-hand,0.2001,0.7999
1,3.5,right-hand,0.3641,0.6359
1,3.5,right-hand,0.6204,0.3796
1,3.5,right-hand,0.2707,0.7293
1,3.5,left-hand,0.2476,0.7524
1,3.5,left-hand,0.409,0.591
1,3.5,left-hand,0.4744,0.5256
1,3.5,left-hand,0.4431,0.5569
1,3.5,right-hand,0.3228,0.6772
1,3.5,left-hand,0.8046,0.1954
1,3.5,left-hand,0.2439,0.7561
1,3.5,right-hand,0.4969,0.5031
1,3.5,right-hand,0.1645,0.8355
1,3.5,right-hand,0.2366,0.7634
1,3.5,right-hand,0.3262,0.6738
1,3.5,left-hand,0.3646,0.6354
1,3.5,right-hand,0.4723,0.5277
1,3.5,left-hand,0.6143,0.3857
1,3.5,right-hand,0.127,0.873
1,3.5,right-hand,0.1032,0.8968
1,3.5,left-hand,0.3159,0.6841
1,3.5,left-hand,0.6557,0.3443
1,3.5,left-hand,0.434,0.566
1,3.5,right-hand,0.5452,0.4548
1,3.5,left-hand,0.6025,0.3975
1,3.5,right-hand,0.067,0.933
1,3.5,right-hand,0.1358,0.8642
1,3.5,right-hand,0.0777,0.9223
1,3.5,right-hand,0.0932,0.9068
1,3.5,left-hand,0.7971,0.2029
1,3.5,left-hand,0.2565,0.7435
1,3.5,right-hand,0.2056,0.7944
1,3.5,right-hand,0.5499,0.4501
1,3.5,right-hand,0.0514,0.9486
1,3.5,right-hand,0.24,0.76
1,3.5,left-hand,0.3249,0.6751
1,3.5,right-hand,0.0354,0.9646
1,3.5,right-hand,0.3573,0.6427
1,3.5,left-hand,0.6419,0.3581
1,3.5,right-hand,0.3443,0.6557
1,3.5,left-hand,0.8269,0.1731
1,3.5,left-hand,0.4864,0.5136
1,3.5,left-hand,0.6005,0.3995
1,3.5,right-hand,0.4726,0.5274
1,3.5,left-hand,0.801,0.199
1,3.5,left-hand,0.7454,0.2546
1,3.5,left-hand,0.6191,0.3809
1,3.5,right-hand,0.2051,0.7949
1,3.5,left-hand,0.898,0.102
1,3.5,right-hand,0.0166,0.9834
1,3.5,right-hand,0.2796,0.7204
1,3.5,right-hand,0.3423,0.6577
1,3.5,right-hand,0.2291,0.7709
1,3.5,right-hand,0.4224,0.5776
1,3.5,left-hand,0.7659,0.2341
1,3.5,right-hand,0.2463,0.7537
1,3.5,right-hand,0.3083,0.6917
1,3.5,left-hand,0.8621,0.1379
1,3.5,right-hand,0.1981,0.8019
1,3.5,left-hand,0.4158,0.5842
1,3.5,left-hand,0.6185,0.3815
1,3.5,right-hand,0.3855,0.6145
1,3.5,right-hand,0.417,0.583
1,3.5,left-hand,0.5716,0.4284
1,3.5,left-hand,0.6163,0.3837
1,3.5,left-hand,0.5883,0.4117
1,3.5,right-hand,0.2999,0.7001
1,3.5,right-hand,0.3699,0.6301
1,3.5,left-hand,0.6947,0.3053
1,3.5,right-hand,0.3795,0.6205
1,3.5,left-hand,0.8489,0.1511
1,3.5,left-hand,0.3696,0.6304
1,3.5,left-hand,0.8511,0.1489
1,3.5,left-hand,0.7071,0.2929
1,3.5,left-hand,0.5368,0.4632
1,3.5,right-hand,0.6676,0.3324
1,3.5,right-hand,0.3422,0.6578
1,3.5,left-hand,0.8814,0.1186
1,3.5,left-hand,0.6231,0.3769
1,3.5,left-hand,0.882,0.118
1,3.5,right-hand,0.627,0.373
1,3.5,left-hand,0.655,0.345
1,3.5,left-hand,0.8564,0.1436
1,3.5,left-hand,0.809,0.191
1,3.5,left-hand,0.2784,0.7216
1,3.5,left-hand,0.7692,0.2308
1,3.5,left-hand,0.7478,0.2522
1,3.5,right-hand,0.8127,0.1873
1,3.5,right-hand,0.2112,0.7888
1,3.5,right-hand,0.7853,0.2147
1,3.5,right-hand,0.668,0.332
1,3.5,left-hand,0.7573,0.2427
1,3.5,left-hand,0.8923,0.1077
1,3.5,right-hand,0.6973,0.3027
1,3.5,left-hand,0.9233,0.0767
1,3.5,right-hand,0.7498,0.2502
1,3.5,right-hand,0.3056,0.6944
1,3.5,right-hand,0.6329,0.3671
1,3.5,left-hand,0.9643,0.0357
1,3.5,left-hand,0.8655,0.1345
1,3.5,right-hand,0.708,0.292
1,3.5,right-hand,0.4856,0.5144
2,3.5,right-hand,0.5307,0.4693
2,3.5,right-hand,0.2659,0.7341
2,3.5,left-hand,0.7788,0.2212
2,3.5,left-hand,0.4485,0.5515
2,3.5,right-hand,0.5806,0.4194
2,3.5,left-hand,0.7281,0.2719
2,3.5,left-hand,0.3382,0.6618
2,3.5,left-hand,0.6063,0.3937
2,3.5,right-hand,0.1529,0.8471
2,3.5,left-hand,0.6262,0.3738
2,3.5,right-hand,0.4853,0.5147
2,3.5,right-hand,0.5848,0.4152
2,3.5,right-hand,0.8217,0.1783
2,3.5,left-hand,0.4257,0.5743
2,3.5,right-hand,0.3182,0.6818
2,3.5,left-hand,0.9218,0.0782
2,3.5,right-hand,0.668,0.332
2,3.5,left-hand,0.3925,0.6075
2,3.5,left-hand,0.7882,0.2118
2,3.5,right-hand,0.517,0.483
2,3.5,left-hand,0.7192,0.2808
2,3.5,right-hand,0.4083,0.5917
2,3.5,left-hand,0.9222,0.0778
2,3.5,right-hand,0.4781,0.5219
2,3.5,left-hand,0.5795,0.4205
2,3.5,left-hand,0.9148,0.0852
2,3.5,right-hand,0.3983,0.6017
2,3.5,left-hand,0.8184,0.1816
2,3.5,left-hand,0.3765,0.6235
2,3.5,left-hand,0.4781,0.5219
2,3.5,left-hand,0.3048,0.6952
2,3.5,right-hand,0.0414,0.9586
2,3.5,right-hand,0.3328,0.6672
2,3.5,left-hand,0.5279,0.4721
2,3.5,right-hand,0.335,0.665
2,3.5,left-hand,0.6448,0.3552
2,3.5,left-hand,0.5598,0.4402
2,3.5,right-hand,0.3659,0.6341
2,3.5,right-hand,0.5396,0.4604
2,3.5,right-hand,0.3856,0.6144
2,3.5,left-hand,0.5701,0.4299
2,3.5,left-hand,0.3435,0.6565
2,3.5,left-hand,0.4316,0.5684
2,3.5,left-hand,0.3002,0.6998
2,3.5,right-hand,0.0802,0.9198
2,3.5,right-hand,0.4171,0.5829
2,3.5,left-hand,0.3717,0.6283
2,3.5,right-hand,0.407,0.593
2,3.5,left-hand,0.7517,0.2483
2,3.5,right-hand,0.1773,0.8227
2,3.5,left-hand,0.3553,0.6447
2,3.5,left-hand,0.4967,0.5033
2,3.5,right-hand,0.1186,0.8814
2,3.5,left-hand,0.6632,0.3368
2,3.5,left-hand,0.876,0.124
2,3.5,right-hand,0.0631,0.9369
2,3.5,left-hand,0.4644,0.5356
2,3.5,left-hand,0.494,0.506
2,3.5,left-hand,0.4135,0.5865
2,3.5,right-hand,0.259,0.741
2,3.5,left-hand,0.5342,0.4658
2,3.5,right-hand,0.1504,0.8496
2,3.5,left-hand,0.4512,0.5488
2,3.5,right-hand,0.0757,0.9243
2,3.5,left-hand,0.4249,0.5751
2,3.5,left-hand,0.4316,0.5684
2,3.5,right-hand,0.0572,0.9428
2,3.5,right-hand,0.1887,0.8113
2,3.5,right-hand,0.0474,0.9526
2,3.5,left-hand,0.4235,0.5765
2,3.5,left-hand,0.8591,0.1409
2,3.5,left-hand,0.729,0.271
2,3.5,right-hand,0.0597,0.9403
2,3.5,left-hand,0.6502,0.3498
2,3.5,right-hand,0.193,0.807
2,3.5,right-hand,0.5185,0.4815
2,3.5,left-hand,0.3981,0.6019
2,3.5,left-hand,0.7187,0.2813
2,3.5,left-hand,0.6689,0.3311
2,3.5,left-hand,0.5951,0.4049
2,3.5,left-hand,0.5515,0.4485
2,3.5,left-hand,0.917,0.083
2,3.5,right-hand,0.5924,0.4076
2,3.5,right-hand,0.4734,0.5266
2,3.5,right-hand,0.422,0.578
2,3.5,right-hand,0.4638,0.5362
2,3.5,right-hand,0.3571,0.6429
2,3.5,right-hand,0.1267,0.8733
2,3.5,left-hand,0.5142,0.4858
2,3.5,right-hand,0.2215,0.7785
2,3.5,right-hand,0.2714,0.7286
2,3.5,right-hand,0.2695,0.7305
2,3.5,left-hand,0.7728,0.2272
2,3.5,right-hand,0.3668,0.6332
2,3.5,left-hand,0.6853,0.3147
2,3.5,right-hand,0.3691,0.6309
2,3.5,right-hand,0.3667,0.6333
2,3.5,left-hand,0.5085,0.4915
2,3.5,right-hand,0.2574,0.7426
2,3.5,left-hand,0.7106,0.2894
