fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0007,0.9993
1,3.5,left-hand,0.0004,0.9996
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0005,0.9995
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0005,0.9995
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,0.0009,0.9991
1,3.5,right-hand,0.0004,0.9996
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0003,0.9997
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,1e-04,0.9999
1,3.5,left-hand,0.0004,0.9996
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0011,0.9989
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0009,0.9991
1,3.5,left-hand,0.0008,0.9992
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0009,0.9991
1,3.5,left-hand,0.0006,0.9994
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,1e-04,0.9999
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0005,0.9995
1,3.5,right-hand,0.0003,0.9997
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0004,0.9996
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0005,0.9995
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,0.0008,0.9992
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,0.0004,0.9996
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0005,0.9995
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0008,0.9992
1,3.5,left-hand,0.0008,0.9992
1,3.5,left-hand,0.0002,0.9998
1,3.5,right-hand,0.0004,0.9996
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0004,0.9996
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0005,0.9995
1,3.5,right-hand,0.0005,0.9995
1,3.5,left-hand,0.0007,0.9993
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0003,0.9997
1,3.5,left-hand,0.0004,0.9996
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0003,0.9997
1,3.5,left-hand,0.0009,0.9991
1,3.5,right-hand,1e-04,0.9999
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0007,0.9993
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0004,0.9996
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,0.0013,0.9987
1,3.5,left-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.0002,0.9998
1,3.5,left-hand,0.0018,0.9982
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,0.0004,0.9996
1,3.5,left-hand,0.0014,0.9986
1,3.5,right-hand,0.0003,0.9997
1,3.5,right-hand,0.0002,0.9998
1,3.5,left-hand,0.0007,0.9993
1,3.5,left-hand,0.0004,0.9996
2,3.5,left-hand,0.3678,0.6322
2,3.5,left-hand,0.3482,0.6518
2,3.5,right-hand,0.1224,0.8776
2,3.5,left-hand,0.4016,0.5984
2,3.5,right-hand,0.3038,0.6962
2,3.5,right-hand,0.2268,0.7732
2,3.5,right-hand,0.2277,0.7723
2,3.5,right-hand,0.0903,0.9097
2,3.5,left-hand,0.8226,0.1774
2,3.5,right-hand,0.4963,0.5037
2,3.5,left-hand,0.6725,0.3275
2,3.5,left-hand,0.6864,0.3136
2,3.5,left-hand,0.2483,0.7517
2,3.5,right-hand,0.4608,0.5392
2,3.5,left-hand,0.2682,0.7318
2,3.5,right-hand,0.1428,0.8572
2,3.5,right-hand,0.2315,0.7685
2,3.5,left-hand,0.3877,0.6123
2,3.5,right-hand,0.4293,0.5707
2,3.5,left-hand,0.7137,0.2863
2,3.5,right-hand,0.4737,0.5263
2,3.5,left-hand,0.5171,0.4829
2,3.5,right-hand,0.1767,0.8233
2,3.5,left-hand,0.6835,0.3165
2,3.5,right-hand,0.325,0.675
2,3.5,right-hand,0.0704,0.9296
2,3.5,left-hand,0.4943,0.5057
