fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.2931,0.7069
1,3.5,right-hand,0.8792,0.1208
1,3.5,left-hand,0.5404,0.4596
1,3.5,right-hand,0.3199,0.6801
1,3.5,right-hand,0.2221,0.7779
1,3.5,left-hand,0.2658,0.7342
1,3.5,right-hand,0.5926,0.4074
1,3.5,right-hand,0.3119,0.6881
1,3.5,left-hand,0.1969,0.8031
1,3.5,right-hand,0.6912,0.3088
1,3.5,right-hand,0.4118,0.5882
1,3.5,right-hand,0.9207,0.0793
1,3.5,left-hand,0.4661,0.5339
1,3.5,right-hand,0.6617,0.3383
1,3.5,right-hand,0.648,0.352
1,3.5,right-hand,0.4005,0.5995
1,3.5,left-hand,0.388,0.612
1,3.5,right-hand,0.6997,0.3003
1,3.5,left-hand,0.8495,0.1505
1,3.5,right-hand,0.6384,0.3616
1,3.5,left-hand,0.2769,0.7231
1,3.5,left-hand,0.8227,0.1773
1,3.5,right-hand,0.5029,0.4971
1,3.5,left-hand,0.482,0.518
1,3.5,left-hand,0.6332,0.3668
1,3.5,right-hand,0.4297,0.5703
1,3.5,left-hand,0.9184,0.0816
1,3.5,right-hand,0.4233,0.5767
1,3.5,left-hand,0.6351,0.3649
1,3.5,right-hand,0.5974,0.4026
1,3.5,right-hand,0.6138,0.3862
1,3.5,right-hand,0.5053,0.4947
1,3.5,left-hand,0.7008,0.2992
1,3.5,right-hand,0.6891,0.3109
1,3.5,left-hand,0.9136,0.0864
1,3.5,left-hand,0.4259,0.5741
1,3.5,left-hand,0.2805,0.7195
1,3.5,left-hand,0.5804,0.4196
1,3.5,left-hand,0.432,0.568
1,3.5,right-hand,0.7842,0.2158
1,3.5,left-hand,0.9031,0.0969
1,3.5,right-hand,0.24,0.76
1,3.5,right-hand,0.4821,0.5179
1,3.5,right-hand,0.7811,0.2189
1,3.5,left-hand,0.6708,0.3292
1,3.5,left-hand,0.7443,0.2557
1,3.5,right-hand,0.5645,0.4355
1,3.5,left-hand,0.5008,0.4992
1,3.5,left-hand,0.6739,0.3261
1,3.5,right-hand,0.1871,0.8129
1,3.5,left-hand,0.247,0.753
1,3.5,left-hand,0.5164,0.4836
1,3.5,left-hand,0.1415,0.8585
1,3.5,right-hand,0.3011,0.6989
1,3.5,left-hand,0.3823,0.6177
1,3.5,left-hand,0.4582,0.5418
1,3.5,right-hand,0.2803,0.7197
1,3.5,left-hand,0.5955,0.4045
1,3.5,right-hand,0.9311,0.0689
1,3.5,left-hand,0.5524,0.4476
1,3.5,left-hand,0.5821,0.4179
1,3.5,right-hand,0.6997,0.3003
1,3.5,right-hand,0.3183,0.6817
1,3.5,right-hand,0.0952,0.9048
1,3.5,left-hand,0.6123,0.3877
1,3.5,left-hand,0.9013,0.0987
1,3.5,left-hand,0.7376,0.2624
1,3.5,right-hand,0.0735,0.9265
1,3.5,left-hand,0.7097,0.2903
1,3.5,left-hand,0.1842,0.8158
1,3.5,left-hand,0.5475,0.4525
1,3.5,right-hand,0.3479,0.6521
1,3.5,right-hand,0.0696,0.9304
1,3.5,right-hand,0.4212,0.5788
1,3.5,right-hand,0.4057,0.5943
1,3.5,left-hand,0.6174,0.3826
1,3.5,left-hand,0.8365,0.1635
1,3.5,left-hand,0.1708,0.8292
1,3.5,left-hand,0.3308,0.6692
1,3.5,right-hand,0.045,0.955
1,3.5,right-hand,0.1026,0.8974
1,3.5,left-hand,0.8534,0.1466
1,3.5,left-hand,0.889,0.111
1,3.5,left-hand,0.7646,0.2354
1,3.5,left-hand,0.8191,0.1809
1,3.5,left-hand,0.1686,0.8314
1,3.5,right-hand,0.0484,0.9516
1,3.5,left-hand,0.6379,0.3621
1,3.5,left-hand,0.1621,0.8379
1,3.5,right-hand,0.1522,0.8478
1,3.5,left-hand,0.4671,0.5329
1,3.5,left-hand,0.9655,0.0345
1,3.5,right-hand,0.5287,0.4713
1,3.5,right-hand,0.1607,0.8393
1,3.5,left-hand,0.9276,0.0724
1,3.5,right-hand,0.2875,0.7125
1,3.5,right-hand,0.2455,0.7545
1,3.5,left-hand,0.5685,0.4315
1,3.5,right-hand,0.1703,0.8297
1,3.5,right-hand,0.3626,0.6374
1,3.5,right-hand,0.0573,0.9427
1,3.5,right-hand,0.2772,0.7228
1,3.5,left-hand,0.7996,0.2004
1,3.5,right-hand,0.1948,0.8052
1,3.5,left-hand,0.7039,0.2961
1,3.5,right-hand,0.4758,0.5242
1,3.5,left-hand,0.8315,0.1685
1,3.5,right-hand,0.5539,0.4461
1,3.5,left-hand,0.832,0.168
1,3.5,left-hand,0.9744,0.0256
1,3.5,left-hand,0.1904,0.8096
1,3.5,left-hand,0.7873,0.2127
1,3.5,right-hand,0.1237,0.8763
1,3.5,right-hand,0.148,0.852
1,3.5,right-hand,0.2532,0.7468
1,3.5,left-hand,0.9713,0.0287
1,3.5,left-hand,0.2213,0.7787
1,3.5,right-hand,0.4213,0.5787
1,3.5,left-hand,0.3477,0.6523
1,3.5,left-hand,0.7102,0.2898
1,3.5,right-hand,0.4781,0.5219
1,3.5,right-hand,0.1413,0.8587
1,3.5,right-hand,0.4503,0.5497
1,3.5,right-hand,0.0686,0.9314
1,3.5,left-hand,0.6893,0.3107
1,3.5,right-hand,0.168,0.832
1,3.5,left-hand,0.8905,0.1095
1,3.5,left-hand,0.8395,0.1605
1,3.5,right-hand,0.2349,0.7651
1,3.5,left-hand,0.9109,0.0891
1,3.5,right-hand,0.0997,0.9003
1,3.5,right-hand,0.187,0.813
1,3.5,right-hand,0.0765,0.9235
1,3.5,left-hand,0.6386,0.3614
1,3.5,right-hand,0.3853,0.6147
1,3.5,right-hand,0.2152,0.7848
1,3.5,right-hand,0.0603,0.9397
1,3.5,right-hand,0.2838,0.7162
1,3.5,right-hand,0.409,0.591
1,3.5,left-hand,0.4682,0.5318
1,3.5,right-hand,0.4588,0.5412
1,3.5,right-hand,0.1344,0.8656
1,3.5,left-hand,0.8389,0.1611
1,3.5,right-hand,0.1619,0.8381
1,3.5,left-hand,0.5702,0.4298
1,3.5,left-hand,0.8532,0.1468
1,3.5,left-hand,0.7458,0.2542
1,3.5,left-hand,0.664,0.336
1,3.5,left-hand,0.7307,0.2693
1,3.5,left-hand,0.5259,0.4741
1,3.5,right-hand,0.17,0.83
1,3.5,right-hand,0.594,0.406
2,3.5,left-hand,0.7919,0.2081
2,3.5,left-hand,0.7477,0.2523
2,3.5,left-hand,0.6687,0.3313
2,3.5,right-hand,0.5969,0.4031
2,3.5,right-hand,0.7561,0.2439
2,3.5,left-hand,0.9376,0.0624
2,3.5,left-hand,0.7244,0.2756
2,3.5,right-hand,0.4728,0.5272
2,3.5,left-hand,0.7702,0.2298
2,3.5,right-hand,0.3334,0.6666
2,3.5,right-hand,0.5681,0.4319
2,3.5,right-hand,0.2404,0.7596
2,3.5,right-hand,0.5593,0.4407
2,3.5,left-hand,0.7252,0.2748
2,3.5,right-hand,0.0729,0.9271
2,3.5,left-hand,0.7341,0.2659
2,3.5,left-hand,0.8197,0.1803
2,3.5,right-hand,0.6493,0.3507
2,3.5,left-hand,0.6689,0.3311
2,3.5,left-hand,0.6839,0.3161
2,3.5,left-hand,0.4985,0.5015
2,3.5,right-hand,0.7432,0.2568
2,3.5,left-hand,0.3884,0.6116
2,3.5,left-hand,0.5275,0.4725
2,3.5,left-hand,0.8946,0.1054
2,3.5,right-hand,0.4683,0.5317
2,3.5,right-hand,0.2107,0.7893
2,3.5,right-hand,0.7239,0.2761
2,3.5,right-hand,0.4341,0.5659
2,3.5,right-hand,0.5337,0.4663
2,3.5,right-hand,0.3348,0.6652
2,3.5,right-hand,0.3645,0.6355
2,3.5,right-hand,0.4248,0.5752
2,3.5,left-hand,0.7102,0.2898
2,3.5,right-hand,0.5883,0.4117
2,3.5,right-hand,0.4113,0.5887
2,3.5,right-hand,0.4524,0.5476
2,3.5,left-hand,0.9684,0.0316
2,3.5,left-hand,0.2283,0.7717
2,3.5,left-hand,0.4979,0.5021
2,3.5,right-hand,0.7235,0.2765
2,3.5,right-hand,0.1841,0.8159
2,3.5,left-hand,0.5561,0.4439
2,3.5,right-hand,0.8305,0.1695
2,3.5,right-hand,0.1291,0.8709
2,3.5,left-hand,0.5184,0.4816
2,3.5,left-hand,0.7598,0.2402
2,3.5,right-hand,0.4623,0.5377
2,3.5,right-hand,0.1669,0.8331
2,3.5,right-hand,0.7294,0.2706
2,3.5,left-hand,0.7835,0.2165
2,3.5,right-hand,0.5017,0.4983
2,3.5,left-hand,0.0414,0.9586
2,3.5,right-hand,0.2521,0.7479
2,3.5,right-hand,0.6369,0.3631
2,3.5,left-hand,0.1786,0.8214
2,3.5,left-hand,0.6859,0.3141
2,3.5,left-hand,0.5846,0.4154
2,3.5,right-hand,0.5102,0.4898
2,3.5,right-hand,0.1305,0.8695
2,3.5,right-hand,0.4837,0.5163
2,3.5,right-hand,0.0922,0.9078
2,3.5,right-hand,0.084,0.916
2,3.5,left-hand,0.7905,0.2095
2,3.5,right-hand,0.3006,0.6994
2,3.5,left-hand,0.2005,0.7995
2,3.5,right-hand,0.2133,0.7867
2,3.5,right-hand,0.3233,0.6767
2,3.5,right-hand,0.3867,0.6133
2,3.5,left-hand,0.7456,0.2544
2,3.5,right-hand,0.3244,0.6756
2,3.5,right-hand,0.6916,0.3084
2,3.5,left-hand,0.9104,0.0896
2,3.5,left-hand,0.7559,0.2441
2,3.5,right-hand,0.0416,0.9584
2,3.5,left-hand,0.6494,0.3506
2,3.5,left-hand,0.676,0.324
2,3.5,right-hand,0.6647,0.3353
2,3.5,left-hand,0.7302,0.2698
2,3.5,left-hand,0.4718,0.5282
2,3.5,left-hand,0.5787,0.4213
2,3.5,right-hand,0.2055,0.7945
2,3.5,right-hand,0.0491,0.9509
2,3.5,left-hand,0.0592,0.9408
2,3.5,right-hand,0.1532,0.8468
2,3.5,left-hand,0.459,0.541
2,3.5,left-hand,0.7509,0.2491
2,3.5,left-hand,0.7134,0.2866
2,3.5,right-hand,0.1419,0.8581
2,3.5,right-hand,0.1101,0.8899
2,3.5,left-hand,0.5929,0.4071
2,3.5,right-hand,0.6742,0.3258
2,3.5,right-hand,0.0608,0.9392
2,3.5,left-hand,0.6251,0.3749
2,3.5,right-hand,0.5809,0.4191
2,3.5,left-hand,0.8784,0.1216
2,3.5,right-hand,0.1467,0.8533
2,3.5,left-hand,0.4381,0.5619
2,3.5,right-hand,0.3072,0.6928
2,3.5,right-hand,0.0895,0.9105
2,3.5,left-hand,0.8684,0.1316
2,3.5,left-hand,0.9513,0.0487
2,3.5,left-hand,0.363,0.637
2,3.5,right-hand,0.2708,0.7292
2,3.5,right-hand,0.1835,0.8165
2,3.5,left-hand,0.5698,0.4302
2,3.5,right-hand,0.2118,0.7882
2,3.5,left-hand,0.8523,0.1477
2,3.5,left-hand,0.3956,0.6044
2,3.5,left-hand,0.4761,0.5239
2,3.5,right-hand,0.038,0.962
2,3.5,right-hand,0.5497,0.4503
2,3.5,left-hand,0.3441,0.6559
2,3.5,right-hand,0.3377,0.6623
2,3.5,right-hand,0.8375,0.1625
2,3.5,right-hand,0.055,0.945
2,3.5,left-hand,0.3973,0.6027
2,3.5,left-hand,0.9455,0.0545
2,3.5,left-hand,0.7234,0.2766
2,3.5,left-hand,0.924,0.076
2,3.5,right-hand,0.1795,0.8205
2,3.5,left-hand,0.8043,0.1957
2,3.5,left-hand,0.6632,0.3368
2,3.5,left-hand,0.6392,0.3608
2,3.5,right-hand,0.0732,0.9268
2,3.5,left-hand,0.8578,0.1422
2,3.5,right-hand,0.215,0.785
2,3.5,left-hand,0.9733,0.0267
2,3.5,left-hand,0.6671,0.3329
2,3.5,left-hand,0.6085,0.3915
2,3.5,right-hand,0.0723,0.9277
2,3.5,left-hand,0.731,0.269
2,3.5,right-hand,0.0941,0.9059
2,3.5,left-hand,0.6642,0.3358
2,3.5,left-hand,0.3488,0.6512
2,3.5,left-hand,0.7968,0.2032
2,3.5,left-hand,0.4238,0.5762
2,3.5,left-hand,0.5227,0.4773
2,3.5,left-hand,0.6509,0.3491
2,3.5,left-hand,0.8043,0.1957
2,3.5,left-hand,0.9246,0.0754
2,3.5,right-hand,0.1388,0.8612
2,3.5,right-hand,0.3418,0.6582
2,3.5,right-hand,0.1025,0.8975
2,3.5,right-hand,0.0507,0.9493
2,3.5,right-hand,0.3401,0.6599
2,3.5,left-hand,0.5909,0.4091
2,3.5,left-hand,0.9408,0.0592
2,3.5,right-hand,0.0602,0.9398
2,3.5,right-hand,0.1897,0.8103
2,3.5,right-hand,0.4187,0.5813
2,3.5,left-hand,0.8082,0.1918
3,3.5,left-hand,0.7196,0.2804
3,3.5,right-hand,0.3314,0.6686
3,3.5,left-hand,0.7636,0.2364
3,3.5,left-hand,0.8023,0.1977
3,3.5,left-hand,0.2878,0.7122
3,3.5,left-hand,0.4116,0.5884
3,3.5,right-hand,0.1792,0.8208
3,3.5,right-hand,0.5626,0.4374
3,3.5,right-hand,0.399,0.601
3,3.5,left-hand,0.7306,0.2694
3,3.5,left-hand,0.4255,0.5745
3,3.5,right-hand,0.0831,0.9169
3,3.5,left-hand,0.3437,0.6563
3,3.5,left-hand,0.3117,0.6883
3,3.5,right-hand,0.2902,0.7098
3,3.5,left-hand,0.731,0.269
3,3.5,right-hand,0.8006,0.1994
3,3.5,left-hand,0.8273,0.1727
3,3.5,left-hand,0.3182,0.6818
3,3.5,left-hand,0.3603,0.6397
3,3.5,right-hand,0.3861,0.6139
3,3.5,left-hand,0.2392,0.7608
3,3.5,right-hand,0.5855,0.4145
3,3.5,right-hand,0.6015,0.3985
3,3.5,left-hand,0.9525,0.0475
3,3.5,left-hand,0.6704,0.3296
3,3.5,right-hand,0.5428,0.4572
3,3.5,left-hand,0.4026,0.5974
3,3.5,left-hand,0.7809,0.2191
3,3.5,left-hand,0.2298,0.7702
3,3.5,right-hand,0.4327,0.5673
3,3.5,left-hand,0.6625,0.3375
3,3.5,left-hand,0.6186,0.3814
3,3.5,left-hand,0.7204,0.2796
3,3.5,right-hand,0.0962,0.9038
3,3.5,left-hand,0.7128,0.2872
3,3.5,left-hand,0.1056,0.8944
3,3.5,left-hand,0.8397,0.1603
3,3.5,right-hand,0.4312,0.5688
3,3.5,left-hand,0.5356,0.4644
3,3.5,right-hand,0.0603,0.9397
3,3.5,right-hand,0.7274,0.2726
3,3.5,right-hand,0.6632,0.3368
3,3.5,right-hand,0.5303,0.4697
3,3.5,left-hand,0.7087,0.2913
3,3.5,left-hand,0.6697,0.3303
3,3.5,left-hand,0.2578,0.7422
3,3.5,right-hand,0.7548,0.2452
3,3.5,left-hand,0.9329,0.0671
3,3.5,right-hand,0.6409,0.3591
3,3.5,right-hand,0.7997,0.2003
3,3.5,right-hand,0.1161,0.8839
3,3.5,left-hand,0.6841,0.3159
3,3.5,right-hand,0.0627,0.9373
3,3.5,left-hand,0.4101,0.5899
3,3.5,right-hand,0.1383,0.8617
3,3.5,right-hand,0.4033,0.5967
3,3.5,left-hand,0.0276,0.9724
3,3.5,right-hand,0.0343,0.9657
3,3.5,right-hand,0.1114,0.8886
3,3.5,right-hand,0.1144,0.8856
3,3.5,left-hand,0.2462,0.7538
3,3.5,left-hand,0.2086,0.7914
3,3.5,left-hand,0.2127,0.7873
3,3.5,left-hand,0.7323,0.2677
3,3.5,left-hand,0.0594,0.9406
3,3.5,right-hand,0.5153,0.4847
3,3.5,right-hand,0.3215,0.6785
3,3.5,left-hand,0.1416,0.8584
3,3.5,right-hand,0.263,0.737
3,3.5,left-hand,0.2162,0.7838
3,3.5,right-hand,0.0693,0.9307
3,3.5,right-hand,0.0824,0.9176
3,3.5,left-hand,0.8321,0.1679
3,3.5,left-hand,0.74,0.26
3,3.5,right-hand,0.4398,0.5602
3,3.5,right-hand,0.6262,0.3738
3,3.5,left-hand,0.785,0.215
3,3.5,right-hand,0.3091,0.6909
3,3.5,right-hand,0.0925,0.9075
3,3.5,right-hand,0.0457,0.9543
3,3.5,right-hand,0.5705,0.4295
3,3.5,right-hand,0.7505,0.2495
3,3.5,left-hand,0.7321,0.2679
3,3.5,right-hand,0.1055,0.8945
3,3.5,right-hand,0.1328,0.8672
3,3.5,right-hand,0.1118,0.8882
3,3.5,right-hand,0.0214,0.9786
3,3.5,right-hand,0.2746,0.7254
3,3.5,left-hand,0.473,0.527
3,3.5,left-hand,0.6441,0.3559
3,3.5,left-hand,0.8892,0.1108
3,3.5,left-hand,0.8821,0.1179
3,3.5,left-hand,0.2115,0.7885
3,3.5,right-hand,0.6163,0.3837
3,3.5,left-hand,0.5881,0.4119
3,3.5,right-hand,0.1805,0.8195
3,3.5,left-hand,0.908,0.092
3,3.5,right-hand,0.2579,0.7421
3,3.5,left-hand,0.0741,0.9259
3,3.5,left-hand,0.6951,0.3049
3,3.5,right-hand,0.1325,0.8675
3,3.5,right-hand,0.0585,0.9415
3,3.5,left-hand,0.785,0.215
3,3.5,right-hand,0.3257,0.6743
3,3.5,right-hand,0.1069,0.8931
3,3.5,right-hand,0.1581,0.8419
3,3.5,left-hand,0.9545,0.0455
3,3.5,right-hand,0.2624,0.7376
3,3.5,right-hand,0.1071,0.8929
3,3.5,left-hand,0.9266,0.0734
3,3.5,right-hand,0.1915,0.8085
3,3.5,left-hand,0.7615,0.2385
3,3.5,left-hand,0.892,0.108
3,3.5,left-hand,0.9214,0.0786
3,3.5,right-hand,0.5865,0.4135
3,3.5,left-hand,0.3048,0.6952
3,3.5,left-hand,0.9078,0.0922
3,3.5,right-hand,0.0553,0.9447
3,3.5,right-hand,0.3357,0.6643
3,3.5,left-hand,0.7597,0.2403
3,3.5,right-hand,0.1764,0.8236
3,3.5,left-hand,0.3467,0.6533
3,3.5,right-hand,0.0927,0.9073
3,3.5,right-hand,0.5789,0.4211
3,3.5,left-hand,0.8879,0.1121
3,3.5,left-hand,0.7367,0.2633
3,3.5,left-hand,0.7658,0.2342
3,3.5,left-hand,0.7072,0.2928
3,3.5,left-hand,0.761,0.239
3,3.5,right-hand,0.8062,0.1938
3,3.5,right-hand,0.3001,0.6999
3,3.5,right-hand,0.1126,0.8874
3,3.5,right-hand,0.1988,0.8012
3,3.5,right-hand,0.2468,0.7532
3,3.5,right-hand,0.2044,0.7956
3,3.5,left-hand,0.9821,0.0179
3,3.5,right-hand,0.1379,0.8621
3,3.5,right-hand,0.6317,0.3683
3,3.5,right-hand,0.0502,0.9498
3,3.5,right-hand,0.0364,0.9636
3,3.5,left-hand,0.8363,0.1637
3,3.5,right-hand,0.681,0.319
3,3.5,right-hand,0.1677,0.8323
3,3.5,left-hand,0.6853,0.3147
3,3.5,left-hand,0.8029,0.1971
3,3.5,right-hand,0.1074,0.8926
3,3.5,left-hand,0.7655,0.2345
3,3.5,left-hand,0.8136,0.1864
3,3.5,left-hand,0.7958,0.2042
3,3.5,right-hand,0.1499,0.8501
3,3.5,left-hand,0.9614,0.0386
4,3.5,right-hand,0.5739,0.4261
4,3.5,right-hand,0.7381,0.2619
4,3.5,left-hand,0.8885,0.1115
4,3.5,right-hand,0.7115,0.2885
4,3.5,left-hand,0.8984,0.1016
4,3.5,right-hand,0.8001,0.1999
4,3.5,right-hand,0.7385,0.2615
4,3.5,right-hand,0.5336,0.4664
4,3.5,right-hand,0.4905,0.5095
4,3.5,right-hand,0.273,0.727
4,3.5,left-hand,0.8667,0.1333
4,3.5,left-hand,0.7044,0.2956
4,3.5,right-hand,0.3702,0.6298
4,3.5,left-hand,0.5189,0.4811
4,3.5,right-hand,0.2237,0.7763
4,3.5,left-hand,0.4752,0.5248
4,3.5,right-hand,0.6185,0.3815
4,3.5,left-hand,0.6486,0.3514
4,3.5,right-hand,0.2181,0.7819
4,3.5,left-hand,0.9194,0.0806
4,3.5,right-hand,0.6342,0.3658
4,3.5,left-hand,0.5954,0.4046
4,3.5,right-hand,0.235,0.765
4,3.5,left-hand,0.4847,0.5153
4,3.5,right-hand,0.6763,0.3237
4,3.5,left-hand,0.6453,0.3547
4,3.5,left-hand,0.6043,0.3957
4,3.5,left-hand,0.2538,0.7462
4,3.5,left-hand,0.498,0.502
4,3.5,right-hand,0.4431,0.5569
4,3.5,left-hand,0.8607,0.1393
4,3.5,right-hand,0.4211,0.5789
4,3.5,left-hand,0.7033,0.2967
4,3.5,right-hand,0.2756,0.7244
4,3.5,left-hand,0.759,0.241
4,3.5,right-hand,0.2731,0.7269
4,3.5,left-hand,0.8142,0.1858
4,3.5,right-hand,0.9027,0.0973
4,3.5,right-hand,0.343,0.657
4,3.5,left-hand,0.6974,0.3026
4,3.5,right-hand,0.2857,0.7143
4,3.5,right-hand,0.6275,0.3725
4,3.5,left-hand,0.8837,0.1163
4,3.5,right-hand,0.368,0.632
4,3.5,right-hand,0.6432,0.3568
4,3.5,right-hand,0.5647,0.4353
4,3.5,left-hand,0.662,0.338
4,3.5,right-hand,0.3334,0.6666
4,3.5,left-hand,0.7949,0.2051
4,3.5,left-hand,0.6216,0.3784
4,3.5,left-hand,0.6341,0.3659
4,3.5,right-hand,0.8187,0.1813
4,3.5,left-hand,0.5788,0.4212
4,3.5,left-hand,0.8454,0.1546
4,3.5,right-hand,0.4174,0.5826
4,3.5,right-hand,0.0879,0.9121
4,3.5,left-hand,0.4945,0.5055
4,3.5,left-hand,0.7111,0.2889
4,3.5,left-hand,0.6573,0.3427
4,3.5,right-hand,0.155,0.845
4,3.5,right-hand,0.1504,0.8496
4,3.5,right-hand,0.0191,0.9809
4,3.5,left-hand,0.9616,0.0384
4,3.5,right-hand,0.312,0.688
4,3.5,left-hand,0.6884,0.3116
4,3.5,left-hand,0.7169,0.2831
4,3.5,right-hand,0.122,0.878
4,3.5,right-hand,0.7049,0.2951
4,3.5,right-hand,0.1149,0.8851
4,3.5,left-hand,0.9218,0.0782
4,3.5,right-hand,0.1799,0.8201
4,3.5,left-hand,0.9476,0.0524
4,3.5,right-hand,0.0563,0.9437
4,3.5,right-hand,0.2211,0.7789
4,3.5,right-hand,0.3134,0.6866
4,3.5,left-hand,0.904,0.096
4,3.5,left-hand,0.7262,0.2738
4,3.5,right-hand,0.1318,0.8682
4,3.5,left-hand,0.8144,0.1856
4,3.5,left-hand,0.3751,0.6249
4,3.5,left-hand,0.8244,0.1756
