fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.4484,0.5516
1,3.5,right-hand,0.4491,0.5509
1,3.5,left-hand,0.5565,0.4435
1,3.5,left-hand,0.3343,0.6657
1,3.5,left-hand,0.4321,0.5679
1,3.5,right-hand,0.4665,0.5335
1,3.5,right-hand,0.5335,0.4665
1,3.5,right-hand,0.3914,0.6086
1,3.5,right-hand,0.4811,0.5189
1,3.5,left-hand,0.4455,0.5545
1,3.5,left-hand,0.4016,0.5984
1,3.5,right-hand,0.0544,0.9456
1,3.5,right-hand,0.5343,0.4657
1,3.5,right-hand,0.3004,0.6996
1,3.5,left-hand,0.6356,0.3644
1,3.5,left-hand,0.4139,0.5861
1,3.5,right-hand,0.4971,0.5029
1,3.5,left-hand,0.2851,0.7149
1,3.5,left-hand,0.2696,0.7304
1,3.5,right-hand,0.5628,0.4372
1,3.5,left-hand,0.4628,0.5372
1,3.5,left-hand,0.4603,0.5397
1,3.5,left-hand,0.2181,0.7819
1,3.5,right-hand,0.5807,0.4193
1,3.5,right-hand,0.2821,0.7179
1,3.5,left-hand,0.5138,0.4862
1,3.5,right-hand,0.4795,0.5205
1,3.5,left-hand,0.5575,0.4425
1,3.5,left-hand,0.6058,0.3942
1,3.5,right-hand,0.202,0.798
1,3.5,right-hand,0.455,0.545
1,3.5,right-hand,0.2906,0.7094
1,3.5,right-hand,0.5824,0.4176
1,3.5,right-hand,0.3951,0.6049
1,3.5,left-hand,0.573,0.427
1,3.5,left-hand,0.3917,0.6083
1,3.5,left-hand,0.3219,0.6781
1,3.5,left-hand,0.3096,0.6904
1,3.5,right-hand,0.3177,0.6823
1,3.5,right-hand,0.5671,0.4329
1,3.5,right-hand,0.4885,0.5115
1,3.5,right-hand,0.2276,0.7724
1,3.5,left-hand,0.3092,0.6908
1,3.5,left-hand,0.6322,0.3678
1,3.5,right-hand,0.304,0.696
1,3.5,right-hand,0.5005,0.4995
1,3.5,left-hand,0.4935,0.5065
1,3.5,left-hand,0.5358,0.4642
1,3.5,left-hand,0.8136,0.1864
1,3.5,left-hand,0.7108,0.2892
1,3.5,right-hand,0.3171,0.6829
1,3.5,left-hand,0.635,0.365
1,3.5,left-hand,0.6968,0.3032
1,3.5,right-hand,0.585,0.415
1,3.5,right-hand,0.4563,0.5437
1,3.5,right-hand,0.2271,0.7729
1,3.5,right-hand,0.5747,0.4253
1,3.5,left-hand,0.5612,0.4388
1,3.5,right-hand,0.3716,0.6284
1,3.5,left-hand,0.8084,0.1916
1,3.5,right-hand,0.5424,0.4576
1,3.5,right-hand,0.3211,0.6789
1,3.5,left-hand,0.6551,0.3449
1,3.5,left-hand,0.5479,0.4521
1,3.5,left-hand,0.6679,0.3321
1,3.5,right-hand,0.4528,0.5472
1,3.5,left-hand,0.4386,0.5614
1,3.5,right-hand,0.6223,0.3777
1,3.5,right-hand,0.4063,0.5937
1,3.5,right-hand,0.3516,0.6484
1,3.5,right-hand,0.3591,0.6409
1,3.5,left-hand,0.4166,0.5834
1,3.5,left-hand,0.5306,0.4694
1,3.5,right-hand,0.2529,0.7471
1,3.5,right-hand,0.4807,0.5193
1,3.5,right-hand,0.3349,0.6651
1,3.5,right-hand,0.3868,0.6132
1,3.5,left-hand,0.5012,0.4988
1,3.5,right-hand,0.343,0.657
1,3.5,right-hand,0.3333,0.6667
1,3.5,right-hand,0.5571,0.4429
1,3.5,left-hand,0.7839,0.2161
1,3.5,left-hand,0.4355,0.5645
1,3.5,left-hand,0.7288,0.2712
1,3.5,left-hand,0.5498,0.4502
1,3.5,left-hand,0.3693,0.6307
1,3.5,left-hand,0.4649,0.5351
1,3.5,right-hand,0.3322,0.6678
1,3.5,left-hand,0.7798,0.2202
1,3.5,right-hand,0.2104,0.7896
1,3.5,right-hand,0.1627,0.8373
1,3.5,left-hand,0.4356,0.5644
1,3.5,right-hand,0.7624,0.2376
1,3.5,right-hand,0.2802,0.7198
1,3.5,right-hand,0.4679,0.5321
1,3.5,left-hand,0.4621,0.5379
1,3.5,right-hand,0.2533,0.7467
1,3.5,right-hand,0.4441,0.5559
1,3.5,right-hand,0.5055,0.4945
1,3.5,left-hand,0.6525,0.3475
1,3.5,right-hand,0.2843,0.7157
1,3.5,left-hand,0.4112,0.5888
1,3.5,left-hand,0.2471,0.7529
1,3.5,right-hand,0.5143,0.4857
1,3.5,right-hand,0.3585,0.6415
1,3.5,left-hand,0.2837,0.7163
1,3.5,right-hand,0.6197,0.3803
1,3.5,left-hand,0.5451,0.4549
1,3.5,left-hand,0.5337,0.4663
1,3.5,right-hand,0.4626,0.5374
1,3.5,left-hand,0.3384,0.6616
1,3.5,left-hand,0.4529,0.5471
1,3.5,right-hand,0.3975,0.6025
1,3.5,left-hand,0.506,0.494
1,3.5,left-hand,0.3927,0.6073
1,3.5,left-hand,0.6029,0.3971
1,3.5,left-hand,0.3281,0.6719
1,3.5,right-hand,0.4575,0.5425
1,3.5,left-hand,0.3082,0.6918
1,3.5,right-hand,0.2863,0.7137
1,3.5,right-hand,0.621,0.379
1,3.5,left-hand,0.5772,0.4228
1,3.5,left-hand,0.6045,0.3955
1,3.5,left-hand,0.5064,0.4936
1,3.5,left-hand,0.5446,0.4554
1,3.5,left-hand,0.7159,0.2841
1,3.5,left-hand,0.7756,0.2244
1,3.5,right-hand,0.5386,0.4614
1,3.5,right-hand,0.4959,0.5041
1,3.5,left-hand,0.607,0.393
1,3.5,right-hand,0.7482,0.2518
1,3.5,right-hand,0.4731,0.5269
1,3.5,left-hand,0.7661,0.2339
1,3.5,right-hand,0.319,0.681
1,3.5,left-hand,0.4838,0.5162
1,3.5,left-hand,0.7759,0.2241
1,3.5,left-hand,0.6296,0.3704
1,3.5,right-hand,0.4963,0.5037
1,3.5,right-hand,0.8051,0.1949
1,3.5,right-hand,0.6124,0.3876
1,3.5,left-hand,0.6656,0.3344
1,3.5,right-hand,0.6866,0.3134
1,3.5,right-hand,0.5791,0.4209
1,3.5,left-hand,0.6834,0.3166
2,3.5,right-hand,0.4601,0.5399
2,3.5,right-hand,0.3722,0.6278
2,3.5,left-hand,0.3709,0.6291
2,3.5,right-hand,0.4468,0.5532
2,3.5,left-hand,0.4206,0.5794
2,3.5,right-hand,0.4441,0.5559
2,3.5,left-hand,0.5751,0.4249
2,3.5,left-hand,0.4517,0.5483
2,3.5,left-hand,0.4322,0.5678
2,3.5,left-hand,0.4559,0.5441
2,3.5,right-hand,0.6167,0.3833
2,3.5,right-hand,0.4267,0.5733
2,3.5,right-hand,0.47,0.53
2,3.5,left-hand,0.3966,0.6034
2,3.5,right-hand,0.4044,0.5956
2,3.5,left-hand,0.6241,0.3759
2,3.5,right-hand,0.5198,0.4802
2,3.5,left-hand,0.3808,0.6192
2,3.5,left-hand,0.5443,0.4557
2,3.5,right-hand,0.5578,0.4422
2,3.5,left-hand,0.4682,0.5318
2,3.5,right-hand,0.4853,0.5147
2,3.5,right-hand,0.6195,0.3805
2,3.5,left-hand,0.4352,0.5648
2,3.5,left-hand,0.5183,0.4817
2,3.5,left-hand,0.4496,0.5504
2,3.5,right-hand,0.4576,0.5424
2,3.5,left-hand,0.4442,0.5558
2,3.5,left-hand,0.5647,0.4353
2,3.5,left-hand,0.694,0.306
2,3.5,left-hand,0.4671,0.5329
2,3.5,right-hand,0.4243,0.5757
2,3.5,right-hand,0.4377,0.5623
2,3.5,right-hand,0.3907,0.6093
2,3.5,left-hand,0.471,0.529
2,3.5,left-hand,0.4323,0.5677
2,3.5,right-hand,0.3515,0.6485
2,3.5,right-hand,0.459,0.541
2,3.5,left-hand,0.509,0.491
2,3.5,right-hand,0.4201,0.5799
2,3.5,left-hand,0.4358,0.5642
2,3.5,left-hand,0.3747,0.6253
2,3.5,left-hand,0.5573,0.4427
2,3.5,right-hand,0.3913,0.6087
2,3.5,right-hand,0.491,0.509
2,3.5,left-hand,0.466,0.534
2,3.5,left-hand,0.3117,0.6883
2,3.5,right-hand,0.4743,0.5257
2,3.5,left-hand,0.4141,0.5859
2,3.5,right-hand,0.4657,0.5343
2,3.5,left-hand,0.5235,0.4765
2,3.5,left-hand,0.5312,0.4688
2,3.5,right-hand,0.591,0.409
2,3.5,left-hand,0.598,0.402
2,3.5,left-hand,0.585,0.415
