fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.5901,0.4099
1,3.5,right-hand,0.0609,0.9391
1,3.5,left-hand,0.8864,0.1136
1,3.5,left-hand,0.5377,0.4623
1,3.5,left-hand,0.7188,0.2812
1,3.5,right-hand,0.5792,0.4208
1,3.5,right-hand,0.2519,0.7481
1,3.5,right-hand,0.1512,0.8488
1,3.5,right-hand,0.234,0.766
1,3.5,left-hand,0.115,0.885
1,3.5,left-hand,0.1513,0.8487
1,3.5,right-hand,0.2071,0.7929
1,3.5,right-hand,0.1986,0.8014
1,3.5,left-hand,0.5441,0.4559
1,3.5,right-hand,0.3474,0.6526
1,3.5,right-hand,0.0316,0.9684
1,3.5,left-hand,0.128,0.872
1,3.5,left-hand,0.7591,0.2409
1,3.5,left-hand,0.529,0.471
1,3.5,left-hand,0.2705,0.7295
1,3.5,left-hand,0.4165,0.5835
1,3.5,right-hand,0.1457,0.8543
1,3.5,left-hand,0.6118,0.3882
1,3.5,right-hand,0.2876,0.7124
1,3.5,right-hand,0.3776,0.6224
1,3.5,left-hand,0.9857,0.0143
1,3.5,right-hand,0.3409,0.6591
1,3.5,left-hand,0.1835,0.8165
1,3.5,left-hand,0.1693,0.8307
1,3.5,right-hand,0.0941,0.9059
1,3.5,right-hand,0.3382,0.6618
1,3.5,right-hand,0.2414,0.7586
1,3.5,right-hand,0.3437,0.6563
1,3.5,right-hand,0.394,0.606
1,3.5,left-hand,0.6199,0.3801
1,3.5,left-hand,0.6787,0.3213
1,3.5,left-hand,0.8096,0.1904
1,3.5,left-hand,0.5532,0.4468
1,3.5,right-hand,0.0767,0.9233
1,3.5,right-hand,0.1072,0.8928
1,3.5,right-hand,0.2164,0.7836
1,3.5,right-hand,0.2061,0.7939
1,3.5,left-hand,0.7872,0.2128
1,3.5,left-hand,0.4779,0.5221
1,3.5,right-hand,0.8423,0.1577
1,3.5,right-hand,0.6313,0.3687
1,3.5,left-hand,0.5856,0.4144
1,3.5,left-hand,0.2959,0.7041
1,3.5,left-hand,0.6551,0.3449
1,3.5,left-hand,0.7346,0.2654
1,3.5,right-hand,0.1844,0.8156
1,3.5,right-hand,0.228,0.772
1,3.5,right-hand,0.6567,0.3433
1,3.5,left-hand,0.4633,0.5367
1,3.5,right-hand,0.8451,0.1549
1,3.5,right-hand,0.0379,0.9621
1,3.5,left-hand,0.8873,0.1127
1,3.5,left-hand,0.6226,0.3774
1,3.5,right-hand,0.4924,0.5076
1,3.5,right-hand,0.2459,0.7541
1,3.5,left-hand,0.8122,0.1878
1,3.5,left-hand,0.7517,0.2483
1,3.5,left-hand,0.8881,0.1119
1,3.5,left-hand,0.7066,0.2934
1,3.5,right-hand,0.4768,0.5232
1,3.5,right-hand,0.0959,0.9041
1,3.5,left-hand,0.9299,0.0701
1,3.5,right-hand,0.0183,0.9817
1,3.5,right-hand,0.0827,0.9173
1,3.5,left-hand,0.2259,0.7741
1,3.5,right-hand,0.4596,0.5404
1,3.5,right-hand,0.4973,0.5027
1,3.5,left-hand,0.8537,0.1463
1,3.5,right-hand,0.1041,0.8959
1,3.5,right-hand,0.334,0.666
1,3.5,right-hand,0.1105,0.8895
1,3.5,right-hand,0.4682,0.5318
1,3.5,right-hand,0.5112,0.4888
1,3.5,right-hand,0.0791,0.9209
1,3.5,left-hand,0.1702,0.8298
1,3.5,left-hand,0.9587,0.0413
1,3.5,right-hand,0.341,0.659
1,3.5,left-hand,0.9825,0.0175
1,3.5,left-hand,0.083,0.917
1,3.5,left-hand,0.8831,0.1169
1,3.5,right-hand,0.2255,0.7745
1,3.5,left-hand,0.3768,0.6232
1,3.5,left-hand,0.5112,0.4888
1,3.5,left-hand,0.8437,0.1563
1,3.5,right-hand,0.0931,0.9069
1,3.5,right-hand,0.059,0.941
1,3.5,left-hand,0.9816,0.0184
1,3.5,right-hand,0.1448,0.8552
1,3.5,right-hand,0.1712,0.8288
1,3.5,right-hand,0.5885,0.4115
1,3.5,left-hand,0.6764,0.3236
1,3.5,right-hand,0.1883,0.8117
1,3.5,right-hand,0.3061,0.6939
1,3.5,right-hand,0.1236,0.8764
1,3.5,left-hand,0.5321,0.4679
1,3.5,left-hand,0.7936,0.2064
1,3.5,left-hand,0.6821,0.3179
1,3.5,right-hand,0.3674,0.6326
1,3.5,right-hand,0.1618,0.8382
1,3.5,right-hand,0.213,0.787
1,3.5,left-hand,0.6626,0.3374
1,3.5,left-hand,0.7965,0.2035
1,3.5,right-hand,0.1966,0.8034
1,3.5,left-hand,0.6922,0.3078
1,3.5,right-hand,0.1781,0.8219
1,3.5,left-hand,0.6541,0.3459
1,3.5,right-hand,0.4083,0.5917
1,3.5,left-hand,0.9144,0.0856
1,3.5,left-hand,0.9772,0.0228
1,3.5,left-hand,0.8736,0.1264
1,3.5,left-hand,0.6566,0.3434
1,3.5,left-hand,0.9521,0.0479
1,3.5,right-hand,0.4549,0.5451
1,3.5,right-hand,0.5111,0.4889
1,3.5,left-hand,0.9389,0.0611
1,3.5,right-hand,0.6376,0.3624
1,3.5,left-hand,0.5256,0.4744
1,3.5,left-hand,0.969,0.031
1,3.5,left-hand,0.5644,0.4356
1,3.5,left-hand,0.7841,0.2159
1,3.5,left-hand,0.7478,0.2522
1,3.5,left-hand,0.6143,0.3857
1,3.5,left-hand,0.9633,0.0367
1,3.5,left-hand,0.8237,0.1763
1,3.5,right-hand,0.2797,0.7203
1,3.5,right-hand,0.4244,0.5756
1,3.5,right-hand,0.2262,0.7738
1,3.5,right-hand,0.5272,0.4728
1,3.5,left-hand,0.9692,0.0308
1,3.5,right-hand,0.287,0.713
1,3.5,left-hand,0.9769,0.0231
1,3.5,left-hand,0.946,0.054
1,3.5,right-hand,0.2234,0.7766
1,3.5,right-hand,0.2347,0.7653
1,3.5,right-hand,0.1588,0.8412
1,3.5,left-hand,0.911,0.089
1,3.5,right-hand,0.1819,0.8181
1,3.5,left-hand,0.622,0.378
1,3.5,right-hand,0.436,0.564
2,3.5,right-hand,0.1674,0.8326
2,3.5,right-hand,0.2392,0.7608
2,3.5,left-hand,0.4015,0.5985
2,3.5,left-hand,0.6343,0.3657
2,3.5,right-hand,0.1428,0.8572
2,3.5,left-hand,0.1881,0.8119
2,3.5,left-hand,0.2213,0.7787
2,3.5,right-hand,0.5981,0.4019
2,3.5,left-hand,0.2415,0.7585
2,3.5,left-hand,0.3085,0.6915
2,3.5,right-hand,0.1233,0.8767
2,3.5,right-hand,0.2156,0.7844
2,3.5,right-hand,0.1145,0.8855
2,3.5,left-hand,0.7767,0.2233
2,3.5,right-hand,0.0617,0.9383
2,3.5,right-hand,0.2064,0.7936
2,3.5,left-hand,0.356,0.644
2,3.5,right-hand,0.2476,0.7524
2,3.5,left-hand,0.9382,0.0618
2,3.5,left-hand,0.7532,0.2468
2,3.5,left-hand,0.3906,0.6094
2,3.5,right-hand,0.0322,0.9678
2,3.5,left-hand,0.9432,0.0568
2,3.5,right-hand,0.1544,0.8456
2,3.5,left-hand,0.6966,0.3034
2,3.5,left-hand,0.3022,0.6978
2,3.5,right-hand,0.3068,0.6932
2,3.5,left-hand,0.5364,0.4636
2,3.5,left-hand,0.1496,0.8504
2,3.5,left-hand,0.5627,0.4373
2,3.5,left-hand,0.3467,0.6533
2,3.5,right-hand,0.528,0.472
2,3.5,right-hand,0.7482,0.2518
2,3.5,right-hand,0.3823,0.6177
2,3.5,left-hand,0.2567,0.7433
2,3.5,left-hand,0.2966,0.7034
2,3.5,right-hand,0.6947,0.3053
2,3.5,right-hand,0.8729,0.1271
2,3.5,left-hand,0.6382,0.3618
2,3.5,right-hand,0.1046,0.8954
2,3.5,left-hand,0.393,0.607
2,3.5,left-hand,0.888,0.112
2,3.5,left-hand,0.7857,0.2143
2,3.5,right-hand,0.201,0.799
2,3.5,right-hand,0.7989,0.2011
2,3.5,left-hand,0.8256,0.1744
2,3.5,left-hand,0.1024,0.8976
2,3.5,right-hand,0.6823,0.3177
2,3.5,left-hand,0.1884,0.8116
2,3.5,right-hand,0.0314,0.9686
2,3.5,left-hand,0.439,0.561
2,3.5,left-hand,0.2464,0.7536
2,3.5,right-hand,0.0617,0.9383
