fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.0857,0.9143
1,3.5,left-hand,0.8255,0.1745
1,3.5,right-hand,0.1766,0.8234
1,3.5,right-hand,0.6685,0.3315
1,3.5,right-hand,0.5024,0.4976
1,3.5,right-hand,0.0002,0.9998
1,3.5,right-hand,0.0044,0.9956
1,3.5,left-hand,0.8676,0.1324
1,3.5,left-hand,0.9061,0.0939
1,3.5,left-hand,0.3028,0.6972
1,3.5,left-hand,0.9578,0.0422
1,3.5,right-hand,0.0587,0.9413
1,3.5,left-hand,0.9909,0.0091
1,3.5,left-hand,0.9969,0.0031
1,3.5,right-hand,0.0501,0.9499
1,3.5,right-hand,0.1726,0.8274
1,3.5,right-hand,0.1701,0.8299
1,3.5,right-hand,0.1602,0.8398
1,3.5,right-hand,0.0241,0.9759
1,3.5,right-hand,0.0253,0.9747
1,3.5,left-hand,0.0079,0.9921
1,3.5,left-hand,1.0,0.0
1,3.5,left-hand,0.9887,0.0113
1,3.5,left-hand,0.9791,0.0209
2,3.5,left-hand,0.9857,0.0143
2,3.5,left-hand,0.8463,0.1537
2,3.5,right-hand,0.0744,0.9256
2,3.5,right-hand,0.11,0.89
2,3.5,right-hand,0.083,0.917
2,3.5,left-hand,0.9813,0.0187
2,3.5,right-hand,0.0986,0.9014
2,3.5,right-hand,0.7607,0.2393
2,3.5,right-hand,0.2008,0.7992
2,3.5,right-hand,0.3922,0.6078
2,3.5,right-hand,0.482,0.518
2,3.5,right-hand,0.0266,0.9734
2,3.5,left-hand,0.4728,0.5272
2,3.5,left-hand,0.9209,0.0791
2,3.5,left-hand,0.85,0.15
2,3.5,right-hand,0.7195,0.2805
2,3.5,right-hand,0.1633,0.8367
2,3.5,right-hand,0.0984,0.9016
2,3.5,left-hand,0.8966,0.1034
2,3.5,left-hand,0.9797,0.0203
2,3.5,left-hand,0.9687,0.0313
2,3.5,left-hand,0.8913,0.1087
2,3.5,left-hand,0.9501,0.0499
2,3.5,left-hand,0.7944,0.2056
3,3.5,left-hand,0.9844,0.0156
3,3.5,right-hand,0.1365,0.8635
3,3.5,right-hand,0.1468,0.8532
3,3.5,right-hand,0.0664,0.9336
3,3.5,left-hand,0.6112,0.3888
3,3.5,right-hand,0.0957,0.9043
3,3.5,right-hand,0.2963,0.7037
3,3.5,right-hand,0.0668,0.9332
3,3.5,right-hand,0.0031,0.9969
3,3.5,left-hand,0.7139,0.2861
3,3.5,left-hand,0.6142,0.3858
3,3.5,left-hand,0.9369,0.0631
3,3.5,left-hand,0.9958,0.0042
3,3.5,left-hand,0.9041,0.0959
3,3.5,left-hand,0.8915,0.1085
3,3.5,left-hand,0.3023,0.6977
3,3.5,left-hand,0.9618,0.0382
3,3.5,right-hand,0.113,0.887
3,3.5,right-hand,0.2148,0.7852
3,3.5,right-hand,0.4341,0.5659
3,3.5,right-hand,0.0799,0.9201
3,3.5,right-hand,0.1021,0.8979
3,3.5,left-hand,0.8513,0.1487
3,3.5,left-hand,0.6308,0.3692
4,3.5,left-hand,0.1621,0.8379
4,3.5,left-hand,0.7361,0.2639
4,3.5,right-hand,0.0161,0.9839
4,3.5,right-hand,0.1003,0.8997
4,3.5,right-hand,0.0295,0.9705
4,3.5,left-hand,0.0274,0.9726
4,3.5,left-hand,0.9434,0.0566
4,3.5,right-hand,0.0109,0.9891
4,3.5,right-hand,0.536,0.464
4,3.5,right-hand,0.9892,0.0108
4,3.5,right-hand,0.0097,0.9903
4,3.5,right-hand,0.149,0.851
4,3.5,left-hand,0.0046,0.9954
4,3.5,left-hand,0.9998,0.0002
4,3.5,left-hand,0.9951,0.0049
4,3.5,right-hand,0.0832,0.9168
4,3.5,right-hand,0.0217,0.9783
4,3.5,right-hand,0.3056,0.6944
4,3.5,right-hand,0.0575,0.9425
4,3.5,left-hand,0.0929,0.9071
4,3.5,left-hand,0.9999,0.0001
4,3.5,left-hand,0.9513,0.0487
4,3.5,left-hand,0.9849,0.0151
4,3.5,left-hand,0.9883,0.0117
5,3.5,left-hand,0.7857,0.2143
5,3.5,left-hand,0.3565,0.6435
5,3.5,left-hand,0.9815,0.0185
5,3.5,right-hand,0.2177,0.7823
5,3.5,right-hand,0.0455,0.9545
5,3.5,right-hand,0.0219,0.9781
5,3.5,right-hand,0.0034,0.9966
5,3.5,right-hand,0.0094,0.9906
5,3.5,right-hand,0.0096,0.9904
5,3.5,left-hand,0.6892,0.3108
5,3.5,left-hand,0.9239,0.0761
5,3.5,right-hand,0.3286,0.6714
5,3.5,right-hand,0.0026,0.9974
5,3.5,right-hand,0.0295,0.9705
5,3.5,right-hand,0.0888,0.9112
5,3.5,left-hand,0.9447,0.0553
5,3.5,left-hand,0.8731,0.1269
5,3.5,left-hand,0.996,0.004
5,3.5,left-hand,0.7124,0.2876
5,3.5,right-hand,0.3802,0.6198
5,3.5,right-hand,0.1747,0.8253
5,3.5,left-hand,0.8648,0.1352
5,3.5,left-hand,0.9768,0.0232
5,3.5,left-hand,0.8946,0.1054
