fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.9714,0.0286
1,3.5,left-hand,0.7895,0.2105
1,3.5,right-hand,0.076,0.924
1,3.5,right-hand,0.0787,0.9213
1,3.5,right-hand,0.0812,0.9188
1,3.5,right-hand,0.3778,0.6222
1,3.5,right-hand,1e-04,0.9999
1,3.5,left-hand,0.9974,0.0026
1,3.5,left-hand,0.3013,0.6987
1,3.5,left-hand,0.9481,0.0519
1,3.5,left-hand,0.3128,0.6872
1,3.5,right-hand,0.0024,0.9976
1,3.5,left-hand,0.9996,0.0004
1,3.5,left-hand,0.0006,0.9994
1,3.5,right-hand,0.1441,0.8559
1,3.5,right-hand,0.6432,0.3568
1,3.5,right-hand,0.9918,0.0082
1,3.5,right-hand,0.9637,0.0363
1,3.5,left-hand,0.8875,0.1125
1,3.5,left-hand,0.9965,0.0035
1,3.5,left-hand,0.9896,0.0104
1,3.5,left-hand,0.9953,0.0047
1,3.5,right-hand,0.234,0.766
1,3.5,right-hand,0.225,0.775
2,3.5,left-hand,0.72,0.28
2,3.5,left-hand,0.0807,0.9193
2,3.5,right-hand,0.0201,0.9799
2,3.5,right-hand,0.0222,0.9778
2,3.5,right-hand,0.0402,0.9598
2,3.5,left-hand,0.1783,0.8217
2,3.5,right-hand,0.2069,0.7931
2,3.5,right-hand,0.1178,0.8822
2,3.5,right-hand,0.03,0.97
2,3.5,right-hand,0.7276,0.2724
2,3.5,right-hand,0.964,0.036
2,3.5,right-hand,0.0071,0.9929
2,3.5,left-hand,0.0615,0.9385
2,3.5,left-hand,0.783,0.217
2,3.5,left-hand,0.2354,0.7646
2,3.5,right-hand,0.2878,0.7122
2,3.5,left-hand,0.7712,0.2288
2,3.5,left-hand,0.9986,0.0014
2,3.5,left-hand,0.9981,0.0019
2,3.5,left-hand,0.9913,0.0087
2,3.5,left-hand,0.9988,0.0012
2,3.5,left-hand,0.9992,0.0008
2,3.5,right-hand,0.0092,0.9908
2,3.5,right-hand,0.4365,0.5635
3,3.5,left-hand,0.8717,0.1283
3,3.5,right-hand,0.2559,0.7441
3,3.5,right-hand,0.5155,0.4845
3,3.5,right-hand,0.4224,0.5776
3,3.5,left-hand,0.9186,0.0814
3,3.5,right-hand,0.3654,0.6346
3,3.5,right-hand,0.0304,0.9696
3,3.5,right-hand,0.0723,0.9277
3,3.5,right-hand,0.0651,0.9349
3,3.5,left-hand,0.9845,0.0155
3,3.5,left-hand,0.9753,0.0247
3,3.5,left-hand,0.6668,0.3332
3,3.5,left-hand,0.0067,0.9933
3,3.5,left-hand,0.0,1.0
3,3.5,left-hand,0.9968,0.0032
3,3.5,left-hand,0.6235,0.3765
3,3.5,left-hand,0.9836,0.0164
3,3.5,right-hand,0.8962,0.1038
3,3.5,right-hand,0.311,0.689
3,3.5,right-hand,0.917,0.083
3,3.5,left-hand,0.0774,0.9226
3,3.5,left-hand,0.7918,0.2082
3,3.5,right-hand,0.2824,0.7176
3,3.5,right-hand,0.0,1.0
4,3.5,left-hand,0.8843,0.1157
4,3.5,left-hand,0.3756,0.6244
4,3.5,right-hand,0.1412,0.8588
4,3.5,right-hand,0.1105,0.8895
4,3.5,right-hand,0.2189,0.7811
4,3.5,left-hand,0.0066,0.9934
4,3.5,left-hand,0.1659,0.8341
4,3.5,right-hand,0.179,0.821
4,3.5,right-hand,0.4039,0.5961
4,3.5,right-hand,0.8499,0.1501
4,3.5,right-hand,0.7663,0.2337
4,3.5,right-hand,0.7058,0.2942
4,3.5,left-hand,0.5314,0.4686
4,3.5,left-hand,0.9833,0.0167
4,3.5,left-hand,0.9896,0.0104
4,3.5,right-hand,0.1671,0.8329
4,3.5,left-hand,0.8475,0.1525
4,3.5,left-hand,0.9956,0.0044
4,3.5,left-hand,0.8755,0.1245
4,3.5,left-hand,0.9966,0.0034
4,3.5,left-hand,0.9092,0.0908
4,3.5,right-hand,0.8995,0.1005
4,3.5,right-hand,0.0773,0.9227
4,3.5,right-hand,0.0015,0.9985
5,3.5,left-hand,0.945,0.055
5,3.5,left-hand,0.6433,0.3567
5,3.5,left-hand,0.0424,0.9576
5,3.5,right-hand,0.0044,0.9956
5,3.5,right-hand,0.455,0.545
5,3.5,right-hand,0.1234,0.8766
5,3.5,right-hand,0.0274,0.9726
5,3.5,right-hand,0.2801,0.7199
5,3.5,right-hand,0.1355,0.8645
5,3.5,left-hand,0.8222,0.1778
5,3.5,left-hand,0.7832,0.2168
5,3.5,right-hand,0.5715,0.4285
5,3.5,right-hand,0.0217,0.9783
5,3.5,right-hand,0.5909,0.4091
5,3.5,right-hand,0.9858,0.0142
5,3.5,left-hand,0.1184,0.8816
5,3.5,left-hand,0.9616,0.0384
5,3.5,left-hand,0.9405,0.0595
5,3.5,left-hand,0.8783,0.1217
5,3.5,right-hand,0.5618,0.4382
5,3.5,left-hand,0.9902,0.0098
5,3.5,left-hand,0.8417,0.1583
5,3.5,left-hand,0.9601,0.0399
5,3.5,right-hand,0.9526,0.0474
