fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,0.3742,0.6258
1,3.5,left-hand,0.0596,0.9404
1,3.5,left-hand,0.8426,0.1574
1,3.5,left-hand,0.9969,0.0031
1,3.5,left-hand,0.2669,0.7331
1,3.5,left-hand,0.9084,0.0916
1,3.5,right-hand,0.2025,0.7975
1,3.5,right-hand,0.3096,0.6904
1,3.5,right-hand,0.8933,0.1067
1,3.5,right-hand,0.0064,0.9936
1,3.5,right-hand,0.4087,0.5913
1,3.5,right-hand,0.0809,0.9191
1,3.5,left-hand,0.9996,0.0004
1,3.5,left-hand,0.1096,0.8904
1,3.5,right-hand,0.7195,0.2805
1,3.5,right-hand,0.0037,0.9963
1,3.5,right-hand,0.2046,0.7954
1,3.5,right-hand,0.0151,0.9849
1,3.5,right-hand,0.1852,0.8148
1,3.5,right-hand,0.9471,0.0529
1,3.5,left-hand,0.99,0.01
1,3.5,left-hand,0.9423,0.0577
1,3.5,left-hand,0.9352,0.0648
1,3.5,left-hand,0.1471,0.8529
2,3.5,left-hand,0.9964,0.0036
2,3.5,left-hand,0.9783,0.0217
2,3.5,left-hand,0.9621,0.0379
2,3.5,right-hand,0.0178,0.9822
2,3.5,right-hand,0.0097,0.9903
2,3.5,right-hand,0.1111,0.8889
2,3.5,right-hand,0.0008,0.9992
2,3.5,left-hand,0.9976,0.0024
2,3.5,left-hand,0.9977,0.0023
2,3.5,right-hand,0.9932,0.0068
2,3.5,right-hand,0.9812,0.0188
2,3.5,right-hand,0.9834,0.0166
2,3.5,right-hand,0.8748,0.1252
2,3.5,right-hand,0.995,0.005
2,3.5,left-hand,0.9804,0.0196
2,3.5,right-hand,0.0896,0.9104
2,3.5,right-hand,0.0333,0.9667
2,3.5,right-hand,0.6369,0.3631
2,3.5,left-hand,0.7929,0.2071
2,3.5,left-hand,0.9988,0.0012
2,3.5,left-hand,0.9984,0.0016
2,3.5,left-hand,0.8499,0.1501
2,3.5,left-hand,0.6918,0.3082
2,3.5,left-hand,0.0153,0.9847
3,3.5,left-hand,0.444,0.556
3,3.5,left-hand,0.9992,0.0008
3,3.5,right-hand,0.1405,0.8595
3,3.5,right-hand,0.0084,0.9916
3,3.5,right-hand,0.2723,0.7277
3,3.5,right-hand,0.0,1.0
3,3.5,right-hand,0.9225,0.0775
3,3.5,right-hand,0.0701,0.9299
3,3.5,left-hand,0.6682,0.3318
3,3.5,left-hand,0.9805,0.0195
3,3.5,left-hand,0.9071,0.0929
3,3.5,left-hand,0.9727,0.0273
3,3.5,right-hand,0.0066,0.9934
3,3.5,left-hand,0.7893,0.2107
3,3.5,left-hand,0.8505,0.1495
3,3.5,left-hand,0.0009,0.9991
3,3.5,left-hand,0.1418,0.8582
3,3.5,right-hand,0.383,0.617
3,3.5,right-hand,0.1376,0.8624
3,3.5,right-hand,0.3977,0.6023
3,3.5,right-hand,0.0496,0.9504
3,3.5,right-hand,0.3836,0.6164
3,3.5,left-hand,0.1137,0.8863
3,3.5,left-hand,0.5323,0.4677
4,3.5,left-hand,0.1249,0.8751
4,3.5,left-hand,0.5111,0.4889
4,3.5,left-hand,0.996,0.004
4,3.5,left-hand,0.8765,0.1235
4,3.5,right-hand,0.2963,0.7037
4,3.5,right-hand,0.0061,0.9939
4,3.5,right-hand,0.0343,0.9657
4,3.5,right-hand,0.0839,0.9161
4,3.5,right-hand,0.001,0.999
4,3.5,right-hand,0.0922,0.9078
4,3.5,right-hand,0.0158,0.9842
4,3.5,left-hand,0.9885,0.0115
4,3.5,right-hand,0.5997,0.4003
4,3.5,left-hand,0.1099,0.8901
4,3.5,left-hand,0.8103,0.1897
4,3.5,right-hand,0.046,0.954
4,3.5,right-hand,0.0053,0.9947
4,3.5,right-hand,0.0463,0.9537
4,3.5,right-hand,0.0448,0.9552
4,3.5,left-hand,0.9782,0.0218
4,3.5,left-hand,0.7385,0.2615
4,3.5,left-hand,0.9141,0.0859
4,3.5,left-hand,0.9864,0.0136
4,3.5,left-hand,0.0442,0.9558
5,3.5,left-hand,0.9981,0.0019
5,3.5,left-hand,0.9974,0.0026
5,3.5,left-hand,0.981,0.019
5,3.5,left-hand,0.9895,0.0105
5,3.5,left-hand,0.9972,0.0028
5,3.5,right-hand,0.9907,0.0093
5,3.5,right-hand,0.2178,0.7822
5,3.5,right-hand,0.1128,0.8872
5,3.5,right-hand,0.0619,0.9381
5,3.5,right-hand,0.2921,0.7079
5,3.5,right-hand,0.0734,0.9266
5,3.5,right-hand,0.6641,0.3359
5,3.5,left-hand,0.9978,0.0022
5,3.5,left-hand,0.7031,0.2969
5,3.5,right-hand,0.7347,0.2653
5,3.5,right-hand,0.8218,0.1782
5,3.5,right-hand,0.5231,0.4769
5,3.5,left-hand,0.9776,0.0224
5,3.5,left-hand,0.044,0.956
5,3.5,right-hand,0.0861,0.9139
5,3.5,right-hand,0.0752,0.9248
5,3.5,left-hand,0.1858,0.8142
5,3.5,left-hand,0.001,0.999
5,3.5,left-hand,0.7621,0.2379
