fold,tmin,true_label,left-hand,right-hand
1,3.5,left-hand,1.0,0.0
1,3.5,left-hand,0.9949,0.0051
1,3.5,right-hand,0.0541,0.9459
1,3.5,right-hand,0.5325,0.4675
1,3.5,right-hand,0.4593,0.5407
1,3.5,right-hand,0.2652,0.7348
1,3.5,right-hand,0.6588,0.3412
1,3.5,left-hand,0.711,0.289
1,3.5,left-hand,0.6041,0.3959
1,3.5,left-hand,0.7774,0.2226
1,3.5,left-hand,1.0,0.0
1,3.5,right-hand,0.1068,0.8932
1,3.5,left-hand,0.9755,0.0245
1,3.5,left-hand,0.8422,0.1578
1,3.5,right-hand,0.9013,0.0987
1,3.5,right-hand,0.9861,0.0139
1,3.5,right-hand,0.497,0.503
1,3.5,right-hand,0.1715,0.8285
1,3.5,right-hand,0.7296,0.2704
1,3.5,right-hand,0.9149,0.0851
1,3.5,left-hand,0.6096,0.3904
1,3.5,left-hand,0.9813,0.0187
1,3.5,left-hand,0.9435,0.0565
1,3.5,left-hand,0.9148,0.0852
2,3.5,left-hand,0.9826,0.0174
2,3.5,left-hand,0.9869,0.0131
2,3.5,right-hand,0.0032,0.9968
2,3.5,right-hand,0.0151,0.9849
2,3.5,right-hand,0.0015,0.9985
2,3.5,left-hand,0.5491,0.4509
2,3.5,right-hand,0.0006,0.9994
2,3.5,right-hand,0.1199,0.8801
2,3.5,right-hand,0.2989,0.7011
2,3.5,right-hand,0.1849,0.8151
2,3.5,right-hand,0.0302,0.9698
2,3.5,right-hand,0.1407,0.8593
2,3.5,left-hand,0.0612,0.9388
2,3.5,left-hand,0.9657,0.0343
2,3.5,left-hand,0.0046,0.9954
2,3.5,right-hand,0.5189,0.4811
2,3.5,right-hand,0.1397,0.8603
2,3.5,right-hand,0.5632,0.4368
2,3.5,left-hand,0.8382,0.1618
2,3.5,left-hand,0.8897,0.1103
2,3.5,left-hand,0.9258,0.0742
2,3.5,left-hand,0.483,0.517
2,3.5,left-hand,0.7454,0.2546
2,3.5,left-hand,0.9753,0.0247
3,3.5,left-hand,0.9998,0.0002
3,3.5,right-hand,0.0,1.0
3,3.5,right-hand,0.0067,0.9933
3,3.5,right-hand,0.0467,0.9533
3,3.5,left-hand,0.3027,0.6973
3,3.5,right-hand,0.3071,0.6929
3,3.5,right-hand,0.0309,0.9691
3,3.5,right-hand,0.0517,0.9483
3,3.5,right-hand,0.0164,0.9836
3,3.5,left-hand,0.529,0.471
3,3.5,left-hand,0.5146,0.4854
3,3.5,left-hand,0.9723,0.0277
3,3.5,left-hand,0.9108,0.0892
3,3.5,left-hand,0.2628,0.7372
3,3.5,left-hand,0.9785,0.0215
3,3.5,left-hand,0.995,0.005
3,3.5,left-hand,0.0088,0.9912
3,3.5,right-hand,0.9922,0.0078
3,3.5,right-hand,0.8624,0.1376
3,3.5,right-hand,0.6058,0.3942
3,3.5,right-hand,0.0052,0.9948
3,3.5,right-hand,0.1295,0.8705
3,3.5,left-hand,0.9707,0.0293
3,3.5,left-hand,0.9972,0.0028
4,3.5,left-hand,0.817,0.183
4,3.5,left-hand,0.9976,0.0024
4,3.5,right-hand,0.6852,0.3148
4,3.5,right-hand,0.3604,0.6396
4,3.5,right-hand,0.0906,0.9094
4,3.5,left-hand,0.5477,0.4523
4,3.5,left-hand,0.0382,0.9618
4,3.5,right-hand,0.1404,0.8596
4,3.5,right-hand,0.0061,0.9939
4,3.5,right-hand,0.0081,0.9919
4,3.5,right-hand,0.0034,0.9966
4,3.5,right-hand,0.5708,0.4292
4,3.5,left-hand,0.7956,0.2044
4,3.5,left-hand,0.6918,0.3082
4,3.5,left-hand,0.2539,0.7461
4,3.5,right-hand,0.1074,0.8926
4,3.5,right-hand,0.0171,0.9829
4,3.5,right-hand,0.6289,0.3711
4,3.5,right-hand,0.6137,0.3863
4,3.5,left-hand,0.517,0.483
4,3.5,left-hand,0.9176,0.0824
4,3.5,left-hand,0.9024,0.0976
4,3.5,left-hand,0.7626,0.2374
4,3.5,left-hand,0.9357,0.0643
5,3.5,left-hand,0.9882,0.0118
5,3.5,left-hand,0.0535,0.9465
5,3.5,left-hand,0.2713,0.7287
5,3.5,right-hand,0.2076,0.7924
5,3.5,right-hand,0.0283,0.9717
5,3.5,right-hand,0.1428,0.8572
5,3.5,right-hand,0.0061,0.9939
5,3.5,right-hand,0.0026,0.9974
5,3.5,right-hand,0.0892,0.9108
5,3.5,left-hand,0.7262,0.2738
5,3.5,left-hand,0.6601,0.3399
5,3.5,right-hand,0.2215,0.7785
5,3.5,right-hand,0.2432,0.7568
5,3.5,right-hand,0.4972,0.5028
5,3.5,right-hand,0.574,0.426
5,3.5,left-hand,0.8477,0.1523
5,3.5,left-hand,0.9858,0.0142
5,3.5,left-hand,0.6979,0.3021
5,3.5,left-hand,0.4476,0.5524
5,3.5,right-hand,0.4988,0.5012
5,3.5,right-hand,0.0276,0.9724
5,3.5,left-hand,0.4068,0.5932
5,3.5,left-hand,0.924,0.076
5,3.5,left-hand,0.7797,0.2203
