fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0166,0.9834
1,3.5,right-hand,0.1421,0.8579
1,3.5,right-hand,0.1424,0.8576
1,3.5,right-hand,0.1867,0.8133
1,3.5,right-hand,0.7213,0.2787
1,3.5,right-hand,0.2386,0.7614
1,3.5,left-hand,0.5414,0.4586
1,3.5,left-hand,0.4243,0.5757
1,3.5,left-hand,0.9088,0.0912
1,3.5,left-hand,0.5756,0.4244
1,3.5,left-hand,0.5073,0.4927
1,3.5,left-hand,0.7698,0.2302
1,3.5,right-hand,0.7456,0.2544
1,3.5,right-hand,0.7206,0.2794
1,3.5,left-hand,0.9585,0.0415
1,3.5,left-hand,0.9222,0.0778
1,3.5,left-hand,0.2556,0.7444
1,3.5,left-hand,0.8182,0.1818
1,3.5,right-hand,0.0167,0.9833
1,3.5,right-hand,0.0262,0.9738
1,3.5,right-hand,0.0104,0.9896
1,3.5,right-hand,0.182,0.818
1,3.5,left-hand,0.9569,0.0431
1,3.5,left-hand,0.2698,0.7302
2,3.5,right-hand,0.0422,0.9578
2,3.5,right-hand,0.1304,0.8696
2,3.5,right-hand,0.1576,0.8424
2,3.5,left-hand,0.2792,0.7208
2,3.5,left-hand,0.5639,0.4361
2,3.5,left-hand,0.9455,0.0545
2,3.5,left-hand,0.8779,0.1221
2,3.5,right-hand,0.6317,0.3683
2,3.5,right-hand,0.204,0.796
2,3.5,left-hand,0.9638,0.0362
2,3.5,left-hand,0.7739,0.2261
2,3.5,left-hand,0.7191,0.2809
2,3.5,left-hand,0.9708,0.0292
2,3.5,left-hand,0.7184,0.2816
2,3.5,right-hand,0.9882,0.0118
2,3.5,left-hand,0.9692,0.0308
2,3.5,right-hand,0.056,0.944
2,3.5,right-hand,0.4164,0.5836
2,3.5,right-hand,0.2706,0.7294
2,3.5,right-hand,0.0285,0.9715
2,3.5,right-hand,0.0475,0.9525
2,3.5,right-hand,0.5322,0.4678
2,3.5,left-hand,0.9535,0.0465
2,3.5,left-hand,0.863,0.137
3,3.5,right-hand,0.2001,0.7999
3,3.5,right-hand,0.4218,0.5782
3,3.5,left-hand,0.7546,0.2454
3,3.5,left-hand,0.7392,0.2608
3,3.5,left-hand,0.7418,0.2582
3,3.5,left-hand,0.3907,0.6093
3,3.5,left-hand,0.5674,0.4326
3,3.5,left-hand,0.5211,0.4789
3,3.5,right-hand,0.7968,0.2032
3,3.5,right-hand,0.643,0.357
3,3.5,right-hand,0.5973,0.4027
3,3.5,right-hand,0.4803,0.5197
3,3.5,left-hand,0.3576,0.6424
3,3.5,right-hand,0.8773,0.1227
3,3.5,right-hand,0.8498,0.1502
3,3.5,right-hand,0.841,0.159
3,3.5,right-hand,0.3908,0.6092
3,3.5,left-hand,0.9467,0.0533
3,3.5,left-hand,0.9326,0.0674
3,3.5,left-hand,0.9398,0.0602
3,3.5,right-hand,0.3742,0.6258
3,3.5,right-hand,0.2559,0.7441
3,3.5,left-hand,0.6291,0.3709
3,3.5,left-hand,0.7519,0.2481
4,3.5,right-hand,0.0137,0.9863
4,3.5,right-hand,0.0752,0.9248
4,3.5,right-hand,0.2473,0.7527
4,3.5,right-hand,0.3507,0.6493
4,3.5,left-hand,0.7581,0.2419
4,3.5,left-hand,0.0973,0.9027
4,3.5,left-hand,0.4546,0.5454
4,3.5,left-hand,0.6517,0.3483
4,3.5,left-hand,0.8264,0.1736
4,3.5,left-hand,0.9379,0.0621
4,3.5,left-hand,0.5827,0.4173
4,3.5,right-hand,0.9668,0.0332
4,3.5,left-hand,0.1406,0.8594
4,3.5,right-hand,0.0583,0.9417
4,3.5,right-hand,0.0204,0.9796
4,3.5,left-hand,0.944,0.056
4,3.5,right-hand,0.7497,0.2503
4,3.5,right-hand,0.0886,0.9114
4,3.5,right-hand,0.1566,0.8434
4,3.5,right-hand,0.1115,0.8885
4,3.5,right-hand,0.0685,0.9315
4,3.5,left-hand,0.871,0.129
4,3.5,left-hand,0.5744,0.4256
4,3.5,left-hand,0.7929,0.2071
5,3.5,right-hand,0.1023,0.8977
5,3.5,right-hand,0.1019,0.8981
5,3.5,right-hand,0.2937,0.7063
5,3.5,right-hand,0.4648,0.5352
5,3.5,right-hand,0.4467,0.5533
5,3.5,left-hand,0.6362,0.3638
5,3.5,left-hand,0.7564,0.2436
5,3.5,left-hand,0.5539,0.4461
5,3.5,left-hand,0.7206,0.2794
5,3.5,left-hand,0.736,0.264
5,3.5,left-hand,0.727,0.273
5,3.5,left-hand,0.1746,0.8254
5,3.5,right-hand,0.4535,0.5465
5,3.5,right-hand,0.4202,0.5798
5,3.5,left-hand,0.7313,0.2687
5,3.5,left-hand,0.1167,0.8833
5,3.5,left-hand,0.0,1.0
5,3.5,right-hand,0.4221,0.5779
5,3.5,right-hand,0.6168,0.3832
5,3.5,left-hand,0.9144,0.0856
5,3.5,right-hand,0.0983,0.9017
5,3.5,right-hand,0.2171,0.7829
5,3.5,right-hand,0.6657,0.3343
5,3.5,left-hand,0.3001,0.6999
