fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.6477,0.3523
1,3.5,left-hand,0.4394,0.5606
1,3.5,right-hand,0.5894,0.4106
1,3.5,right-hand,0.7652,0.2348
1,3.5,right-hand,0.4516,0.5484
1,3.5,left-hand,0.4702,0.5298
1,3.5,left-hand,0.8086,0.1914
1,3.5,left-hand,0.5342,0.4658
1,3.5,left-hand,0.4806,0.5194
1,3.5,right-hand,0.3088,0.6912
1,3.5,left-hand,0.4342,0.5658
1,3.5,right-hand,0.6061,0.3939
1,3.5,left-hand,0.7132,0.2868
1,3.5,left-hand,0.6955,0.3045
1,3.5,right-hand,0.3062,0.6938
1,3.5,right-hand,0.3723,0.6277
1,3.5,right-hand,0.3656,0.6344
1,3.5,left-hand,0.4266,0.5734
1,3.5,right-hand,0.7133,0.2867
1,3.5,right-hand,0.5345,0.4655
1,3.5,left-hand,0.6311,0.3689
1,3.5,right-hand,0.5755,0.4245
1,3.5,right-hand,0.1332,0.8668
1,3.5,left-hand,0.4401,0.5599
1,3.5,left-hand,0.4702,0.5298
1,3.5,left-hand,0.7541,0.2459
1,3.5,right-hand,0.2372,0.7628
1,3.5,right-hand,0.4771,0.5229
1,3.5,right-hand,0.4207,0.5793
1,3.5,left-hand,0.4931,0.5069
1,3.5,left-hand,0.1176,0.8824
1,3.5,left-hand,0.3328,0.6672
1,3.5,left-hand,0.3074,0.6926
1,3.5,left-hand,0.2264,0.7736
1,3.5,right-hand,0.1897,0.8103
1,3.5,right-hand,0.156,0.844
1,3.5,right-hand,0.2016,0.7984
1,3.5,left-hand,0.1484,0.8516
1,3.5,right-hand,0.1977,0.8023
1,3.5,left-hand,0.7755,0.2245
1,3.5,left-hand,0.5426,0.4574
1,3.5,left-hand,0.3805,0.6195
1,3.5,right-hand,0.3241,0.6759
1,3.5,right-hand,0.1504,0.8496
1,3.5,left-hand,0.8026,0.1974
1,3.5,left-hand,0.4815,0.5185
1,3.5,right-hand,0.3888,0.6112
1,3.5,right-hand,0.2275,0.7725
1,3.5,right-hand,0.1819,0.8181
1,3.5,right-hand,0.3141,0.6859
1,3.5,left-hand,0.9203,0.0797
1,3.5,right-hand,0.1836,0.8164
1,3.5,left-hand,0.8816,0.1184
1,3.5,left-hand,0.8427,0.1573
1,3.5,right-hand,0.5123,0.4877
1,3.5,left-hand,0.8272,0.1728
1,3.5,left-hand,0.7145,0.2855
1,3.5,right-hand,0.2835,0.7165
1,3.5,left-hand,0.935,0.065
1,3.5,left-hand,0.3548,0.6452
1,3.5,right-hand,0.2706,0.7294
1,3.5,left-hand,0.8352,0.1648
1,3.5,right-hand,0.276,0.724
1,3.5,right-hand,0.4104,0.5896
1,3.5,right-hand,0.2672,0.7328
1,3.5,left-hand,0.8904,0.1096
1,3.5,right-hand,0.3487,0.6513
1,3.5,left-hand,0.8438,0.1562
1,3.5,left-hand,0.8033,0.1967
1,3.5,left-hand,0.658,0.342
1,3.5,left-hand,0.7255,0.2745
1,3.5,right-hand,0.592,0.408
1,3.5,left-hand,0.6733,0.3267
1,3.5,right-hand,0.1457,0.8543
1,3.5,left-hand,0.9125,0.0875
1,3.5,left-hand,0.8592,0.1408
1,3.5,left-hand,0.9144,0.0856
1,3.5,left-hand,0.9111,0.0889
1,3.5,right-hand,0.322,0.678
1,3.5,left-hand,0.6136,0.3864
1,3.5,left-hand,0.2269,0.7731
1,3.5,right-hand,0.3286,0.6714
1,3.5,right-hand,0.6055,0.3945
1,3.5,right-hand,0.0531,0.9469
1,3.5,left-hand,0.6788,0.3212
1,3.5,right-hand,0.0753,0.9247
1,3.5,right-hand,0.5708,0.4292
1,3.5,right-hand,0.4602,0.5398
1,3.5,right-hand,0.5637,0.4363
1,3.5,left-hand,0.8317,0.1683
1,3.5,left-hand,0.6068,0.3932
1,3.5,right-hand,0.3859,0.6141
1,3.5,left-hand,0.9336,0.0664
1,3.5,left-hand,0.9222,0.0778
1,3.5,left-hand,0.935,0.065
1,3.5,right-hand,0.5392,0.4608
1,3.5,left-hand,0.8565,0.1435
1,3.5,left-hand,0.8063,0.1937
1,3.5,left-hand,0.879,0.121
1,3.5,right-hand,0.5808,0.4192
1,3.5,left-hand,0.8668,0.1332
1,3.5,right-hand,0.1327,0.8673
1,3.5,right-hand,0.0486,0.9514
1,3.5,left-hand,0.5003,0.4997
1,3.5,left-hand,0.7639,0.2361
1,3.5,right-hand,0.9698,0.0302
1,3.5,right-hand,0.5247,0.4753
1,3.5,right-hand,0.3817,0.6183
1,3.5,left-hand,0.6601,0.3399
1,3.5,right-hand,0.3037,0.6963
1,3.5,left-hand,0.6027,0.3973
1,3.5,right-hand,0.5773,0.4227
1,3.5,left-hand,0.8882,0.1118
1,3.5,right-hand,0.3343,0.6657
1,3.5,right-hand,0.528,0.472
1,3.5,right-hand,0.5557,0.4443
1,3.5,right-hand,0.5966,0.4034
1,3.5,left-hand,0.841,0.159
1,3.5,left-hand,0.5666,0.4334
1,3.5,right-hand,0.3243,0.6757
1,3.5,left-hand,0.9606,0.0394
1,3.5,right-hand,0.1202,0.8798
1,3.5,right-hand,0.2311,0.7689
1,3.5,right-hand,0.4975,0.5025
1,3.5,right-hand,0.1814,0.8186
1,3.5,right-hand,0.1977,0.8023
1,3.5,right-hand,0.1787,0.8213
1,3.5,left-hand,0.939,0.061
1,3.5,right-hand,0.2639,0.7361
1,3.5,right-hand,0.4214,0.5786
1,3.5,left-hand,0.8218,0.1782
1,3.5,left-hand,0.479,0.521
1,3.5,left-hand,0.6684,0.3316
1,3.5,right-hand,0.0954,0.9046
1,3.5,right-hand,0.2835,0.7165
1,3.5,left-hand,0.9311,0.0689
1,3.5,right-hand,0.0416,0.9584
1,3.5,left-hand,0.7592,0.2408
1,3.5,left-hand,0.5471,0.4529
1,3.5,left-hand,0.776,0.224
1,3.5,right-hand,0.3162,0.6838
1,3.5,right-hand,0.593,0.407
1,3.5,left-hand,0.9428,0.0572
1,3.5,left-hand,0.9397,0.0603
2,3.5,left-hand,0.2915,0.7085
2,3.5,left-hand,0.5624,0.4376
2,3.5,right-hand,0.4264,0.5736
2,3.5,left-hand,0.1809,0.8191
2,3.5,right-hand,0.2743,0.7257
2,3.5,right-hand,0.394,0.606
2,3.5,right-hand,0.2613,0.7387
2,3.5,right-hand,0.1734,0.8266
2,3.5,left-hand,0.3993,0.6007
2,3.5,right-hand,0.4058,0.5942
2,3.5,left-hand,0.3637,0.6363
2,3.5,left-hand,0.4425,0.5575
2,3.5,left-hand,0.3095,0.6905
2,3.5,right-hand,0.2454,0.7546
2,3.5,left-hand,0.5026,0.4974
2,3.5,right-hand,0.4528,0.5472
2,3.5,right-hand,0.2602,0.7398
2,3.5,left-hand,0.2942,0.7058
2,3.5,right-hand,0.2004,0.7996
2,3.5,left-hand,0.654,0.346
2,3.5,right-hand,0.6636,0.3364
2,3.5,left-hand,0.3673,0.6327
2,3.5,right-hand,0.1275,0.8725
2,3.5,left-hand,0.0941,0.9059
2,3.5,right-hand,0.2426,0.7574
2,3.5,right-hand,0.3005,0.6995
2,3.5,left-hand,0.3054,0.6946
2,3.5,right-hand,0.2555,0.7445
2,3.5,right-hand,0.0966,0.9034
2,3.5,right-hand,0.5218,0.4782
2,3.5,right-hand,0.369,0.631
2,3.5,left-hand,0.3152,0.6848
2,3.5,left-hand,0.3131,0.6869
2,3.5,right-hand,0.2325,0.7675
2,3.5,left-hand,0.1711,0.8289
2,3.5,right-hand,0.2367,0.7633
2,3.5,left-hand,0.6495,0.3505
2,3.5,left-hand,0.0993,0.9007
2,3.5,right-hand,0.0783,0.9217
2,3.5,left-hand,0.1215,0.8785
2,3.5,right-hand,0.0784,0.9216
2,3.5,right-hand,0.0859,0.9141
2,3.5,right-hand,0.2108,0.7892
2,3.5,left-hand,0.7722,0.2278
2,3.5,left-hand,0.2469,0.7531
2,3.5,right-hand,0.2326,0.7674
2,3.5,left-hand,0.5539,0.4461
2,3.5,right-hand,0.349,0.651
2,3.5,right-hand,0.0577,0.9423
2,3.5,left-hand,0.6156,0.3844
2,3.5,right-hand,0.5536,0.4464
2,3.5,right-hand,0.4608,0.5392
2,3.5,left-hand,0.7456,0.2544
2,3.5,right-hand,0.2652,0.7348
2,3.5,right-hand,0.3508,0.6492
2,3.5,left-hand,0.6911,0.3089
2,3.5,right-hand,0.2901,0.7099
2,3.5,right-hand,0.1777,0.8223
2,3.5,right-hand,0.2656,0.7344
2,3.5,right-hand,0.1711,0.8289
2,3.5,left-hand,0.749,0.251
2,3.5,left-hand,0.8908,0.1092
2,3.5,right-hand,0.4239,0.5761
2,3.5,left-hand,0.9695,0.0305
2,3.5,right-hand,0.5245,0.4755
2,3.5,right-hand,0.6573,0.3427
2,3.5,left-hand,0.6019,0.3981
2,3.5,left-hand,0.7797,0.2203
2,3.5,left-hand,0.587,0.413
2,3.5,right-hand,0.3674,0.6326
2,3.5,left-hand,0.4967,0.5033
2,3.5,right-hand,0.1813,0.8187
2,3.5,right-hand,0.4692,0.5308
2,3.5,left-hand,0.9239,0.0761
2,3.5,right-hand,0.1942,0.8058
2,3.5,left-hand,0.5907,0.4093
2,3.5,right-hand,0.2329,0.7671
2,3.5,right-hand,0.2406,0.7594
2,3.5,right-hand,0.2901,0.7099
2,3.5,left-hand,0.49,0.51
2,3.5,left-hand,0.7484,0.2516
2,3.5,right-hand,0.5949,0.4051
2,3.5,left-hand,0.63,0.37
2,3.5,right-hand,0.4758,0.5242
2,3.5,right-hand,0.1143,0.8857
2,3.5,left-hand,0.5721,0.4279
2,3.5,left-hand,0.7865,0.2135
2,3.5,left-hand,0.8185,0.1815
2,3.5,right-hand,0.0905,0.9095
2,3.5,left-hand,0.7711,0.2289
2,3.5,left-hand,0.7308,0.2692
2,3.5,left-hand,0.3991,0.6009
2,3.5,left-hand,0.8285,0.1715
2,3.5,right-hand,0.6217,0.3783
2,3.5,left-hand,0.8201,0.1799
2,3.5,right-hand,0.5546,0.4454
2,3.5,left-hand,0.7709,0.2291
2,3.5,left-hand,0.4636,0.5364
2,3.5,right-hand,0.5244,0.4756
2,3.5,right-hand,0.3165,0.6835
2,3.5,right-hand,0.0114,0.9886
2,3.5,right-hand,0.1244,0.8756
2,3.5,right-hand,0.5746,0.4254
2,3.5,left-hand,0.2041,0.7959
2,3.5,left-hand,0.3415,0.6585
2,3.5,right-hand,0.0854,0.9146
2,3.5,right-hand,0.3603,0.6397
2,3.5,left-hand,0.8985,0.1015
2,3.5,right-hand,0.7864,0.2136
2,3.5,right-hand,0.4029,0.5971
2,3.5,right-hand,0.682,0.318
2,3.5,left-hand,0.8665,0.1335
2,3.5,left-hand,0.7806,0.2194
2,3.5,left-hand,0.8372,0.1628
2,3.5,left-hand,0.6484,0.3516
2,3.5,left-hand,0.5676,0.4324
2,3.5,left-hand,0.7634,0.2366
2,3.5,left-hand,0.7414,0.2586
2,3.5,right-hand,0.2757,0.7243
2,3.5,left-hand,0.8322,0.1678
2,3.5,right-hand,0.6857,0.3143
2,3.5,left-hand,0.8979,0.1021
2,3.5,left-hand,0.7529,0.2471
2,3.5,left-hand,0.9297,0.0703
2,3.5,right-hand,0.4341,0.5659
2,3.5,left-hand,0.8984,0.1016
2,3.5,left-hand,0.5963,0.4037
2,3.5,right-hand,0.4009,0.5991
2,3.5,left-hand,0.3786,0.6214
2,3.5,left-hand,0.3981,0.6019
2,3.5,right-hand,0.5617,0.4383
2,3.5,left-hand,0.765,0.235
2,3.5,left-hand,0.3026,0.6974
2,3.5,left-hand,0.7666,0.2334
2,3.5,left-hand,0.497,0.503
2,3.5,right-hand,0.5431,0.4569
2,3.5,right-hand,0.4826,0.5174
2,3.5,right-hand,0.4803,0.5197
2,3.5,left-hand,0.5816,0.4184
2,3.5,right-hand,0.4697,0.5303
2,3.5,right-hand,0.5406,0.4594
2,3.5,left-hand,0.3031,0.6969
2,3.5,left-hand,0.7343,0.2657
2,3.5,right-hand,0.7271,0.2729
3,3.5,left-hand,0.5995,0.4005
3,3.5,left-hand,0.7316,0.2684
3,3.5,right-hand,0.4312,0.5688
3,3.5,right-hand,0.3584,0.6416
3,3.5,left-hand,0.5016,0.4984
3,3.5,left-hand,0.4298,0.5702
3,3.5,left-hand,0.5262,0.4738
3,3.5,right-hand,0.4909,0.5091
3,3.5,left-hand,0.3641,0.6359
3,3.5,left-hand,0.7134,0.2866
3,3.5,right-hand,0.3774,0.6226
3,3.5,left-hand,0.345,0.655
3,3.5,left-hand,0.5209,0.4791
3,3.5,right-hand,0.5839,0.4161
3,3.5,right-hand,0.4564,0.5436
3,3.5,left-hand,0.6534,0.3466
3,3.5,left-hand,0.4808,0.5192
3,3.5,left-hand,0.7148,0.2852
3,3.5,left-hand,0.2572,0.7428
3,3.5,right-hand,0.1105,0.8895
3,3.5,right-hand,0.1589,0.8411
3,3.5,left-hand,0.5209,0.4791
3,3.5,right-hand,0.3639,0.6361
3,3.5,left-hand,0.3551,0.6449
3,3.5,left-hand,0.3734,0.6266
3,3.5,right-hand,0.3099,0.6901
3,3.5,right-hand,0.224,0.776
3,3.5,right-hand,0.1444,0.8556
3,3.5,left-hand,0.1671,0.8329
3,3.5,right-hand,0.3023,0.6977
3,3.5,right-hand,0.1898,0.8102
3,3.5,left-hand,0.0708,0.9292
3,3.5,right-hand,0.1606,0.8394
3,3.5,right-hand,0.1296,0.8704
3,3.5,left-hand,0.2286,0.7714
3,3.5,right-hand,0.1866,0.8134
3,3.5,left-hand,0.2229,0.7771
3,3.5,right-hand,0.1509,0.8491
3,3.5,right-hand,0.2197,0.7803
3,3.5,left-hand,0.1468,0.8532
3,3.5,right-hand,0.145,0.855
3,3.5,left-hand,0.4613,0.5387
3,3.5,right-hand,0.3267,0.6733
3,3.5,right-hand,0.1743,0.8257
3,3.5,left-hand,0.5919,0.4081
3,3.5,right-hand,0.2243,0.7757
3,3.5,right-hand,0.1885,0.8115
3,3.5,left-hand,0.1905,0.8095
3,3.5,left-hand,0.9452,0.0548
3,3.5,right-hand,0.4032,0.5968
3,3.5,left-hand,0.5896,0.4104
3,3.5,left-hand,0.9036,0.0964
3,3.5,left-hand,0.7964,0.2036
3,3.5,right-hand,0.2132,0.7868
3,3.5,left-hand,0.8981,0.1019
3,3.5,right-hand,0.7872,0.2128
3,3.5,left-hand,0.8456,0.1544
3,3.5,right-hand,0.1306,0.8694
3,3.5,right-hand,0.2562,0.7438
3,3.5,right-hand,0.116,0.884
3,3.5,left-hand,0.7425,0.2575
3,3.5,left-hand,0.9087,0.0913
3,3.5,left-hand,0.5819,0.4181
3,3.5,right-hand,0.3165,0.6835
3,3.5,right-hand,0.2946,0.7054
3,3.5,left-hand,0.7664,0.2336
3,3.5,left-hand,0.5481,0.4519
3,3.5,right-hand,0.3858,0.6142
3,3.5,left-hand,0.8349,0.1651
3,3.5,right-hand,0.3331,0.6669
3,3.5,right-hand,0.385,0.615
3,3.5,right-hand,0.3256,0.6744
3,3.5,right-hand,0.4939,0.5061
3,3.5,right-hand,0.5642,0.4358
3,3.5,left-hand,0.9593,0.0407
3,3.5,right-hand,0.4643,0.5357
3,3.5,left-hand,0.8471,0.1529
3,3.5,right-hand,0.4118,0.5882
3,3.5,left-hand,0.8948,0.1052
3,3.5,left-hand,0.7184,0.2816
3,3.5,right-hand,0.5528,0.4472
3,3.5,left-hand,0.7344,0.2656
3,3.5,left-hand,0.9492,0.0508
3,3.5,left-hand,0.4066,0.5934
3,3.5,left-hand,0.3691,0.6309
3,3.5,left-hand,0.5319,0.4681
3,3.5,right-hand,0.7323,0.2677
3,3.5,left-hand,0.6789,0.3211
3,3.5,left-hand,0.8955,0.1045
3,3.5,right-hand,0.1658,0.8342
3,3.5,right-hand,0.4607,0.5393
3,3.5,right-hand,0.3029,0.6971
3,3.5,right-hand,0.1543,0.8457
3,3.5,right-hand,0.2122,0.7878
3,3.5,right-hand,0.6327,0.3673
3,3.5,left-hand,0.8685,0.1315
3,3.5,right-hand,0.1279,0.8721
3,3.5,left-hand,0.6931,0.3069
3,3.5,left-hand,0.7741,0.2259
3,3.5,left-hand,0.8053,0.1947
3,3.5,left-hand,0.8183,0.1817
3,3.5,left-hand,0.7177,0.2823
3,3.5,left-hand,0.2053,0.7947
3,3.5,left-hand,0.598,0.402
3,3.5,right-hand,0.7337,0.2663
3,3.5,right-hand,0.2988,0.7012
3,3.5,right-hand,0.6813,0.3187
3,3.5,right-hand,0.9695,0.0305
3,3.5,right-hand,0.6304,0.3696
3,3.5,left-hand,0.9516,0.0484
3,3.5,right-hand,0.5062,0.4938
3,3.5,left-hand,0.1896,0.8104
3,3.5,left-hand,0.7452,0.2548
3,3.5,right-hand,0.568,0.432
3,3.5,left-hand,0.6727,0.3273
3,3.5,right-hand,0.1207,0.8793
3,3.5,left-hand,0.8756,0.1244
3,3.5,right-hand,0.9042,0.0958
3,3.5,right-hand,0.0941,0.9059
3,3.5,right-hand,0.2857,0.7143
3,3.5,right-hand,0.1468,0.8532
3,3.5,left-hand,0.8444,0.1556
3,3.5,left-hand,0.7628,0.2372
3,3.5,left-hand,0.6161,0.3839
3,3.5,right-hand,0.443,0.557
3,3.5,left-hand,0.8468,0.1532
