fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.6114,0.3886
1,3.5,left-hand,0.3549,0.6451
1,3.5,right-hand,0.4704,0.5296
1,3.5,right-hand,0.6893,0.3107
1,3.5,right-hand,0.5143,0.4857
1,3.5,left-hand,0.6455,0.3545
1,3.5,left-hand,0.7989,0.2011
1,3.5,left-hand,0.5073,0.4927
1,3.5,left-hand,0.5642,0.4358
1,3.5,right-hand,0.3756,0.6244
1,3.5,left-hand,0.4239,0.5761
1,3.5,right-hand,0.6949,0.3051
1,3.5,left-hand,0.6701,0.3299
1,3.5,left-hand,0.8012,0.1988
1,3.5,right-hand,0.2839,0.7161
1,3.5,right-hand,0.356,0.644
1,3.5,right-hand,0.1937,0.8063
1,3.5,left-hand,0.3045,0.6955
1,3.5,right-hand,0.8014,0.1986
1,3.5,right-hand,0.6368,0.3632
1,3.5,left-hand,0.7105,0.2895
1,3.5,right-hand,0.5563,0.4437
1,3.5,right-hand,0.3048,0.6952
1,3.5,left-hand,0.42,0.58
1,3.5,left-hand,0.3699,0.6301
1,3.5,left-hand,0.8127,0.1873
1,3.5,right-hand,0.1454,0.8546
1,3.5,right-hand,0.5062,0.4938
1,3.5,right-hand,0.4408,0.5592
1,3.5,left-hand,0.5152,0.4848
1,3.5,left-hand,0.1645,0.8355
1,3.5,left-hand,0.4625,0.5375
1,3.5,left-hand,0.3826,0.6174
1,3.5,left-hand,0.2832,0.7168
1,3.5,right-hand,0.2678,0.7322
1,3.5,right-hand,0.228,0.772
1,3.5,right-hand,0.1873,0.8127
1,3.5,left-hand,0.1897,0.8103
1,3.5,right-hand,0.2213,0.7787
1,3.5,left-hand,0.7952,0.2048
1,3.5,left-hand,0.467,0.533
1,3.5,left-hand,0.2143,0.7857
1,3.5,right-hand,0.3601,0.6399
1,3.5,right-hand,0.2141,0.7859
1,3.5,left-hand,0.8495,0.1505
1,3.5,left-hand,0.464,0.536
1,3.5,right-hand,0.2222,0.7778
1,3.5,right-hand,0.204,0.796
1,3.5,right-hand,0.2096,0.7904
1,3.5,right-hand,0.4041,0.5959
1,3.5,left-hand,0.9379,0.0621
1,3.5,right-hand,0.2112,0.7888
1,3.5,left-hand,0.8899,0.1101
1,3.5,left-hand,0.8937,0.1063
1,3.5,right-hand,0.5992,0.4008
1,3.5,left-hand,0.8266,0.1734
1,3.5,left-hand,0.8438,0.1562
1,3.5,right-hand,0.2658,0.7342
1,3.5,left-hand,0.9792,0.0208
1,3.5,left-hand,0.585,0.415
1,3.5,right-hand,0.2498,0.7502
1,3.5,left-hand,0.8171,0.1829
1,3.5,right-hand,0.3697,0.6303
1,3.5,right-hand,0.5413,0.4587
1,3.5,right-hand,0.3026,0.6974
1,3.5,left-hand,0.8963,0.1037
1,3.5,right-hand,0.3579,0.6421
1,3.5,left-hand,0.886,0.114
1,3.5,left-hand,0.7358,0.2642
1,3.5,left-hand,0.4778,0.5222
1,3.5,left-hand,0.8197,0.1803
1,3.5,right-hand,0.5825,0.4175
1,3.5,left-hand,0.5838,0.4162
1,3.5,right-hand,0.1896,0.8104
1,3.5,left-hand,0.9109,0.0891
1,3.5,left-hand,0.8713,0.1287
1,3.5,left-hand,0.8631,0.1369
1,3.5,left-hand,0.9137,0.0863
1,3.5,right-hand,0.2635,0.7365
1,3.5,left-hand,0.6468,0.3532
1,3.5,left-hand,0.2671,0.7329
1,3.5,right-hand,0.4593,0.5407
1,3.5,right-hand,0.6873,0.3127
1,3.5,right-hand,0.0461,0.9539
1,3.5,left-hand,0.6762,0.3238
1,3.5,right-hand,0.1001,0.8999
1,3.5,right-hand,0.6417,0.3583
1,3.5,right-hand,0.4092,0.5908
1,3.5,right-hand,0.5292,0.4708
1,3.5,left-hand,0.8547,0.1453
1,3.5,left-hand,0.585,0.415
1,3.5,right-hand,0.5265,0.4735
1,3.5,left-hand,0.9334,0.0666
1,3.5,left-hand,0.8935,0.1065
1,3.5,left-hand,0.926,0.074
1,3.5,right-hand,0.6937,0.3063
1,3.5,left-hand,0.9033,0.0967
1,3.5,left-hand,0.7465,0.2535
1,3.5,left-hand,0.867,0.133
1,3.5,right-hand,0.5079,0.4921
1,3.5,left-hand,0.7963,0.2037
1,3.5,right-hand,0.1644,0.8356
1,3.5,right-hand,0.1026,0.8974
1,3.5,left-hand,0.6015,0.3985
1,3.5,left-hand,0.8794,0.1206
1,3.5,right-hand,0.9337,0.0663
1,3.5,right-hand,0.4268,0.5732
1,3.5,right-hand,0.3877,0.6123
1,3.5,left-hand,0.717,0.283
1,3.5,right-hand,0.3321,0.6679
1,3.5,left-hand,0.7316,0.2684
1,3.5,right-hand,0.5283,0.4717
1,3.5,left-hand,0.8767,0.1233
1,3.5,right-hand,0.6268,0.3732
1,3.5,right-hand,0.6603,0.3397
1,3.5,right-hand,0.5772,0.4228
1,3.5,right-hand,0.5632,0.4368
1,3.5,left-hand,0.8515,0.1485
1,3.5,left-hand,0.6327,0.3673
1,3.5,right-hand,0.23,0.77
1,3.5,left-hand,0.9785,0.0215
1,3.5,right-hand,0.1037,0.8963
1,3.5,right-hand,0.2587,0.7413
1,3.5,right-hand,0.6619,0.3381
1,3.5,right-hand,0.1671,0.8329
1,3.5,right-hand,0.2434,0.7566
1,3.5,right-hand,0.1381,0.8619
1,3.5,left-hand,0.9183,0.0817
1,3.5,right-hand,0.2054,0.7946
1,3.5,right-hand,0.367,0.633
1,3.5,left-hand,0.7344,0.2656
1,3.5,left-hand,0.5163,0.4837
1,3.5,left-hand,0.4985,0.5015
1,3.5,right-hand,0.0755,0.9245
1,3.5,right-hand,0.1952,0.8048
1,3.5,left-hand,0.9516,0.0484
1,3.5,right-hand,0.07,0.93
1,3.5,left-hand,0.8056,0.1944
1,3.5,left-hand,0.6037,0.3963
1,3.5,left-hand,0.7451,0.2549
1,3.5,right-hand,0.3849,0.6151
1,3.5,right-hand,0.5499,0.4501
1,3.5,left-hand,0.9011,0.0989
1,3.5,left-hand,0.9454,0.0546
2,3.5,left-hand,0.2557,0.7443
2,3.5,left-hand,0.6763,0.3237
2,3.5,right-hand,0.3946,0.6054
2,3.5,left-hand,0.2483,0.7517
2,3.5,right-hand,0.2061,0.7939
2,3.5,right-hand,0.2859,0.7141
2,3.5,right-hand,0.3723,0.6277
2,3.5,right-hand,0.1158,0.8842
2,3.5,left-hand,0.4456,0.5544
2,3.5,right-hand,0.4502,0.5498
2,3.5,left-hand,0.3325,0.6675
2,3.5,left-hand,0.2927,0.7073
2,3.5,left-hand,0.3515,0.6485
