fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.6798,0.3202
1,3.5,left-hand,0.4234,0.5766
1,3.5,right-hand,0.4974,0.5026
1,3.5,right-hand,0.678,0.322
1,3.5,right-hand,0.7545,0.2455
1,3.5,left-hand,0.542,0.458
1,3.5,left-hand,0.8148,0.1852
1,3.5,left-hand,0.5633,0.4367
1,3.5,left-hand,0.4302,0.5698
1,3.5,right-hand,0.538,0.462
1,3.5,left-hand,0.49,0.51
1,3.5,right-hand,0.6722,0.3278
1,3.5,left-hand,0.7418,0.2582
1,3.5,left-hand,0.7592,0.2408
1,3.5,right-hand,0.3866,0.6134
1,3.5,right-hand,0.3534,0.6466
1,3.5,right-hand,0.2294,0.7706
1,3.5,left-hand,0.4089,0.5911
1,3.5,right-hand,0.8274,0.1726
1,3.5,right-hand,0.586,0.414
1,3.5,left-hand,0.6135,0.3865
1,3.5,right-hand,0.6709,0.3291
1,3.5,right-hand,0.2079,0.7921
1,3.5,left-hand,0.3905,0.6095
1,3.5,left-hand,0.509,0.491
1,3.5,left-hand,0.7121,0.2879
1,3.5,right-hand,0.1944,0.8056
1,3.5,right-hand,0.4471,0.5529
1,3.5,right-hand,0.4537,0.5463
1,3.5,left-hand,0.567,0.433
1,3.5,left-hand,0.1386,0.8614
1,3.5,left-hand,0.2806,0.7194
1,3.5,left-hand,0.3005,0.6995
1,3.5,left-hand,0.2436,0.7564
1,3.5,right-hand,0.1916,0.8084
1,3.5,right-hand,0.1944,0.8056
1,3.5,right-hand,0.199,0.801
1,3.5,left-hand,0.2931,0.7069
1,3.5,right-hand,0.2546,0.7454
1,3.5,left-hand,0.7727,0.2273
1,3.5,left-hand,0.5196,0.4804
1,3.5,left-hand,0.2028,0.7972
1,3.5,right-hand,0.3433,0.6567
1,3.5,right-hand,0.1765,0.8235
1,3.5,left-hand,0.8095,0.1905
1,3.5,left-hand,0.4914,0.5086
1,3.5,right-hand,0.2668,0.7332
1,3.5,right-hand,0.229,0.771
1,3.5,right-hand,0.4056,0.5944
1,3.5,right-hand,0.4989,0.5011
1,3.5,left-hand,0.8345,0.1655
1,3.5,right-hand,0.3811,0.6189
1,3.5,left-hand,0.8268,0.1732
1,3.5,left-hand,0.8011,0.1989
1,3.5,right-hand,0.6184,0.3816
1,3.5,left-hand,0.7522,0.2478
1,3.5,left-hand,0.674,0.326
1,3.5,right-hand,0.5361,0.4639
1,3.5,left-hand,0.9491,0.0509
1,3.5,left-hand,0.5303,0.4697
1,3.5,right-hand,0.335,0.665
1,3.5,left-hand,0.8308,0.1692
1,3.5,right-hand,0.3168,0.6832
1,3.5,right-hand,0.3797,0.6203
1,3.5,right-hand,0.448,0.552
1,3.5,left-hand,0.8433,0.1567
1,3.5,right-hand,0.5262,0.4738
1,3.5,left-hand,0.7186,0.2814
1,3.5,left-hand,0.6252,0.3748
1,3.5,left-hand,0.4541,0.5459
1,3.5,left-hand,0.665,0.335
1,3.5,right-hand,0.6638,0.3362
1,3.5,left-hand,0.5842,0.4158
1,3.5,right-hand,0.2754,0.7246
1,3.5,left-hand,0.8316,0.1684
1,3.5,left-hand,0.8166,0.1834
1,3.5,left-hand,0.6651,0.3349
1,3.5,left-hand,0.8206,0.1794
1,3.5,right-hand,0.3884,0.6116
1,3.5,left-hand,0.6206,0.3794
1,3.5,left-hand,0.2601,0.7399
1,3.5,right-hand,0.4619,0.5381
1,3.5,right-hand,0.4298,0.5702
1,3.5,right-hand,0.0873,0.9127
1,3.5,left-hand,0.7116,0.2884
1,3.5,right-hand,0.1139,0.8861
1,3.5,right-hand,0.458,0.542
1,3.5,right-hand,0.437,0.563
1,3.5,right-hand,0.4852,0.5148
1,3.5,left-hand,0.7819,0.2181
1,3.5,left-hand,0.6148,0.3852
1,3.5,right-hand,0.5432,0.4568
1,3.5,left-hand,0.8139,0.1861
1,3.5,left-hand,0.8589,0.1411
1,3.5,left-hand,0.859,0.141
1,3.5,right-hand,0.5287,0.4713
1,3.5,left-hand,0.7767,0.2233
1,3.5,left-hand,0.5866,0.4134
