fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.5214,0.4786
1,3.5,left-hand,0.1321,0.8679
1,3.5,right-hand,0.9898,0.0102
1,3.5,right-hand,0.6936,0.3064
1,3.5,right-hand,0.222,0.778
1,3.5,left-hand,0.5846,0.4154
1,3.5,left-hand,0.6845,0.3155
1,3.5,left-hand,0.4498,0.5502
1,3.5,left-hand,0.4792,0.5208
1,3.5,right-hand,0.1135,0.8865
1,3.5,left-hand,0.6815,0.3185
1,3.5,right-hand,0.5426,0.4574
1,3.5,left-hand,0.2931,0.7069
1,3.5,left-hand,0.09,0.91
1,3.5,right-hand,0.3635,0.6365
1,3.5,right-hand,0.6923,0.3077
1,3.5,right-hand,0.0778,0.9222
1,3.5,left-hand,0.7794,0.2206
1,3.5,right-hand,0.5893,0.4107
1,3.5,right-hand,0.4656,0.5344
1,3.5,left-hand,0.7309,0.2691
1,3.5,right-hand,0.3172,0.6828
1,3.5,right-hand,0.5742,0.4258
1,3.5,left-hand,0.7834,0.2166
1,3.5,left-hand,0.2737,0.7263
1,3.5,left-hand,0.797,0.203
1,3.5,right-hand,0.2129,0.7871
1,3.5,right-hand,0.592,0.408
1,3.5,right-hand,0.4713,0.5287
1,3.5,left-hand,0.4858,0.5142
1,3.5,left-hand,0.5218,0.4782
1,3.5,left-hand,0.2613,0.7387
1,3.5,left-hand,0.682,0.318
1,3.5,left-hand,0.3216,0.6784
1,3.5,right-hand,0.1188,0.8812
1,3.5,right-hand,0.3208,0.6792
1,3.5,right-hand,0.2645,0.7355
1,3.5,left-hand,0.2619,0.7381
1,3.5,right-hand,0.4497,0.5503
1,3.5,left-hand,0.7845,0.2155
1,3.5,left-hand,0.6765,0.3235
1,3.5,left-hand,0.5775,0.4225
1,3.5,right-hand,0.2588,0.7412
1,3.5,right-hand,0.1673,0.8327
1,3.5,left-hand,0.7769,0.2231
1,3.5,left-hand,0.7671,0.2329
1,3.5,right-hand,0.4687,0.5313
1,3.5,right-hand,0.2824,0.7176
1,3.5,right-hand,0.1249,0.8751
1,3.5,right-hand,0.339,0.661
1,3.5,left-hand,0.8354,0.1646
1,3.5,right-hand,0.0761,0.9239
1,3.5,left-hand,0.9311,0.0689
1,3.5,left-hand,0.8062,0.1938
1,3.5,right-hand,0.7817,0.2183
1,3.5,left-hand,0.5248,0.4752
1,3.5,left-hand,0.9196,0.0804
1,3.5,right-hand,0.0224,0.9776
1,3.5,left-hand,0.9943,0.0057
1,3.5,left-hand,0.4686,0.5314
1,3.5,right-hand,0.1338,0.8662
1,3.5,left-hand,0.9339,0.0661
1,3.5,right-hand,0.1206,0.8794
1,3.5,right-hand,0.395,0.605
1,3.5,right-hand,0.0876,0.9124
1,3.5,left-hand,0.7577,0.2423
1,3.5,right-hand,0.28,0.72
1,3.5,left-hand,0.9557,0.0443
1,3.5,left-hand,0.9073,0.0927
1,3.5,left-hand,0.6056,0.3944
1,3.5,left-hand,0.8856,0.1144
1,3.5,right-hand,0.2161,0.7839
1,3.5,left-hand,0.4611,0.5389
1,3.5,right-hand,0.1264,0.8736
1,3.5,left-hand,0.9729,0.0271
1,3.5,left-hand,0.9231,0.0769
1,3.5,left-hand,0.9915,0.0085
1,3.5,left-hand,0.9434,0.0566
1,3.5,right-hand,0.2022,0.7978
1,3.5,left-hand,0.7247,0.2753
1,3.5,left-hand,0.3842,0.6158
1,3.5,right-hand,0.2509,0.7491
1,3.5,right-hand,0.8426,0.1574
1,3.5,right-hand,0.1077,0.8923
1,3.5,left-hand,0.9202,0.0798
1,3.5,right-hand,0.0559,0.9441
1,3.5,right-hand,0.4167,0.5833
1,3.5,right-hand,0.1762,0.8238
1,3.5,right-hand,0.2817,0.7183
1,3.5,left-hand,0.8358,0.1642
1,3.5,left-hand,0.5986,0.4014
1,3.5,right-hand,0.1198,0.8802
1,3.5,left-hand,0.9436,0.0564
1,3.5,left-hand,0.9747,0.0253
1,3.5,left-hand,0.8438,0.1562
1,3.5,right-hand,0.4671,0.5329
1,3.5,left-hand,0.934,0.066
1,3.5,left-hand,0.6725,0.3275
1,3.5,left-hand,0.9219,0.0781
1,3.5,right-hand,0.1445,0.8555
1,3.5,left-hand,0.856,0.144
1,3.5,right-hand,0.1471,0.8529
1,3.5,right-hand,0.0387,0.9613
1,3.5,left-hand,0.8441,0.1559
1,3.5,left-hand,0.7349,0.2651
1,3.5,right-hand,0.9762,0.0238
1,3.5,right-hand,0.5581,0.4419
1,3.5,right-hand,0.6525,0.3475
1,3.5,left-hand,0.8069,0.1931
1,3.5,right-hand,0.0447,0.9553
1,3.5,left-hand,0.7393,0.2607
1,3.5,right-hand,0.3251,0.6749
1,3.5,left-hand,0.9435,0.0565
1,3.5,right-hand,0.6165,0.3835
1,3.5,right-hand,0.5187,0.4813
1,3.5,right-hand,0.5664,0.4336
1,3.5,right-hand,0.3286,0.6714
1,3.5,left-hand,0.8572,0.1428
1,3.5,left-hand,0.3487,0.6513
1,3.5,right-hand,0.2017,0.7983
1,3.5,left-hand,0.8723,0.1277
1,3.5,right-hand,0.0367,0.9633
1,3.5,right-hand,0.3825,0.6175
1,3.5,right-hand,0.6522,0.3478
1,3.5,right-hand,0.1893,0.8107
1,3.5,right-hand,0.2151,0.7849
1,3.5,right-hand,0.0333,0.9667
1,3.5,left-hand,0.9368,0.0632
1,3.5,right-hand,0.0492,0.9508
1,3.5,right-hand,0.1148,0.8852
1,3.5,left-hand,0.5334,0.4666
1,3.5,left-hand,0.6038,0.3962
1,3.5,left-hand,0.835,0.165
1,3.5,right-hand,0.5433,0.4567
1,3.5,right-hand,0.0148,0.9852
1,3.5,left-hand,0.8058,0.1942
1,3.5,right-hand,0.0135,0.9865
1,3.5,left-hand,0.7105,0.2895
1,3.5,left-hand,0.6311,0.3689
1,3.5,left-hand,0.4758,0.5242
1,3.5,right-hand,0.5931,0.4069
1,3.5,right-hand,0.1695,0.8305
1,3.5,left-hand,0.8733,0.1267
1,3.5,left-hand,0.9487,0.0513
2,3.5,left-hand,0.0139,0.9861
2,3.5,left-hand,0.4644,0.5356
2,3.5,right-hand,0.4282,0.5718
2,3.5,left-hand,0.109,0.891
2,3.5,right-hand,0.2157,0.7843
2,3.5,right-hand,0.445,0.555
2,3.5,right-hand,0.555,0.445
2,3.5,right-hand,0.1878,0.8122
2,3.5,left-hand,0.7138,0.2862
2,3.5,right-hand,0.2442,0.7558
2,3.5,left-hand,0.37,0.63
2,3.5,left-hand,0.6028,0.3972
2,3.5,left-hand,0.5031,0.4969
2,3.5,right-hand,0.3052,0.6948
2,3.5,left-hand,0.0136,0.9864
2,3.5,right-hand,0.2115,0.7885
2,3.5,right-hand,0.2424,0.7576
2,3.5,left-hand,0.2711,0.7289
2,3.5,right-hand,0.2512,0.7488
2,3.5,left-hand,0.1483,0.8517
2,3.5,right-hand,0.3714,0.6286
2,3.5,left-hand,0.5391,0.4609
2,3.5,right-hand,0.1348,0.8652
