fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.7105,0.2895
1,3.5,left-hand,0.4517,0.5483
1,3.5,right-hand,0.7046,0.2954
1,3.5,right-hand,0.7735,0.2265
1,3.5,right-hand,0.423,0.577
1,3.5,left-hand,0.6723,0.3277
1,3.5,left-hand,0.805,0.195
1,3.5,left-hand,0.4875,0.5125
1,3.5,left-hand,0.5692,0.4308
1,3.5,right-hand,0.2558,0.7442
1,3.5,left-hand,0.4312,0.5688
1,3.5,right-hand,0.6886,0.3114
1,3.5,left-hand,0.7509,0.2491
1,3.5,left-hand,0.7868,0.2132
1,3.5,right-hand,0.3066,0.6934
1,3.5,right-hand,0.3773,0.6227
1,3.5,right-hand,0.3432,0.6568
1,3.5,left-hand,0.3273,0.6727
1,3.5,right-hand,0.8475,0.1525
1,3.5,right-hand,0.616,0.384
1,3.5,left-hand,0.7145,0.2855
1,3.5,right-hand,0.5529,0.4471
1,3.5,right-hand,0.3009,0.6991
1,3.5,left-hand,0.4922,0.5078
1,3.5,left-hand,0.3453,0.6547
1,3.5,left-hand,0.8596,0.1404
1,3.5,right-hand,0.1839,0.8161
1,3.5,right-hand,0.719,0.281
1,3.5,right-hand,0.5583,0.4417
1,3.5,left-hand,0.5732,0.4268
1,3.5,left-hand,0.1713,0.8287
1,3.5,left-hand,0.5248,0.4752
1,3.5,left-hand,0.2898,0.7102
1,3.5,left-hand,0.2617,0.7383
1,3.5,right-hand,0.2705,0.7295
1,3.5,right-hand,0.1979,0.8021
1,3.5,right-hand,0.1706,0.8294
1,3.5,left-hand,0.1323,0.8677
1,3.5,right-hand,0.1813,0.8187
1,3.5,left-hand,0.9028,0.0972
1,3.5,left-hand,0.6676,0.3324
1,3.5,left-hand,0.2749,0.7251
1,3.5,right-hand,0.4773,0.5227
1,3.5,right-hand,0.2188,0.7812
1,3.5,left-hand,0.8763,0.1237
1,3.5,left-hand,0.4306,0.5694
1,3.5,right-hand,0.2458,0.7542
1,3.5,right-hand,0.128,0.872
1,3.5,right-hand,0.0821,0.9179
1,3.5,right-hand,0.1534,0.8466
1,3.5,left-hand,0.9726,0.0274
1,3.5,right-hand,0.1242,0.8758
1,3.5,left-hand,0.9387,0.0613
1,3.5,left-hand,0.8889,0.1111
1,3.5,right-hand,0.3858,0.6142
1,3.5,left-hand,0.852,0.148
1,3.5,left-hand,0.8565,0.1435
1,3.5,right-hand,0.1317,0.8683
1,3.5,left-hand,0.9775,0.0225
