fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.5796,0.4204
1,3.5,left-hand,0.4068,0.5932
1,3.5,right-hand,0.665,0.335
1,3.5,right-hand,0.7287,0.2713
1,3.5,right-hand,0.4602,0.5398
1,3.5,left-hand,0.6311,0.3689
1,3.5,left-hand,0.7845,0.2155
1,3.5,left-hand,0.526,0.474
1,3.5,left-hand,0.5364,0.4636
1,3.5,right-hand,0.187,0.813
1,3.5,left-hand,0.408,0.592
1,3.5,right-hand,0.6126,0.3874
1,3.5,left-hand,0.6422,0.3578
1,3.5,left-hand,0.7766,0.2234
1,3.5,right-hand,0.3043,0.6957
1,3.5,right-hand,0.3959,0.6041
1,3.5,right-hand,0.3154,0.6846
1,3.5,left-hand,0.3654,0.6346
1,3.5,right-hand,0.6694,0.3306
1,3.5,right-hand,0.6251,0.3749
1,3.5,left-hand,0.7115,0.2885
1,3.5,right-hand,0.5008,0.4992
1,3.5,right-hand,0.3479,0.6521
1,3.5,left-hand,0.4785,0.5215
1,3.5,left-hand,0.3368,0.6632
1,3.5,left-hand,0.817,0.183
1,3.5,right-hand,0.1799,0.8201
1,3.5,right-hand,0.622,0.378
1,3.5,right-hand,0.5137,0.4863
1,3.5,left-hand,0.5057,0.4943
1,3.5,left-hand,0.2062,0.7938
1,3.5,left-hand,0.5549,0.4451
1,3.5,left-hand,0.4048,0.5952
1,3.5,left-hand,0.2935,0.7065
1,3.5,right-hand,0.272,0.728
1,3.5,right-hand,0.1922,0.8078
1,3.5,right-hand,0.1596,0.8404
1,3.5,left-hand,0.1103,0.8897
1,3.5,right-hand,0.1961,0.8039
1,3.5,left-hand,0.8563,0.1437
1,3.5,left-hand,0.6008,0.3992
1,3.5,left-hand,0.2809,0.7191
1,3.5,right-hand,0.4223,0.5777
1,3.5,right-hand,0.2255,0.7745
1,3.5,left-hand,0.7911,0.2089
1,3.5,left-hand,0.4567,0.5433
1,3.5,right-hand,0.2922,0.7078
1,3.5,right-hand,0.1904,0.8096
1,3.5,right-hand,0.1381,0.8619
1,3.5,right-hand,0.3967,0.6033
