fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0005,0.9995
1,3.5,right-hand,0.0072,0.9928
1,3.5,right-hand,0.0764,0.9236
1,3.5,right-hand,0.0173,0.9827
1,3.5,right-hand,0.9749,0.0251
1,3.5,right-hand,0.2058,0.7942
1,3.5,left-hand,0.9388,0.0612
1,3.5,left-hand,0.8746,0.1254
1,3.5,left-hand,0.6509,0.3491
1,3.5,left-hand,0.9752,0.0248
1,3.5,left-hand,0.8986,0.1014
1,3.5,right-hand,0.0928,0.9072
1,3.5,left-hand,0.8728,0.1272
1,3.5,right-hand,0.0624,0.9376
1,3.5,right-hand,0.0012,0.9988
1,3.5,right-hand,0.1366,0.8634
1,3.5,right-hand,0.1352,0.8648
1,3.5,right-hand,0.0186,0.9814
1,3.5,left-hand,0.9163,0.0837
1,3.5,left-hand,0.9519,0.0481
1,3.5,left-hand,0.9541,0.0459
1,3.5,left-hand,0.9927,0.0073
1,3.5,left-hand,0.6619,0.3381
1,3.5,left-hand,0.8273,0.1727
2,3.5,right-hand,0.6415,0.3585
2,3.5,right-hand,0.067,0.933
2,3.5,right-hand,0.1697,0.8303
2,3.5,left-hand,0.4667,0.5333
2,3.5,left-hand,0.9937,0.0063
2,3.5,left-hand,0.991,0.009
2,3.5,right-hand,0.0023,0.9977
2,3.5,right-hand,0.3868,0.6132
2,3.5,left-hand,0.623,0.377
2,3.5,right-hand,0.0552,0.9448
2,3.5,left-hand,0.4138,0.5862
2,3.5,left-hand,0.7498,0.2502
2,3.5,left-hand,0.6253,0.3747
2,3.5,left-hand,0.1608,0.8392
2,3.5,left-hand,0.59,0.41
2,3.5,right-hand,0.4221,0.5779
2,3.5,right-hand,0.842,0.158
2,3.5,right-hand,0.0346,0.9654
2,3.5,right-hand,0.4459,0.5541
2,3.5,right-hand,0.3842,0.6158
2,3.5,right-hand,0.3346,0.6654
2,3.5,left-hand,0.9873,0.0127
2,3.5,left-hand,0.9959,0.0041
2,3.5,left-hand,0.9885,0.0115
3,3.5,right-hand,0.8663,0.1337
3,3.5,right-hand,0.6945,0.3055
3,3.5,left-hand,0.8605,0.1395
3,3.5,left-hand,0.89,0.11
3,3.5,left-hand,0.7607,0.2393
3,3.5,right-hand,0.9987,0.0013
3,3.5,right-hand,0.0423,0.9577
3,3.5,right-hand,0.2029,0.7971
3,3.5,right-hand,0.0035,0.9965
3,3.5,left-hand,0.5589,0.4411
3,3.5,left-hand,0.3917,0.6083
3,3.5,left-hand,0.6206,0.3794
3,3.5,right-hand,0.2898,0.7102
3,3.5,right-hand,0.051,0.949
3,3.5,right-hand,0.032,0.968
3,3.5,right-hand,0.534,0.466
3,3.5,left-hand,0.8648,0.1352
3,3.5,right-hand,0.0006,0.9994
3,3.5,right-hand,0.3741,0.6259
3,3.5,left-hand,0.7878,0.2122
3,3.5,left-hand,0.9909,0.0091
3,3.5,left-hand,0.9983,0.0017
3,3.5,left-hand,0.9991,0.0009
3,3.5,left-hand,0.9968,0.0032
4,3.5,right-hand,0.0026,0.9974
4,3.5,right-hand,0.0476,0.9524
4,3.5,right-hand,0.0051,0.9949
4,3.5,right-hand,0.6005,0.3995
4,3.5,left-hand,0.3755,0.6245
4,3.5,left-hand,0.9663,0.0337
4,3.5,left-hand,0.8307,0.1693
4,3.5,right-hand,0.0446,0.9554
4,3.5,left-hand,0.2582,0.7418
4,3.5,left-hand,0.7363,0.2637
4,3.5,left-hand,0.3696,0.6304
4,3.5,left-hand,0.7205,0.2795
4,3.5,right-hand,0.0229,0.9771
4,3.5,right-hand,0.1235,0.8765
4,3.5,left-hand,0.2486,0.7514
4,3.5,right-hand,0.109,0.891
4,3.5,right-hand,0.9225,0.0775
4,3.5,right-hand,0.0342,0.9658
4,3.5,right-hand,0.0017,0.9983
4,3.5,right-hand,0.0017,0.9983
4,3.5,left-hand,0.9892,0.0108
4,3.5,left-hand,0.9203,0.0797
4,3.5,left-hand,0.2159,0.7841
4,3.5,left-hand,0.9761,0.0239
5,3.5,right-hand,0.325,0.675
5,3.5,right-hand,0.4784,0.5216
5,3.5,right-hand,0.4894,0.5106
5,3.5,right-hand,0.0529,0.9471
5,3.5,right-hand,0.0526,0.9474
5,3.5,left-hand,0.9782,0.0218
5,3.5,left-hand,0.8632,0.1368
5,3.5,left-hand,0.9467,0.0533
5,3.5,left-hand,0.9341,0.0659
5,3.5,left-hand,0.9853,0.0147
5,3.5,left-hand,0.9224,0.0776
5,3.5,right-hand,0.254,0.746
5,3.5,right-hand,0.0147,0.9853
5,3.5,left-hand,0.5946,0.4054
5,3.5,right-hand,0.1391,0.8609
5,3.5,right-hand,0.0016,0.9984
5,3.5,left-hand,0.6445,0.3555
5,3.5,left-hand,0.9312,0.0688
5,3.5,left-hand,0.9051,0.0949
5,3.5,right-hand,0.1382,0.8618
5,3.5,right-hand,0.0223,0.9777
5,3.5,right-hand,0.2645,0.7355
5,3.5,left-hand,0.9371,0.0629
5,3.5,left-hand,0.9756,0.0244
