fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.001,0.999
1,3.5,right-hand,0.0256,0.9744
1,3.5,right-hand,0.1619,0.8381
1,3.5,right-hand,0.3502,0.6498
1,3.5,right-hand,0.8533,0.1467
1,3.5,right-hand,0.0504,0.9496
1,3.5,left-hand,0.748,0.252
1,3.5,left-hand,0.8561,0.1439
1,3.5,left-hand,0.8978,0.1022
1,3.5,left-hand,0.9599,0.0401
1,3.5,left-hand,0.9235,0.0765
1,3.5,right-hand,0.7484,0.2516
1,3.5,left-hand,0.8433,0.1567
1,3.5,right-hand,0.0286,0.9714
1,3.5,right-hand,0.003,0.997
1,3.5,right-hand,0.3049,0.6951
1,3.5,right-hand,0.2741,0.7259
1,3.5,right-hand,0.1045,0.8955
1,3.5,left-hand,0.8754,0.1246
1,3.5,left-hand,0.8283,0.1717
1,3.5,left-hand,0.865,0.135
1,3.5,left-hand,0.8997,0.1003
1,3.5,left-hand,0.1998,0.8002
1,3.5,left-hand,0.1032,0.8968
2,3.5,right-hand,0.7136,0.2864
2,3.5,right-hand,0.0995,0.9005
2,3.5,right-hand,0.1639,0.8361
2,3.5,left-hand,0.5605,0.4395
2,3.5,left-hand,0.9932,0.0068
2,3.5,left-hand,0.9901,0.0099
2,3.5,right-hand,0.0066,0.9934
2,3.5,right-hand,0.3118,0.6882
2,3.5,left-hand,0.5232,0.4768
2,3.5,right-hand,0.1138,0.8862
2,3.5,left-hand,0.5199,0.4801
2,3.5,left-hand,0.7961,0.2039
2,3.5,left-hand,0.7377,0.2623
2,3.5,left-hand,0.1375,0.8625
2,3.5,left-hand,0.4666,0.5334
2,3.5,right-hand,0.394,0.606
2,3.5,right-hand,0.7562,0.2438
2,3.5,right-hand,0.0423,0.9577
2,3.5,right-hand,0.3684,0.6316
2,3.5,right-hand,0.4323,0.5677
2,3.5,right-hand,0.4704,0.5296
2,3.5,left-hand,0.9522,0.0478
2,3.5,left-hand,0.9919,0.0081
2,3.5,left-hand,0.9625,0.0375
3,3.5,right-hand,0.1298,0.8702
3,3.5,right-hand,0.5029,0.4971
3,3.5,left-hand,0.8186,0.1814
3,3.5,left-hand,0.6768,0.3232
3,3.5,left-hand,0.577,0.423
3,3.5,right-hand,0.9814,0.0186
3,3.5,right-hand,0.0179,0.9821
3,3.5,right-hand,0.2369,0.7631
3,3.5,right-hand,0.0236,0.9764
3,3.5,left-hand,0.6922,0.3078
3,3.5,left-hand,0.1753,0.8247
3,3.5,left-hand,0.2399,0.7601
3,3.5,right-hand,0.2294,0.7706
3,3.5,right-hand,0.0167,0.9833
3,3.5,right-hand,0.0129,0.9871
3,3.5,right-hand,0.7699,0.2301
3,3.5,left-hand,0.6092,0.3908
3,3.5,right-hand,0.0012,0.9988
3,3.5,right-hand,0.1529,0.8471
3,3.5,left-hand,0.8314,0.1686
3,3.5,left-hand,0.9933,0.0067
3,3.5,left-hand,0.9984,0.0016
3,3.5,left-hand,0.9964,0.0036
3,3.5,left-hand,0.9936,0.0064
4,3.5,right-hand,0.0042,0.9958
4,3.5,right-hand,0.0349,0.9651
4,3.5,right-hand,0.0031,0.9969
4,3.5,right-hand,0.6174,0.3826
4,3.5,left-hand,0.5761,0.4239
4,3.5,left-hand,0.9661,0.0339
4,3.5,left-hand,0.9966,0.0034
4,3.5,right-hand,0.1147,0.8853
4,3.5,left-hand,0.2974,0.7026
4,3.5,left-hand,0.7917,0.2083
4,3.5,left-hand,0.6511,0.3489
4,3.5,left-hand,0.4652,0.5348
4,3.5,right-hand,0.0092,0.9908
4,3.5,right-hand,0.1825,0.8175
4,3.5,left-hand,0.2293,0.7707
4,3.5,right-hand,0.0069,0.9931
4,3.5,right-hand,0.9501,0.0499
4,3.5,right-hand,0.0068,0.9932
4,3.5,right-hand,0.001,0.999
4,3.5,right-hand,0.0006,0.9994
4,3.5,left-hand,0.9774,0.0226
4,3.5,left-hand,0.9638,0.0362
4,3.5,left-hand,0.0552,0.9448
4,3.5,left-hand,0.937,0.063
5,3.5,right-hand,0.1824,0.8176
5,3.5,right-hand,0.2202,0.7798
5,3.5,right-hand,0.2206,0.7794
5,3.5,right-hand,0.1351,0.8649
5,3.5,right-hand,0.0398,0.9602
5,3.5,left-hand,0.9486,0.0514
5,3.5,left-hand,0.7257,0.2743
5,3.5,left-hand,0.9442,0.0558
5,3.5,left-hand,0.862,0.138
5,3.5,left-hand,0.9703,0.0297
5,3.5,left-hand,0.9813,0.0187
5,3.5,right-hand,0.0773,0.9227
5,3.5,right-hand,0.0272,0.9728
5,3.5,left-hand,0.8149,0.1851
5,3.5,right-hand,0.6537,0.3463
5,3.5,right-hand,0.0792,0.9208
5,3.5,left-hand,0.6073,0.3927
5,3.5,left-hand,0.6264,0.3736
5,3.5,left-hand,0.8438,0.1562
5,3.5,right-hand,0.0698,0.9302
5,3.5,right-hand,0.1381,0.8619
5,3.5,right-hand,0.2586,0.7414
5,3.5,left-hand,0.9564,0.0436
5,3.5,left-hand,0.9391,0.0609
