fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0006,0.9994
1,3.5,right-hand,0.0109,0.9891
1,3.5,right-hand,0.2514,0.7486
1,3.5,right-hand,0.0638,0.9362
1,3.5,right-hand,0.9399,0.0601
1,3.5,right-hand,0.0797,0.9203
1,3.5,left-hand,0.9222,0.0778
1,3.5,left-hand,0.8342,0.1658
1,3.5,left-hand,0.716,0.284
1,3.5,left-hand,0.9629,0.0371
1,3.5,left-hand,0.8423,0.1577
1,3.5,right-hand,0.3107,0.6893
1,3.5,left-hand,0.8954,0.1046
1,3.5,right-hand,0.0138,0.9862
1,3.5,right-hand,0.0053,0.9947
1,3.5,right-hand,0.1777,0.8223
1,3.5,right-hand,0.4323,0.5677
1,3.5,right-hand,0.0409,0.9591
1,3.5,left-hand,0.9287,0.0713
1,3.5,left-hand,0.9702,0.0298
1,3.5,left-hand,0.9903,0.0097
1,3.5,left-hand,0.994,0.006
1,3.5,left-hand,0.9183,0.0817
1,3.5,left-hand,0.8774,0.1226
2,3.5,right-hand,0.831,0.169
2,3.5,right-hand,0.0376,0.9624
2,3.5,right-hand,0.0874,0.9126
2,3.5,left-hand,0.7962,0.2038
2,3.5,left-hand,0.9988,0.0012
2,3.5,left-hand,0.9958,0.0042
2,3.5,right-hand,0.0091,0.9909
2,3.5,right-hand,0.2757,0.7243
2,3.5,left-hand,0.8021,0.1979
2,3.5,right-hand,0.0392,0.9608
2,3.5,left-hand,0.4806,0.5194
2,3.5,left-hand,0.8568,0.1432
2,3.5,left-hand,0.892,0.108
2,3.5,left-hand,0.0995,0.9005
2,3.5,left-hand,0.8223,0.1777
2,3.5,right-hand,0.3197,0.6803
2,3.5,right-hand,0.7781,0.2219
2,3.5,right-hand,0.0282,0.9718
2,3.5,right-hand,0.2419,0.7581
2,3.5,right-hand,0.2207,0.7793
2,3.5,right-hand,0.4349,0.5651
2,3.5,left-hand,0.9898,0.0102
2,3.5,left-hand,0.9991,0.0009
2,3.5,left-hand,0.9938,0.0062
3,3.5,right-hand,0.06,0.94
3,3.5,right-hand,0.5872,0.4128
3,3.5,left-hand,0.5597,0.4403
3,3.5,left-hand,0.589,0.411
3,3.5,left-hand,0.5312,0.4688
3,3.5,right-hand,0.8708,0.1292
3,3.5,right-hand,0.0157,0.9843
3,3.5,right-hand,0.2348,0.7652
3,3.5,right-hand,0.0378,0.9622
3,3.5,left-hand,0.7987,0.2013
3,3.5,left-hand,0.1346,0.8654
3,3.5,left-hand,0.1974,0.8026
3,3.5,right-hand,0.2902,0.7098
3,3.5,right-hand,0.0205,0.9795
3,3.5,right-hand,0.0179,0.9821
3,3.5,right-hand,0.8923,0.1077
3,3.5,left-hand,0.2798,0.7202
3,3.5,right-hand,0.0009,0.9991
3,3.5,right-hand,0.1261,0.8739
3,3.5,left-hand,0.8293,0.1707
3,3.5,left-hand,0.9886,0.0114
3,3.5,left-hand,0.9948,0.0052
3,3.5,left-hand,0.9929,0.0071
3,3.5,left-hand,0.9847,0.0153
4,3.5,right-hand,0.0048,0.9952
4,3.5,right-hand,0.0647,0.9353
4,3.5,right-hand,0.0062,0.9938
4,3.5,right-hand,0.4769,0.5231
4,3.5,left-hand,0.4144,0.5856
4,3.5,left-hand,0.9696,0.0304
4,3.5,left-hand,0.9954,0.0046
4,3.5,right-hand,0.1698,0.8302
4,3.5,left-hand,0.2134,0.7866
4,3.5,left-hand,0.7529,0.2471
4,3.5,left-hand,0.4765,0.5235
4,3.5,left-hand,0.4504,0.5496
4,3.5,right-hand,0.0165,0.9835
4,3.5,right-hand,0.0474,0.9526
4,3.5,left-hand,0.1131,0.8869
4,3.5,right-hand,0.0229,0.9771
4,3.5,right-hand,0.4751,0.5249
4,3.5,right-hand,0.0129,0.9871
4,3.5,right-hand,0.0023,0.9977
4,3.5,right-hand,0.0023,0.9977
4,3.5,left-hand,0.9828,0.0172
4,3.5,left-hand,0.9399,0.0601
4,3.5,left-hand,0.1129,0.8871
4,3.5,left-hand,0.9693,0.0307
5,3.5,right-hand,0.2395,0.7605
5,3.5,right-hand,0.249,0.751
5,3.5,right-hand,0.2202,0.7798
5,3.5,right-hand,0.089,0.911
5,3.5,right-hand,0.0408,0.9592
5,3.5,left-hand,0.9425,0.0575
5,3.5,left-hand,0.8478,0.1522
5,3.5,left-hand,0.9637,0.0363
5,3.5,left-hand,0.8614,0.1386
5,3.5,left-hand,0.9343,0.0657
5,3.5,left-hand,0.973,0.027
5,3.5,right-hand,0.0603,0.9397
5,3.5,right-hand,0.0509,0.9491
5,3.5,left-hand,0.7604,0.2396
5,3.5,right-hand,0.5366,0.4634
5,3.5,right-hand,0.0196,0.9804
5,3.5,left-hand,0.4433,0.5567
5,3.5,left-hand,0.526,0.474
5,3.5,left-hand,0.8316,0.1684
5,3.5,right-hand,0.0607,0.9393
5,3.5,right-hand,0.063,0.937
5,3.5,right-hand,0.2727,0.7273
5,3.5,left-hand,0.9421,0.0579
5,3.5,left-hand,0.9804,0.0196
