fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0,1.0
1,3.5,right-hand,0.0016,0.9984
1,3.5,right-hand,0.0046,0.9954
1,3.5,right-hand,0.3023,0.6977
1,3.5,right-hand,0.6855,0.3145
1,3.5,right-hand,0.0007,0.9993
1,3.5,left-hand,0.9974,0.0026
1,3.5,left-hand,0.9991,0.0009
1,3.5,left-hand,0.9117,0.0883
1,3.5,left-hand,0.9258,0.0742
1,3.5,left-hand,0.9998,0.0002
1,3.5,right-hand,0.0159,0.9841
1,3.5,left-hand,0.93,0.07
1,3.5,right-hand,0.0032,0.9968
1,3.5,right-hand,0.0,1.0
1,3.5,right-hand,0.0097,0.9903
1,3.5,right-hand,0.0238,0.9762
1,3.5,right-hand,0.0025,0.9975
1,3.5,left-hand,0.9947,0.0053
1,3.5,left-hand,0.8888,0.1112
1,3.5,left-hand,0.9964,0.0036
1,3.5,left-hand,0.992,0.008
1,3.5,left-hand,0.2524,0.7476
1,3.5,left-hand,0.2048,0.7952
2,3.5,right-hand,0.0462,0.9538
2,3.5,right-hand,0.0063,0.9937
2,3.5,right-hand,0.4417,0.5583
2,3.5,left-hand,0.9523,0.0477
2,3.5,left-hand,0.9938,0.0062
2,3.5,left-hand,0.9992,0.0008
2,3.5,right-hand,0.0019,0.9981
2,3.5,right-hand,0.1254,0.8746
2,3.5,left-hand,0.9958,0.0042
2,3.5,right-hand,0.1285,0.8715
2,3.5,left-hand,0.2293,0.7707
2,3.5,left-hand,0.9241,0.0759
2,3.5,left-hand,0.988,0.012
2,3.5,left-hand,0.0727,0.9273
2,3.5,left-hand,0.1465,0.8535
2,3.5,right-hand,0.3101,0.6899
2,3.5,right-hand,0.1332,0.8668
2,3.5,right-hand,0.5635,0.4365
2,3.5,right-hand,0.1982,0.8018
2,3.5,right-hand,0.3184,0.6816
2,3.5,right-hand,0.5941,0.4059
2,3.5,left-hand,0.9991,0.0009
2,3.5,left-hand,0.9776,0.0224
2,3.5,left-hand,0.5471,0.4529
3,3.5,right-hand,0.1226,0.8774
3,3.5,right-hand,0.9982,0.0018
3,3.5,left-hand,0.0818,0.9182
3,3.5,left-hand,0.2826,0.7174
3,3.5,left-hand,0.9705,0.0295
3,3.5,right-hand,0.8778,0.1222
3,3.5,right-hand,0.0035,0.9965
3,3.5,right-hand,0.0462,0.9538
3,3.5,right-hand,0.469,0.531
3,3.5,left-hand,0.9999,0.0001
3,3.5,left-hand,0.9978,0.0022
3,3.5,left-hand,0.9986,0.0014
3,3.5,right-hand,0.9987,0.0013
3,3.5,right-hand,0.0737,0.9263
3,3.5,right-hand,0.0061,0.9939
3,3.5,right-hand,0.8314,0.1686
3,3.5,left-hand,0.9248,0.0752
3,3.5,right-hand,0.0021,0.9979
3,3.5,right-hand,0.1289,0.8711
3,3.5,left-hand,0.0703,0.9297
3,3.5,left-hand,0.9896,0.0104
3,3.5,left-hand,0.8791,0.1209
3,3.5,left-hand,0.8904,0.1096
3,3.5,left-hand,0.9691,0.0309
4,3.5,right-hand,0.0015,0.9985
4,3.5,right-hand,0.6921,0.3079
4,3.5,right-hand,0.0069,0.9931
4,3.5,right-hand,0.7868,0.2132
4,3.5,left-hand,0.4663,0.5337
4,3.5,left-hand,0.9915,0.0085
4,3.5,left-hand,0.539,0.461
4,3.5,right-hand,0.0007,0.9993
4,3.5,left-hand,0.6817,0.3183
4,3.5,left-hand,0.0489,0.9511
4,3.5,left-hand,0.0419,0.9581
4,3.5,left-hand,0.9849,0.0151
4,3.5,right-hand,0.0132,0.9868
4,3.5,right-hand,0.2308,0.7692
4,3.5,left-hand,0.9351,0.0649
4,3.5,right-hand,0.2853,0.7147
4,3.5,right-hand,0.9998,0.0002
4,3.5,right-hand,0.1959,0.8041
4,3.5,right-hand,0.6899,0.3101
4,3.5,right-hand,0.411,0.589
4,3.5,left-hand,0.8483,0.1517
4,3.5,left-hand,0.9904,0.0096
4,3.5,left-hand,0.9997,0.0003
4,3.5,left-hand,0.996,0.004
5,3.5,right-hand,0.094,0.906
5,3.5,right-hand,0.4506,0.5494
5,3.5,right-hand,0.9073,0.0927
5,3.5,right-hand,0.0003,0.9997
5,3.5,right-hand,0.5214,0.4786
5,3.5,left-hand,0.9979,0.0021
5,3.5,left-hand,0.1813,0.8187
5,3.5,left-hand,0.9967,0.0033
5,3.5,left-hand,0.9981,0.0019
5,3.5,left-hand,0.9592,0.0408
5,3.5,left-hand,0.9953,0.0047
5,3.5,right-hand,0.0004,0.9996
5,3.5,right-hand,0.0001,0.9999
5,3.5,left-hand,0.9927,0.0073
5,3.5,right-hand,0.9747,0.0253
5,3.5,right-hand,0.2076,0.7924
5,3.5,left-hand,0.3854,0.6146
5,3.5,left-hand,0.9446,0.0554
5,3.5,left-hand,0.3584,0.6416
5,3.5,right-hand,0.0053,0.9947
5,3.5,right-hand,0.0287,0.9713
5,3.5,right-hand,0.9971,0.0029
5,3.5,left-hand,0.9947,0.0053
5,3.5,left-hand,0.7499,0.2501
