fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0016,0.9984
1,3.5,right-hand,0.0217,0.9783
1,3.5,right-hand,0.1546,0.8454
1,3.5,right-hand,0.0594,0.9406
1,3.5,right-hand,0.9135,0.0865
1,3.5,right-hand,0.0572,0.9428
1,3.5,left-hand,0.952,0.048
1,3.5,left-hand,0.8733,0.1267
1,3.5,left-hand,0.6069,0.3931
1,3.5,left-hand,0.9144,0.0856
1,3.5,left-hand,0.9451,0.0549
1,3.5,right-hand,0.292,0.708
1,3.5,left-hand,0.9719,0.0281
1,3.5,right-hand,0.0356,0.9644
1,3.5,right-hand,0.012,0.988
1,3.5,right-hand,0.0814,0.9186
1,3.5,right-hand,0.3443,0.6557
1,3.5,right-hand,0.1796,0.8204
1,3.5,left-hand,0.9469,0.0531
1,3.5,left-hand,0.9689,0.0311
1,3.5,left-hand,0.9738,0.0262
1,3.5,left-hand,0.9908,0.0092
1,3.5,left-hand,0.9368,0.0632
1,3.5,left-hand,0.9625,0.0375
2,3.5,right-hand,0.7315,0.2685
2,3.5,right-hand,0.0563,0.9437
2,3.5,right-hand,0.1934,0.8066
2,3.5,left-hand,0.8054,0.1946
2,3.5,left-hand,0.9829,0.0171
2,3.5,left-hand,0.988,0.012
2,3.5,right-hand,0.0068,0.9932
2,3.5,right-hand,0.3669,0.6331
2,3.5,left-hand,0.562,0.438
2,3.5,right-hand,0.0709,0.9291
2,3.5,left-hand,0.4881,0.5119
2,3.5,left-hand,0.9,0.1
2,3.5,left-hand,0.6976,0.3024
2,3.5,left-hand,0.3108,0.6892
2,3.5,left-hand,0.4936,0.5064
2,3.5,right-hand,0.6814,0.3186
2,3.5,right-hand,0.7823,0.2177
2,3.5,right-hand,0.0637,0.9363
2,3.5,right-hand,0.4937,0.5063
2,3.5,right-hand,0.3469,0.6531
2,3.5,right-hand,0.3154,0.6846
2,3.5,left-hand,0.9926,0.0074
2,3.5,left-hand,0.9937,0.0063
2,3.5,left-hand,0.9671,0.0329
3,3.5,right-hand,0.2378,0.7622
3,3.5,right-hand,0.572,0.428
3,3.5,left-hand,0.8192,0.1808
3,3.5,left-hand,0.5452,0.4548
3,3.5,left-hand,0.544,0.456
3,3.5,right-hand,0.9733,0.0267
3,3.5,right-hand,0.0225,0.9775
3,3.5,right-hand,0.4127,0.5873
3,3.5,right-hand,0.021,0.979
3,3.5,left-hand,0.5999,0.4001
3,3.5,left-hand,0.2043,0.7957
3,3.5,left-hand,0.2256,0.7744
3,3.5,right-hand,0.0775,0.9225
3,3.5,right-hand,0.0652,0.9348
3,3.5,right-hand,0.022,0.978
3,3.5,right-hand,0.8795,0.1205
3,3.5,left-hand,0.7564,0.2436
3,3.5,right-hand,0.0004,0.9996
3,3.5,right-hand,0.2662,0.7338
3,3.5,left-hand,0.9016,0.0984
3,3.5,left-hand,0.9905,0.0095
3,3.5,left-hand,0.9913,0.0087
3,3.5,left-hand,0.9965,0.0035
3,3.5,left-hand,0.9811,0.0189
4,3.5,right-hand,0.0052,0.9948
4,3.5,right-hand,0.0683,0.9317
4,3.5,right-hand,0.0086,0.9914
4,3.5,right-hand,0.733,0.267
4,3.5,left-hand,0.3864,0.6136
4,3.5,left-hand,0.9782,0.0218
4,3.5,left-hand,0.9914,0.0086
4,3.5,right-hand,0.087,0.913
4,3.5,left-hand,0.2799,0.7201
4,3.5,left-hand,0.3556,0.6444
4,3.5,left-hand,0.239,0.761
4,3.5,left-hand,0.3284,0.6716
4,3.5,right-hand,0.0083,0.9917
4,3.5,right-hand,0.1168,0.8832
4,3.5,left-hand,0.1819,0.8181
4,3.5,right-hand,0.0429,0.9571
4,3.5,right-hand,0.7904,0.2096
4,3.5,right-hand,0.0294,0.9706
4,3.5,right-hand,0.0043,0.9957
4,3.5,right-hand,0.0077,0.9923
4,3.5,left-hand,0.9816,0.0184
4,3.5,left-hand,0.9015,0.0985
4,3.5,left-hand,0.1151,0.8849
4,3.5,left-hand,0.9541,0.0459
5,3.5,right-hand,0.4769,0.5231
5,3.5,right-hand,0.4616,0.5384
5,3.5,right-hand,0.263,0.737
5,3.5,right-hand,0.137,0.863
5,3.5,right-hand,0.0514,0.9486
5,3.5,left-hand,0.9215,0.0785
5,3.5,left-hand,0.9157,0.0843
5,3.5,left-hand,0.9599,0.0401
5,3.5,left-hand,0.8117,0.1883
5,3.5,left-hand,0.9832,0.0168
5,3.5,left-hand,0.9858,0.0142
5,3.5,right-hand,0.0615,0.9385
5,3.5,right-hand,0.0744,0.9256
5,3.5,left-hand,0.7425,0.2575
5,3.5,right-hand,0.4099,0.5901
5,3.5,right-hand,0.0055,0.9945
5,3.5,left-hand,0.4444,0.5556
5,3.5,left-hand,0.5874,0.4126
5,3.5,left-hand,0.9683,0.0317
5,3.5,right-hand,0.0615,0.9385
5,3.5,right-hand,0.051,0.949
5,3.5,right-hand,0.1445,0.8555
5,3.5,left-hand,0.9813,0.0187
5,3.5,left-hand,0.9636,0.0364
