fold,tmin,true_label,left-hand,right-hand
1,3.5,right-hand,0.0004,0.9996
1,3.5,right-hand,0.007,0.993
1,3.5,right-hand,0.0282,0.9718
1,3.5,right-hand,0.0502,0.9498
1,3.5,right-hand,0.9608,0.0392
1,3.5,right-hand,0.2034,0.7966
1,3.5,left-hand,0.9729,0.0271
1,3.5,left-hand,0.7758,0.2242
1,3.5,left-hand,0.892,0.108
1,3.5,left-hand,0.9898,0.0102
1,3.5,left-hand,0.9622,0.0378
1,3.5,right-hand,0.1877,0.8123
1,3.5,left-hand,0.6377,0.3623
1,3.5,right-hand,0.2004,0.7996
1,3.5,right-hand,0.002,0.998
1,3.5,right-hand,0.0561,0.9439
1,3.5,right-hand,0.1798,0.8202
1,3.5,right-hand,0.0433,0.9567
1,3.5,left-hand,0.9627,0.0373
1,3.5,left-hand,0.9566,0.0434
1,3.5,left-hand,0.983,0.017
1,3.5,left-hand,0.9868,0.0132
1,3.5,left-hand,0.9107,0.0893
1,3.5,left-hand,0.9533,0.0467
2,3.5,right-hand,0.8502,0.1498
2,3.5,right-hand,0.1122,0.8878
2,3.5,right-hand,0.1678,0.8322
2,3.5,left-hand,0.6923,0.3077
2,3.5,left-hand,0.9961,0.0039
2,3.5,left-hand,0.9897,0.0103
2,3.5,right-hand,0.004,0.996
2,3.5,right-hand,0.3461,0.6539
2,3.5,left-hand,0.721,0.279
2,3.5,right-hand,0.2272,0.7728
2,3.5,left-hand,0.9076,0.0924
2,3.5,left-hand,0.973,0.027
2,3.5,left-hand,0.9563,0.0437
2,3.5,left-hand,0.6205,0.3795
2,3.5,left-hand,0.5849,0.4151
2,3.5,right-hand,0.2648,0.7352
2,3.5,right-hand,0.6892,0.3108
2,3.5,right-hand,0.0963,0.9037
2,3.5,right-hand,0.2388,0.7612
2,3.5,right-hand,0.2654,0.7346
2,3.5,right-hand,0.5511,0.4489
2,3.5,left-hand,0.9792,0.0208
2,3.5,left-hand,0.9965,0.0035
2,3.5,left-hand,0.983,0.017
3,3.5,right-hand,0.7742,0.2258
3,3.5,right-hand,0.5846,0.4154
3,3.5,left-hand,0.7378,0.2622
3,3.5,left-hand,0.8123,0.1877
3,3.5,left-hand,0.8112,0.1888
3,3.5,right-hand,0.9984,0.0016
3,3.5,right-hand,0.0166,0.9834
3,3.5,right-hand,0.2247,0.7753
3,3.5,right-hand,0.0065,0.9935
3,3.5,left-hand,0.5187,0.4813
3,3.5,left-hand,0.5663,0.4337
3,3.5,left-hand,0.4811,0.5189
3,3.5,right-hand,0.6523,0.3477
3,3.5,right-hand,0.0481,0.9519
3,3.5,right-hand,0.085,0.915
3,3.5,right-hand,0.7739,0.2261
3,3.5,left-hand,0.6872,0.3128
3,3.5,right-hand,0.0007,0.9993
3,3.5,right-hand,0.5921,0.4079
3,3.5,left-hand,0.5453,0.4547
3,3.5,left-hand,0.9738,0.0262
3,3.5,left-hand,0.9948,0.0052
3,3.5,left-hand,0.9931,0.0069
3,3.5,left-hand,0.9942,0.0058
4,3.5,right-hand,0.0027,0.9973
4,3.5,right-hand,0.0258,0.9742
4,3.5,right-hand,0.0029,0.9971
4,3.5,right-hand,0.5662,0.4338
4,3.5,left-hand,0.052,0.948
4,3.5,left-hand,0.9611,0.0389
4,3.5,left-hand,0.9272,0.0728
4,3.5,right-hand,0.1981,0.8019
4,3.5,left-hand,0.2037,0.7963
4,3.5,left-hand,0.8241,0.1759
4,3.5,left-hand,0.7501,0.2499
4,3.5,left-hand,0.2532,0.7468
4,3.5,right-hand,0.0027,0.9973
4,3.5,right-hand,0.047,0.953
4,3.5,left-hand,0.0667,0.9333
4,3.5,right-hand,0.0063,0.9937
4,3.5,right-hand,0.61,0.39
4,3.5,right-hand,0.0077,0.9923
4,3.5,right-hand,0.001,0.999
4,3.5,right-hand,0.0008,0.9992
4,3.5,left-hand,0.9908,0.0092
4,3.5,left-hand,0.9734,0.0266
4,3.5,left-hand,0.1375,0.8625
4,3.5,left-hand,0.9634,0.0366
5,3.5,right-hand,0.1467,0.8533
5,3.5,right-hand,0.2205,0.7795
5,3.5,right-hand,0.357,0.643
5,3.5,right-hand,0.0435,0.9565
5,3.5,right-hand,0.032,0.968
5,3.5,left-hand,0.9765,0.0235
5,3.5,left-hand,0.7831,0.2169
5,3.5,left-hand,0.9588,0.0412
5,3.5,left-hand,0.9514,0.0486
5,3.5,left-hand,0.943,0.057
5,3.5,left-hand,0.8431,0.1569
5,3.5,right-hand,0.1306,0.8694
5,3.5,right-hand,0.0189,0.9811
5,3.5,left-hand,0.6852,0.3148
5,3.5,right-hand,0.2594,0.7406
5,3.5,right-hand,0.0064,0.9936
5,3.5,left-hand,0.5521,0.4479
5,3.5,left-hand,0.7864,0.2136
5,3.5,left-hand,0.9036,0.0964
5,3.5,right-hand,0.0679,0.9321
5,3.5,right-hand,0.1259,0.8741
5,3.5,right-hand,0.6278,0.3722
5,3.5,left-hand,0.9465,0.0535
5,3.5,left-hand,0.985,0.015
