subject,fbcsp,eegnet,safka_csp,multikernel_safka_csp,csp
0,0.6583333333333333,0.7916666666666666,0.75,0.7666666666666667,0.6166666666666667
1,0.7916666666666666,0.675,0.9083333333333333,0.9666666666666667,0.6583333333333333
2,0.675,0.6416666666666667,0.5833333333333334,0.7666666666666667,0.5
3,0.6916666666666667,0.6,0.7166666666666667,0.75,0.6916666666666667
4,0.5833333333333334,0.6,0.6666666666666666,0.725,0.5916666666666667
5,0.7333333333333333,0.525,0.8,0.725,0.5583333333333333
6,0.6916666666666667,0.7,0.7416666666666667,0.8583333333333333,0.7
7,0.7083333333333334,0.775,0.6166666666666667,0.6666666666666666,0.6666666666666666
8,0.7416666666666667,0.575,0.7583333333333333,0.7583333333333333,0.5583333333333333
9,0.8083333333333333,0.8833333333333333,0.8583333333333333,0.8666666666666667,0.7333333333333333
