subject,best_kernels
1,"[[ 0.23409311 -0.74711955  0.91220838  0.68905574 -0.21742896 -0.65448191
   0.0189112  -0.34257093 -0.00866231 -1.          0.73886331  0.38950531
   0.03387673  0.93863767  0.36490516 -0.50375354  0.10928676 -0.85114228
   0.6227832  -0.06041687 -0.4747664  -0.37781094  0.93560653 -0.1304946
  -0.32118479 -0.143833    0.47054881  0.51963264  0.59917751  0.18576902
   0.2195873  -0.15633116 -0.2076823  -0.94043694  0.78078435  0.12243794
  -0.08360108 -0.44031431 -0.93092369  0.10766522  0.04403725  0.04469501
  -1.          0.90250227  0.02244571  0.05460726  0.66333679  0.067617
   0.13729266  0.07772211  0.58196084  0.49914338 -0.34410359 -0.21101939
  -0.0600816  -0.16051472 -0.05068926  0.55697899 -0.55355867  0.33880527
  -0.96466892 -0.18081626  0.36206004  1.          0.15866059]]"
2,"[[ 0.15133161 -0.40253421  0.39914192  0.23988604 -1.         -0.84636954
   0.10661524 -0.36722095 -0.00768646 -0.70108168  0.7992304   0.80865598
   0.06246475  0.3766421   0.4126036  -0.52847541  0.47054994 -0.45611726
   0.5799658  -0.02123056 -0.07143214 -0.46756364  0.61258085 -0.13957507
  -0.28578895 -0.06465962  0.6276774   0.2784311   0.21199758  0.08551168
   1.         -0.65828248 -0.4428139  -1.          0.15729984  0.92340334
  -0.12315782 -0.77215007 -1.          0.05814106  0.295376    0.89677482
  -0.57966333  0.02565002  0.04394788  0.19621788  0.20896051  0.2108398
   0.85902808  0.03755007  0.10270579  0.84180504 -0.03092774 -0.1825725
  -0.0990169  -0.90433568 -0.36258592  0.23213718 -0.68485242  0.4029729
  -0.14559358 -0.06469179  0.03762863  0.26195039  1.        ]]"
3,"[[ 2.31385701e-03 -2.96806788e-01  5.48118155e-02  9.61095700e-01
  -2.55261387e-01 -1.92501227e-03  2.12161964e-03 -7.77808229e-02
   5.06359058e-04 -2.80263408e-02  3.50530086e-02  4.21720021e-02
   9.96577104e-03  8.10048463e-02  5.93364655e-01 -2.92497783e-01
   7.22995345e-03 -2.22947913e-01  3.69626576e-01 -2.95695432e-03
  -6.55329608e-03 -4.62737404e-03  4.13108821e-02 -1.17932664e-02
  -3.98833340e-02 -1.00746869e-02  3.90754711e-01  2.04322790e-01
   7.49130377e-01  1.46993239e-02  4.35502843e-02 -1.94702252e-02
  -2.22998155e-03 -2.27309890e-02  6.90294307e-04  2.82297252e-02
  -5.34524525e-04 -1.18375455e-01 -5.78453378e-02  1.12493463e-01
   1.28310291e-03  5.60946058e-03 -2.26210267e-01  6.15603381e-03
   4.53168097e-04  1.81621415e-03  6.24653331e-02  3.55961088e-02
   1.23607442e-01  6.90694561e-03  5.64511850e-02  4.29180532e-02
  -1.34574301e-01 -4.06688873e-03 -1.81291644e-02 -6.85168964e-02
  -1.30799803e-02  1.56554406e-03 -1.32468571e-01  2.79337294e-02
  -6.05570682e-01 -1.00000000e+00  5.59294367e-01  1.92858493e-01
   1.12804187e-02]]"
4,"[[ 0.34208722 -1.          0.8738549   0.95573346 -1.         -1.
   0.10656225 -0.32828646 -0.00860481 -0.40302579  1.          0.65351978
   0.03894008  1.          0.39791268 -0.98109977  0.29860016 -1.
   1.         -0.06010911 -0.17671772 -1.          0.66640483 -0.15640739
  -0.42384734 -0.20937195  0.5865658   0.42513471  0.39200767  0.23440215
   0.57426526 -0.62977565 -0.38614707 -1.          0.65493443  0.75818855
  -0.06924513 -0.92331815 -0.83623325  0.58742711  0.70490141  0.52601786
  -0.86952869  0.21226164  0.05727479  0.25416203  1.          0.21028728
   0.53012508  0.0727822   0.3413656   0.76894257 -1.         -0.17823699
  -0.48830762 -0.59638709 -0.26697787  0.75608699 -0.92720767  1.
  -0.60982593 -0.25920495  0.11696417  0.73041241  0.51089645]]"
5,"[[ 0.06607782 -0.08383174  0.33736073  0.11572381 -0.05359178 -0.0712722
   0.02816505 -0.12207894 -0.00566794 -0.98530458  0.07151922  0.10897772
   0.00905796  0.48213924  0.19432001 -0.36955976  0.6142056  -0.12276068
   0.24814889 -0.0945501  -0.42953462 -0.02567948  0.12495467 -0.03793248
  -0.10621157 -0.07318472  1.          0.61393886  0.51946785  0.02979748
   0.33766376 -0.01473932 -0.33146798 -0.35756005  0.99411403  0.02350922
  -0.05027963 -0.02535084 -0.18171908  0.04182525  0.00963589  0.0515125
  -0.79070656  0.06723052  0.00532993  0.09857141  0.08627889  0.1187945
   0.21800805  0.01072596  0.04427871  0.29140845 -0.02975192 -0.03304597
  -0.0759094  -0.12719838 -0.10680558  0.12533824 -0.24431787  0.0382343
  -0.22511468 -0.09942707  0.03256472  0.05361318  0.09261531]]"
6,"[[ 0.93100125 -0.5901003   0.3121066   0.37375185 -0.11588223 -0.54982279
   0.08929239 -0.41454584 -0.00788313 -0.59438592  0.28508333  0.51122158
   0.00345368  0.3174442   0.26850143 -0.15315195  0.52811331 -0.68463764
   0.52946069 -0.02548786 -0.01141054 -0.28816599  0.17853677 -0.03300562
  -0.06009568 -0.07159884  0.13112492  0.57997502  0.99248259  0.00897668
   0.41609241 -0.42911321 -0.39368207 -0.23534796  0.35798877  0.01662956
  -0.10201472 -0.91469977 -0.69902423  0.1386195   0.11398025  0.3463782
  -0.08498239  0.0583881   0.01436821  0.05652212  0.19533586  0.05877687
   0.45011098  0.07932859  0.05940237  0.3762706  -0.05128959 -0.12765227
  -0.6944314  -0.55973251 -0.77741558  0.18449973 -0.44643917  0.19303173
  -1.         -0.19689651  0.09459021  0.06387514  1.        ]]"
7,"[[ 0.28594482 -0.64108193  0.41794446  0.34612361 -0.71430496 -0.94496447
   0.09850851 -0.20619885 -0.01115217 -0.91278556  0.65545975  0.66373252
   0.03614878  0.24398998  0.33540871 -0.8033935   0.42163164 -1.
   0.52114275 -0.02346715 -0.08029967 -0.44099342  0.54199382 -0.09831091
  -0.22947147 -0.08503465  1.          0.18036586  0.33584263  0.18354558
   0.85341585 -0.28229866 -0.60099239 -0.32478769  0.27071507  0.5841651
  -0.07760386 -0.72959307 -0.91381155  0.19163614  0.61470101  0.39782641
  -0.87595863  0.11048936  0.01961688  0.30049685  0.54949067  0.27811195
   1.          0.04598478  0.21367467  1.         -0.11603012 -0.21384837
  -0.31278688 -1.         -0.3891545   0.34256782 -0.34066216  0.75499737
  -0.62463426 -0.16710562  0.129198    0.27794859  0.62685908]]"
8,"[[ 0.04756348 -0.23842916  0.35251387  0.33376795 -0.51839935 -0.59779627
   0.03442726 -0.27440008 -0.01744774 -0.23194406  0.62028628  0.8322878
   0.03592082  0.68065197  0.2920907  -0.28147239  0.03420623 -0.26917682
   0.67972067 -0.05547561 -0.92666273 -0.72518035  0.89307752 -0.05928992
  -1.         -0.13252612  0.91563938  0.790144    0.6103997   0.43132934
   0.45117072 -0.15720832 -0.25290767 -0.79291885  0.52013749  0.74302267
  -0.02067721 -0.92509517 -1.          0.89614224  0.03706987  0.0394679
  -0.42452247  0.17159944  0.02276244  0.0703286   0.46617464  0.10226455
   0.09499225  0.07279717  0.62678731  0.4530524  -0.18666553 -0.05187928
  -0.17681979 -0.09755579 -0.51160692  0.849137   -1.          0.16736984
  -0.81041986 -0.03367176  0.30928725  1.          0.14346461]]"
9,"[[ 5.92196686e-01 -3.41410635e-01  4.55950926e-01  2.85912518e-01
  -1.04875694e-02 -2.57354133e-01  1.69478222e-02 -2.75325048e-01
  -7.86338436e-04 -1.27237905e-01  4.35904604e-02  2.64863505e-01
   2.87306490e-02  5.32227088e-02  1.97279106e-01 -1.38300040e-01
   8.03288876e-02 -4.47340235e-01  3.92505452e-02 -1.08584208e-02
  -8.74672345e-02 -8.74031180e-02  4.85384769e-01 -1.37120572e-02
  -1.75986690e-01 -1.03246439e-01  3.23143589e-01  2.73922312e-01
   5.33375008e-01  3.38827245e-01  7.40177266e-02 -8.40886676e-02
  -3.95634046e-01 -1.00000000e+00  6.42638963e-01  2.57198506e-02
  -1.55595133e-01 -4.40304594e-02 -3.66554566e-01  2.49264648e-02
   8.27855656e-02  1.09145881e-01 -4.89471405e-01  1.81633466e-02
   1.21881527e-02  6.44998742e-02  3.08076857e-01  1.79651872e-01
   6.67117130e-02  5.12496512e-02  1.60914224e-01  1.84639025e-01
  -3.88103491e-02 -4.66634675e-02 -7.17017932e-01 -8.38307416e-01
  -6.23955418e-01  1.21768516e-01 -3.66106027e-01  6.15289851e-02
  -9.83992731e-01 -1.28624656e-01  2.61753178e-02  1.89210464e-02
   2.60875764e-02]]"
10,"[[ 0.06106655 -0.38596253  0.3508214   0.23930736 -1.         -0.3677947
   0.0674462  -0.07698292 -0.031786   -0.13346867  0.32536038  0.10868739
   0.05074141  0.86489838  0.25498484 -0.30077032  0.09501206 -0.22040874
   0.36740146 -0.31501737 -0.18011505 -0.2345406   0.96568681 -0.20340331
  -0.31014203 -0.09337718  0.69613046  1.          0.41159337  0.09949475
   0.38663139 -0.2204082  -1.         -0.37806488  0.16720047  0.42313504
  -0.05247335 -0.50506258 -0.27392299  0.04405936  0.03969219  0.54603337
  -0.23799569  0.13511604  0.00570076  0.18177067  1.          0.01951372
   0.32139057  0.06029384  0.25180154  0.42036572 -0.31105619 -0.03931112
  -0.52576543 -0.06664801 -0.14989853  0.48019676 -0.91401461  0.20469231
  -0.34424361 -0.02059982  0.05132538  0.35542861  0.19751651]]"
