,fbcsp,eegnet,safka_csp,multikernel_safka_csp,csp
0,0.9205,0.8698,0.9344,0.6887,0.421
1,0.5703,0.4916,0.9953,0.9991,0.7882
2,0.9992,0.8717,0.6307,0.5018,0.2441
3,0.9749,0.8382,0.8057,0.549,0.9433
4,0.9421,0.3025,0.6855,0.9921,0.4944
5,0.9839,0.9612,0.9076,0.9894,0.9342
6,0.8982,0.863,0.9842,0.9949,0.1604
7,0.9945,0.0477,0.7341,0.9671,0.9451
8,0.7478,0.7102,0.8259,0.8177,0.7313
9,0.2304,0.9962,0.7472,0.945,0.2235
10,0.6556,0.983,0.467,0.8793,0.9732
11,0.9999,0.8692,0.9168,0.9364,0.7735
12,0.2776,0.2049,0.6903,0.7762,0.6958
13,0.9695,0.7327,0.9265,0.9366,0.6711
14,0.9923,0.7759,0.9902,0.9866,0.4261
15,0.9936,0.5206,0.7374,0.856,0.5539
16,0.9583,0.9492,0.9751,0.9474,0.9628
17,0.9952,0.9303,0.9827,0.9952,0.1198
18,0.9979,0.98,0.9977,0.999,0.6852
19,0.9941,0.9273,0.7384,0.9981,0.9259
20,0.7525,0.5693,0.9001,0.7305,0.7737
21,0.7044,0.0886,0.9652,0.6942,0.6841
22,0.0494,0.8653,0.0625,0.577,0.6761
23,0.966,0.9034,0.9229,0.9894,0.3787
24,0.9982,0.3818,0.9677,0.9742,0.3377
25,0.3472,0.9232,0.4187,0.8772,0.2052
26,0.9637,0.4675,0.7851,0.1465,0.6902
27,0.0256,0.6373,0.903,0.9891,0.0661
28,0.8948,0.3991,0.9127,0.7841,0.9733
29,0.9989,0.921,0.9404,0.9959,0.8374
30,0.9788,0.9933,0.4378,0.878,0.8212
31,0.797,0.9809,0.4656,0.1306,0.7895
32,0.8326,0.9928,0.9813,0.9953,0.93
33,0.2035,0.8635,0.9495,0.999,0.7451
34,0.9222,0.0653,0.999,0.9983,0.1448
35,0.9994,0.9558,0.9998,0.9999,0.7136
36,0.9617,0.9618,0.9883,0.9916,0.8808
37,0.9796,0.902,0.9958,0.9979,0.6747
38,0.0924,0.9938,0.307,0.2064,0.8059
39,0.5106,0.3773,0.7692,0.9666,0.5089
40,0.9628,0.0572,0.9934,0.9956,0.2563
41,0.8258,0.3144,0.9415,0.8092,0.8715
42,0.9993,0.9664,0.8842,0.935,0.7929
43,0.999,0.7086,0.9996,0.9997,0.8473
44,0.4737,0.9189,0.3924,0.9297,0.5219
45,0.0068,0.0754,0.6023,0.3967,0.3063
46,0.7987,0.4037,0.9931,0.997,0.8169
47,0.5461,0.5458,0.7641,0.8918,0.7464
48,0.9978,0.9547,0.9977,0.9995,0.486
49,0.9839,0.2807,0.8972,0.9988,0.8222
50,0.4282,0.2687,0.3793,0.421,0.9433
51,0.4441,0.8312,0.9322,0.9744,0.9663
52,0.5402,0.7286,0.3633,0.1066,0.8776
53,0.9348,0.8989,0.5515,0.1444,0.8626
54,0.5298,0.7247,0.8756,0.966,0.9184
55,0.4208,0.8142,0.8614,0.9908,0.4357
56,0.1106,0.8472,0.2051,0.0242,0.4333
57,0.0728,0.9431,0.3335,0.3313,0.8286
58,0.9976,0.9188,0.9995,0.9997,0.6103
59,0.9374,0.3223,0.9626,0.9744,0.2373
60,0.9771,0.8994,0.8095,0.6885,0.479
61,0.9854,0.8916,0.5185,0.6912,0.2889
62,0.9868,0.8173,0.2571,0.2229,0.3662
63,0.0266,0.7042,0.5744,0.8505,0.4015
64,0.0594,0.7305,0.267,0.0842,0.5285
65,1.0,0.9588,0.9967,0.9986,0.5204
66,0.9997,0.1458,0.8084,0.9948,0.6879
67,0.9459,0.8237,0.8525,0.9708,0.6778
68,0.9949,0.2921,0.9673,0.9944,0.0425
69,0.988,0.9484,0.9473,0.9561,0.37
70,0.9974,0.8784,0.9429,0.9872,0.7414
71,0.1848,0.9711,0.9691,0.9729,0.4947
72,0.082,0.8382,0.9638,0.9967,0.5777
73,0.9765,0.9836,0.8196,0.7685,0.7885
74,0.9977,0.2804,0.9922,0.9319,0.4478
75,0.9997,0.9813,0.8728,0.836,0.693
76,0.9943,0.9079,0.9735,0.9992,0.6068
77,0.9591,0.9601,0.9998,0.9987,0.5215
78,0.8735,0.865,0.7535,0.9089,0.5759
79,0.8163,0.898,0.9939,0.9994,0.3974
80,0.0219,0.3955,0.244,0.8865,0.8952
81,0.9998,0.9281,0.8973,0.9648,0.7058
82,0.6152,0.954,0.869,0.9172,0.4219
83,0.8813,0.9063,0.7629,0.9812,0.3597
84,0.9904,0.4473,0.9812,0.9968,0.7359
85,0.987,0.944,0.233,0.1562,0.9379
86,0.9991,0.9973,0.9813,0.9968,0.2732
87,0.2486,0.853,0.9936,0.9127,0.8573
88,0.8494,0.6762,0.9352,0.9888,0.8237
89,0.0001,0.8655,0.9922,0.9439,0.6406
90,0.9998,0.7741,0.9976,0.9968,0.6099
91,0.9971,0.4283,0.9967,0.9996,0.6376
92,0.9832,0.8567,0.9952,0.9735,0.399
93,0.9046,0.7899,0.9956,0.9857,0.7517
94,0.7486,0.9504,0.9755,0.9189,0.4569
95,0.9728,0.6663,0.9939,0.9991,0.7484
96,1.0,0.2744,0.9999,0.9989,0.5193
97,0.9861,0.9446,0.6598,0.9893,0.4484
98,0.9953,0.6046,0.9502,0.9991,0.8199
99,0.8795,0.8867,0.8526,0.8714,0.4741
100,0.805,0.1943,0.9983,0.995,0.5149
101,0.9328,0.7892,0.9602,0.9831,0.5753
102,0.6992,0.7345,0.4183,0.9836,0.2361
103,0.7926,0.1994,0.5325,0.2296,0.6703
104,1.0,0.9633,0.94,0.6487,0.1254
105,0.9881,0.9419,0.7914,0.9041,0.6263
106,0.8809,0.4347,0.9675,0.9973,0.419
107,0.8087,0.0963,0.9078,0.985,0.6499
108,0.9996,0.8999,0.9992,0.999,0.403
109,0.5074,0.9584,0.957,0.9253,0.4905
110,0.999,0.4221,0.9534,0.9202,0.5645
111,0.8223,0.7975,0.7589,0.2969,0.417
