,fbcsp,eegnet,safka_csp,multikernel_safka_csp,csp
0,0.1713,0.0891,0.0086,0.425,0.0466
1,0.1166,0.8113,0.0256,0.6651,0.8757
2,0.0124,0.3505,0.341,0.9966,0.8483
3,0.0036,0.105,0.3014,0.2909,0.6973
4,0.5638,0.3075,0.4241,0.0727,0.3309
5,0.0478,0.2327,0.4739,0.1589,0.9317
6,0.94,0.9729,0.7146,0.9893,0.4393
7,0.9732,0.9801,0.8498,0.8207,0.7414
8,0.9377,0.8633,0.4306,0.3201,0.845
9,0.0207,0.9966,0.4437,0.9842,0.8279
10,0.9154,0.8423,0.5583,0.9977,0.5032
11,0.9985,0.9987,0.9948,0.9973,0.9045
12,0.9995,1.0,0.9936,0.9995,0.9766
13,0.9997,0.9985,0.9737,1.0,0.9238
14,0.9229,0.9954,0.9241,0.992,0.2959
15,0.2849,0.9891,0.9692,0.7958,0.6851
16,0.9929,0.9725,0.9147,0.9549,0.563
17,0.9783,0.9532,0.9223,0.8319,0.8268
18,0.1658,0.4267,0.4688,0.1213,0.3187
19,0.8035,0.5985,0.493,0.0476,0.8838
20,0.8867,0.9733,0.746,0.8551,0.8942
21,0.4069,0.2443,0.6867,0.9998,0.1286
22,0.8457,0.9586,0.9766,0.9406,0.3053
23,0.9701,0.8983,0.7506,0.9024,0.404
24,0.2163,0.7994,0.2252,0.9872,0.2148
25,0.7611,0.9686,0.5403,0.0458,0.9757
26,0.0846,0.764,0.4514,0.97,0.5049
27,0.8367,0.3326,0.5157,0.005,0.4441
28,0.6551,0.9512,0.6952,0.6901,0.3052
29,0.9939,0.988,0.5337,0.9817,0.9545
30,0.8709,0.9911,0.9061,0.9216,0.5591
31,0.1274,0.082,0.9523,0.9477,0.2613
32,0.7362,0.9919,0.8604,0.4089,0.5123
33,0.9903,0.9663,0.7793,0.8154,0.2466
34,0.2091,0.782,0.855,0.854,0.2462
35,0.2313,0.9385,0.8668,0.9966,0.2128
36,0.9837,0.2017,0.6568,0.0385,0.3428
37,0.9996,0.9989,0.9913,0.9937,0.9484
38,0.7662,0.9773,0.9626,1.0,0.5067
39,0.9417,0.9871,0.9194,0.9743,0.8267
40,0.8011,0.9569,0.5244,0.5365,0.9089
41,0.9755,0.9146,0.5806,0.9152,0.1857
42,0.9247,0.3418,0.665,0.9297,0.1398
43,0.2124,0.3347,0.9523,0.9867,0.1537
44,0.9666,0.2349,0.8216,0.7416,0.768
45,0.3485,0.9354,0.8349,0.9758,0.6615
46,0.0769,0.7131,0.7849,0.922,0.0655
47,0.9965,0.9973,0.8701,0.8456,0.7057
48,0.8095,0.9776,0.5967,0.7849,0.6909
49,0.847,0.5157,0.33,0.7862,0.5874
50,0.3767,0.981,0.3308,0.3073,0.4387
51,0.2015,0.8301,0.3683,0.6021,0.3841
52,0.5027,0.8547,0.394,0.2294,0.2009
53,0.9989,0.9913,0.9756,0.9803,0.6804
54,0.9924,0.9927,0.9745,0.9918,0.614
55,0.9355,0.9984,0.9741,0.9884,0.9505
56,0.8319,0.4561,0.8558,0.8962,0.2199
57,0.8822,0.6245,0.6158,0.7396,0.1302
58,0.8359,0.7554,0.915,0.2142,0.6225
59,0.9698,0.999,0.9144,0.9975,0.9649
60,0.9959,0.9845,0.9628,0.9983,0.9705
61,0.9087,0.7214,0.963,0.9971,0.5206
62,0.1256,0.7751,0.9411,0.9995,0.4463
63,0.4547,0.9607,0.9515,0.9961,0.6416
64,0.9917,0.977,0.9319,0.9974,0.7861
65,0.8666,0.9805,0.942,0.9981,0.6541
66,0.9977,0.6769,0.9449,0.9856,0.7492
67,0.9164,0.7406,0.8553,0.9076,0.3266
68,0.9408,0.6753,0.7251,0.8764,0.5219
69,0.3578,0.9104,0.5557,0.7707,0.2341
70,0.8763,0.6151,0.6945,0.9261,0.1377
71,0.8719,0.9749,0.7005,0.3529,0.4727
72,0.0624,0.5354,0.2417,0.3272,0.6847
73,0.2786,0.6394,0.2451,0.3617,0.652
74,0.0269,0.9352,0.4385,0.974,0.8873
75,0.1281,0.8899,0.48,0.8924,0.1092
76,0.0243,0.5651,0.38,0.8371,0.8191
77,0.8223,0.6114,0.2411,0.0336,0.165
78,0.9399,0.6825,0.4591,0.7057,0.6921
79,0.9961,0.33,0.9895,0.9986,0.2602
80,0.9979,0.5996,0.9861,0.9833,0.7454
81,0.8514,0.0504,0.9716,0.989,0.4786
82,0.9896,0.1425,0.9755,0.9985,0.6167
83,0.9508,0.8628,0.8378,0.9377,0.7217
84,0.0431,0.7874,0.2381,0.0413,0.2125
85,0.9985,0.3647,0.969,0.9975,0.5489
86,0.8948,0.3331,0.96,0.9981,0.4668
87,0.939,0.9757,0.9294,0.9724,0.4729
88,0.4099,0.8023,0.8146,0.7887,0.8018
89,0.8019,0.6736,0.6599,0.1863,0.9181
90,0.6041,0.8911,0.6156,0.422,0.5232
91,0.4216,0.3206,0.3842,0.4113,0.8728
92,0.5462,0.2595,0.695,0.9696,0.1936
93,0.9846,0.7767,0.7012,0.9738,0.8085
94,0.9695,0.8264,0.8732,0.8056,0.8632
95,0.2158,0.9992,0.824,0.9396,0.6497
96,0.2636,0.8497,0.5452,0.9104,0.7027
97,0.913,0.7375,0.704,0.769,0.1258
98,0.615,0.853,0.6607,0.0674,0.9897
99,0.5101,0.9645,0.3679,0.9248,0.7881
100,0.7412,0.974,0.3193,0.8234,0.3734
101,0.2447,0.7229,0.3397,0.6813,0.8162
102,0.3777,0.4152,0.3006,0.4424,0.906
103,0.1838,0.922,0.8977,0.976,0.829
104,0.9032,0.2286,0.5891,0.4932,0.6446
105,0.7199,0.667,0.481,0.4982,0.9673
106,0.7201,0.6011,0.6545,0.8784,0.4329
107,0.8921,0.9785,0.9595,0.9702,0.8687
108,0.4852,0.5992,0.7935,0.7823,0.5991
109,0.3207,0.9798,0.7793,0.4695,0.391
110,0.4644,0.3495,0.7181,0.7624,0.2732
111,0.105,0.9408,0.8984,0.3011,0.9996
112,0.9996,0.4359,0.9963,0.998,0.996
113,0.9992,0.5229,0.9527,0.9891,0.6535
114,0.9977,0.7491,0.9637,0.998,0.6195
115,0.8882,0.5498,0.9375,0.9724,0.8171
116,0.9398,0.9503,0.9039,0.9833,0.9607
117,0.7501,0.5651,0.9393,0.9192,0.2819
118,0.3504,0.6962,0.8943,0.9076,0.0661
119,0.4585,0.6677,0.7955,0.889,0.1742
120,0.4038,0.8265,0.5056,0.9995,0.162
121,0.5583,0.9048,0.8381,1.0,0.5376
122,0.4358,0.8621,0.7398,1.0,0.9746
123,0.0233,0.6269,0.0226,0.0,0.4189
124,0.9535,0.9892,0.2653,1.0,0.9496
125,0.9893,0.3841,0.999,1.0,0.9899
126,0.9515,0.9895,0.9846,1.0,0.7814
127,0.829,0.2909,0.8381,0.9914,0.5127
128,0.9498,0.344,0.9489,1.0,0.3764
129,0.988,0.9327,0.125,0.0058,0.5974
130,0.9996,0.3425,0.8555,0.9974,0.8989
131,0.9764,0.4916,0.9739,1.0,0.4758
132,0.9523,0.6957,0.8777,0.9985,0.8362
133,0.9681,0.7468,0.9239,0.9999,0.9419
134,0.9756,0.5162,0.9521,1.0,0.8989
135,0.9244,0.4088,0.4734,0.997,0.2436
136,0.7173,0.8075,0.8219,0.9885,0.826
137,0.9999,0.2843,0.9287,0.8448,0.5742
138,0.9429,0.3969,0.991,1.0,0.3913
139,0.9536,0.9346,0.9868,1.0,0.8289
140,0.0032,0.0553,0.0001,1.0,0.3538
141,0.9987,0.427,1.0,1.0,0.5348
142,0.9748,0.8437,0.982,1.0,0.0785
143,0.9701,0.968,0.9892,1.0,0.8437
144,0.9696,0.8211,0.63,0.9288,0.5668
145,0.6163,0.9989,0.5904,0.9829,0.9501
146,0.9992,0.9306,0.5794,0.9996,0.8609
147,0.9976,0.6789,0.4593,0.9999,0.3488
148,0.4435,0.9963,0.9161,1.0,0.4112
149,0.9923,0.9967,0.879,0.9996,0.8807
150,0.5081,0.8622,0.6769,1.0,0.8685
151,0.0023,0.9006,0.7747,0.9574,0.5306
152,0.9768,0.9944,0.7479,0.9906,0.7838
153,0.3579,0.394,0.7306,0.1027,0.4411
